ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,def_int,def_int_yds,def_int_td
1,1996,1996-09-01,1,23.106,DEN,,NYJ,W 31-6,,,,,,,,,
2,1996,1996-09-08,2,23.113,DEN,@,SEA,W 30-20,,,,,,,,,
3,1996,1996-09-15,3,23.120,DEN,,TAM,W 27-23,,,,,,,,,
4,1996,1996-09-22,4,23.127,DEN,@,KAN,L 14-17,,,,,,,,,
5,1996,1996-09-29,5,23.134,DEN,@,CIN,W 14-10,,,,,,,,,
6,1996,1996-10-06,6,23.141,DEN,,SDG,W 28-17,,,,,,,,,
7,1996,1996-10-20,7,23.155,NWE,@,IND,W 27-9,,,,,,,,,
8,1996,1996-10-27,8,23.162,DEN,,KAN,W 34-7,,,,,,,,,
9,1996,1996-11-04,9,23.170,DEN,@,OAK,W 22-21,,,,,,,,,
10,1996,1996-11-10,10,23.176,DEN,,CHI,W 17-12,,,,,,,,,
11,1996,1996-11-17,11,23.183,DEN,@,NWE,W 34-8,,,,,,,,,
12,1996,1996-11-24,12,23.190,DEN,@,MIN,W 21-17,,,,,,,,,
13,1996,1996-12-01,13,23.197,DEN,,SEA,W 34-7,,0,0,,0,0.0,1,0,0
14,1996,1996-12-08,14,23.204,DEN,@,GNB,L 6-41,,,,,,,,,
15,1996,1996-12-15,15,23.211,DEN,,OAK,W 24-19,,,,,,,,,
16,1996,1996-12-22,16,23.218,DEN,@,SDG,L 10-16,,0,0,,0,0.0,1,15,0
17,1998,1998-09-07,1,25.112,DEN,,NWE,W 27-21,,,,,,,,,
18,1998,1998-09-13,2,25.118,DEN,,DAL,W 42-23,,,,,,,,,
19,1998,1998-09-20,3,25.125,DEN,@,OAK,W 34-17,,,,,,,,,
20,1998,1998-09-27,4,25.132,DEN,@,WAS,W 38-16,,,,,,,,,
21,1998,1998-10-04,5,25.139,DEN,,PHI,W 41-16,,,,,,,,,
22,1998,1998-10-11,6,25.146,DEN,@,SEA,W 21-16,,,,,,,,,
23,1998,1998-10-25,7,25.160,DEN,,JAX,W 37-24,,,,,,,,,
24,1998,1998-11-01,8,25.167,DEN,@,CIN,W 33-26,,,,,,,,,
25,1998,1998-11-08,9,25.174,DEN,,SDG,W 27-10,,,,,,,,,
26,1998,1998-11-16,10,25.182,DEN,@,KAN,W 30-7,,,,,,,,,
27,1998,1998-11-22,11,25.188,DEN,,OAK,W 40-14,,,,,,,,,
28,1998,1998-11-29,12,25.195,DEN,@,SDG,W 31-16,,,,,,,,,
29,1998,1998-12-06,13,25.202,DEN,,KAN,W 35-31,,,,,,,,,
30,1998,1998-12-13,14,25.209,DEN,@,NYG,L 16-20,,,,,,,,,
31,1998,1998-12-21,15,25.217,DEN,@,MIA,L 21-31,,,,,,,,,
32,1998,1998-12-27,16,25.223,DEN,,SEA,W 28-21,,,,,,,,,
33,1999,1999-09-13,1,26.118,DEN,,MIA,L 21-38,,,,,,,,,
34,1999,1999-09-19,2,26.124,DEN,@,KAN,L 10-26,,,,,,,,,
35,1999,1999-09-26,3,26.131,DEN,@,TAM,L 10-13,,,,,,,,,
36,1999,1999-10-03,4,26.138,DEN,,NYJ,L 13-21,,,,,,,,,
37,1999,1999-10-10,5,26.145,DEN,@,OAK,W 16-13,,0,0,,0,0.0,1,45,0
38,1999,1999-10-17,6,26.152,DEN,,GNB,W 31-10,,,,,,,,,
39,1999,1999-10-24,7,26.159,DEN,@,NWE,L 23-24,,,,,,,,,
40,1999,1999-10-31,8,26.166,DEN,,MIN,L 20-23,*,,,,,,,,
41,1999,1999-11-07,9,26.173,DEN,@,SDG,W 33-17,,0,0,,0,0.0,1,0,0
42,1999,1999-11-14,10,26.180,DEN,@,SEA,L 17-20,,0,0,,0,0.0,1,2,0
43,1999,1999-11-22,11,26.188,DEN,,OAK,W 27-21,,,,,,,,,
44,1999,1999-12-05,12,26.201,DEN,,KAN,L 10-16,,,,,,,,,
45,1999,1999-12-13,13,26.209,DEN,@,JAX,L 24-27,,,,,,,,,
46,1999,1999-12-19,14,26.215,DEN,,SEA,W 36-30,*,,,,,,,,
47,1999,1999-12-25,15,26.221,DEN,@,DET,W 17-7,*,,,,,,,,
48,1999,2000-01-02,16,26.229,DEN,,SDG,L 6-12,*,0,0,,0,0.0,2,12,0
49,2000,2000-09-03,1,27.108,OAK,,SDG,W 9-6,,,,,,,,,
50,2000,2000-09-10,2,27.115,OAK,@,IND,W 38-31,,0,0,,0,0.0,2,25,0
51,2000,2000-09-17,3,27.122,OAK,,DEN,L 24-33,,,,,,,,,
52,2000,2000-09-24,4,27.129,OAK,,CLE,W 36-10,,,,,,,,,
53,2000,2000-10-08,5,27.143,OAK,@,SFO,W 34-28,,,,,,,,,
54,2000,2000-10-15,6,27.150,OAK,@,KAN,W 20-17,,,,,,,,,
55,2000,2000-10-22,7,27.157,OAK,,SEA,W 31-3,,,,,,,,,
56,2000,2000-10-29,8,27.164,OAK,@,SDG,W 15-13,,,,,,,,,
57,2000,2000-11-05,9,27.171,OAK,,KAN,W 49-31,,,,,,,,,
58,2000,2000-11-13,10,27.179,OAK,@,DEN,L 24-27,,,,,,,,,
59,2000,2000-11-19,11,27.185,OAK,@,NOR,W 31-22,,,,,,,,,
60,2000,2000-11-26,12,27.192,OAK,,ATL,W 41-14,*,,,,,,,,
61,2000,2000-12-03,13,27.199,OAK,@,PIT,L 20-21,,,,,,,,,
62,2000,2000-12-10,14,27.206,OAK,,NYJ,W 31-7,,,,,,,,,
63,2000,2000-12-16,15,27.212,OAK,@,SEA,L 24-27,,,,,,,,,
64,2000,2000-12-24,16,27.220,OAK,,CAR,W 52-9,,,,,,,,,
65,2001,2001-09-09,1,28.114,OAK,@,KAN,W 27-24,,,,,,,,,
66,2001,2001-09-23,2,28.128,OAK,@,MIA,L 15-18,,,,,,,,,
67,2001,2001-09-30,3,28.135,OAK,,SEA,W 38-14,,,,,,,,,
