ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1957,1957-09-29,1,22.183,CHI,@,GNB,L 17-21,8,28,3.50,0,1,7,7.00,0,0,0,,0,0,,,,,,,,,,,0,
2,1957,1957-10-05,2,22.189,CHI,@,BAL,L 10-21,3,9,3.00,0,1,56,56.00,1,0,0,,0,0,,,,,,,,,,,1,
3,1957,1957-10-13,3,22.197,CHI,,SFO,L 17-21,4,58,14.50,0,0,0,,0,0,0,,0,0,,,,,,,,,,,0,
4,1957,1957-10-20,4,22.204,CHI,,RAM,W 34-26,24,153,6.38,3,2,60,30.00,1,0,0,,0,0,,,,,,,,,,,4,
5,1957,1957-10-27,5,22.211,CHI,@,SFO,L 17-21,15,36,2.40,1,0,0,,0,0,0,,0,0,,,,,,,,,,,1,
6,1957,1957-11-03,6,22.218,CHI,@,RAM,W 16-10,9,5,0.56,0,3,5,1.67,0,0,0,,0,0,,,,,,,,,,,0,
7,1957,1957-11-10,7,22.225,CHI,,GNB,W 21-14,11,28,2.55,0,2,30,15.00,0,0,0,,0,0,,,,,,,,,,,0,
8,1957,1957-11-17,8,22.232,CHI,,BAL,L 14-29,13,43,3.31,0,3,24,8.00,0,0,0,,0,0,,,,,,,,,,,0,
9,1957,1957-11-24,9,22.239,CHI,@,DET,W 27-7,18,48,2.67,0,1,8,8.00,0,0,0,,0,0,,,,,,,,,,,0,
10,1957,1957-12-01,10,22.246,CHI,,WAS,L 3-14,13,58,4.46,0,0,0,,0,0,0,,0,0,,,,,,,,,,,0,
11,1957,1957-12-08,11,22.253,CHI,@,CRD,W 14-6,8,84,10.50,1,1,-1,-1.00,0,0,0,,0,0,,,,,,,,,,,1,
12,1957,1957-12-15,12,22.260,CHI,,DET,L 13-21,1,-12,-12.00,0,1,12,12.00,0,0,0,,0,0,,,,,,,,,,,0,
13,1958,1958-09-28,1,23.182,CHI,@,GNB,W 34-20,10,45,4.50,2,3,88,29.33,1,0,0,,0,0,,,,,,,,,,,3,
14,1958,1958-10-04,2,23.188,CHI,@,BAL,L 38-51,11,96,8.73,0,0,0,,0,0,0,,0,0,,,,,,,,,,,0,
15,1958,1958-10-12,3,23.196,CHI,,SFO,W 28-6,14,74,5.29,1,0,0,,0,0,0,,0,0,,,,,,,,,,,1,
16,1958,1958-10-19,4,23.203,CHI,,RAM,W 31-10,8,52,6.50,2,0,0,,0,0,0,,0,0,,,,,,,,,,,2,
17,1958,1958-10-26,5,23.210,CHI,@,SFO,W 27-14,6,56,9.33,1,1,47,47.00,1,0,0,,0,0,,,,,,,,,,,2,
18,1958,1958-11-02,6,23.217,CHI,@,RAM,L 35-41,7,35,5.00,0,2,17,8.50,1,0,0,,0,0,,,,,,,,,,,1,
19,1958,1958-11-09,7,23.224,CHI,,GNB,W 24-10,9,47,5.22,1,1,9,9.00,0,0,0,,0,0,,,,,,,,,,,1,
20,1958,1958-11-16,8,23.231,CHI,,BAL,L 0-17,10,22,2.20,0,0,0,,0,0,0,,0,0,,,,,,,,,,,0,
21,1958,1958-11-23,9,23.238,CHI,@,DET,W 20-7,11,22,2.00,0,0,0,,0,0,0,,0,0,,,,,,,,,,,0,
