ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,2003,2003-09-22,3,23.183,DEN,,OAK,W 31-10,,,,,,,0.0%,,,,,,,,,
2,2003,2003-09-28,4,23.189,DEN,,DET,W 20-16,,,,,,,0.0%,,,,,,,,,
3,2003,2003-10-19,7,23.210,DEN,@,MIN,L 20-28,,2,1,5,5.00,0,50.0%,2.50,0,0,,0,0,0,,0
4,2003,2003-10-26,8,23.217,DEN,@,BAL,L 6-26,,,,,,,0.0%,,,,,,,,,
5,2003,2003-11-03,9,23.225,DEN,,NWE,L 26-30,,,,,,,0.0%,,,,,,,,,
6,2003,2003-11-16,10,23.238,DEN,,SDG,W 37-8,,0,0,0,,0,0.0%,,1,10,10.00,0,0,0,,0
7,2003,2003-11-30,12,23.252,DEN,@,OAK,W 22-8,,,,,,,0.0%,,,,,,,,,
8,2003,2003-12-07,13,23.259,DEN,,KAN,W 45-27,,,,,,,0.0%,,,,,,,,,
9,2003,2003-12-14,14,23.266,DEN,,CLE,W 23-20,,,,,,,0.0%,,,,,,,,,
10,2003,2003-12-21,15,23.273,DEN,@,IND,W 31-17,,0,0,0,,0,0.0%,,0,0,,0,1,16,16.00,0
11,2003,2003-12-28,16,23.280,DEN,@,GNB,L 3-31,,1,1,5,5.00,0,100.0%,5.00,0,0,,0,4,121,30.25,0
