ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td
1,2004,2004-10-24,6,23.242,NYG,,DET,L 13-28,,3,2,16,8.00,0,66.7%,5.33,0,0,,0
2,2004,2004-10-31,7,23.249,NYG,@,MIN,W 34-13,,3,1,19,19.00,0,33.3%,6.33,0,0,,0
3,2004,2004-11-07,8,23.256,NYG,,CHI,L 21-28,,2,,,,,0.0%,,,,,
4,2004,2004-11-14,9,23.263,NYG,@,ARI,L 14-17,,3,1,9,9.00,0,33.3%,3.00,0,0,,0
5,2004,2004-11-21,10,23.270,NYG,,ATL,L 10-14,,,,,,,0.0%,,,,,
6,2004,2004-11-28,11,23.277,NYG,,PHI,L 6-27,,4,2,102,51.00,0,50.0%,25.50,1,-8,-8.00,0
7,2004,2004-12-05,12,23.284,NYG,@,WAS,L 7-31,,2,,,,,0.0%,,,,,
8,2004,2005-01-02,16,23.312,NYG,,DAL,W 28-24,,,,,,,0.0%,,,,,
9,2005,2005-10-16,5,24.233,NYG,@,DAL,L 13-16,,,0,0,,0,0.0%,,0,0,,0
10,2005,2005-10-23,6,24.240,NYG,,DEN,W 24-23,,,0,0,,0,0.0%,,0,0,,0
11,2005,2005-10-30,7,24.247,NYG,,WAS,W 36-0,,0,0,0,,0,0.0%,,0,0,,0
12,2005,2005-11-06,8,24.254,NYG,@,SFO,W 24-6,,,0,0,,0,0.0%,,0,0,,0
13,2005,2005-11-13,9,24.261,NYG,,MIN,L 21-24,,1,0,0,,0,0.0%,0.00,0,0,,0
