ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring
1,1968,1968-09-15,1,22.249,DET,@,DAL,L 13-59,5,132,26.40,1,0,0,,0,0,0,,0,0,0,,0,0,,,1,6
2,1968,1968-09-22,2,22.256,DET,,CHI,W 42-0,3,80,26.67,2,1,5,5.00,0,0,0,,0,0,0,,0,0,,,2,12
3,1968,1968-09-29,3,22.263,DET,@,GNB,W 23-17,5,75,15.00,0,1,5,5.00,0,0,0,,0,0,0,,0,0,,,0,0
4,1968,1968-10-06,4,22.270,DET,@,MIN,L 10-24,3,66,22.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0
5,1968,1968-10-13,5,22.277,DET,@,CHI,W 28-10,3,66,22.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0
6,1968,1968-10-20,6,22.284,DET,,GNB,T 14-14,4,82,20.50,2,0,0,,0,0,0,,0,0,0,,0,0,,,2,12
7,1968,1968-10-27,7,22.291,DET,,SFO,L 7-14,3,53,17.67,0,1,3,3.00,0,0,0,,0,0,0,,0,0,,,0,0
8,1968,1968-11-03,8,22.298,DET,@,RAM,L 7-10,2,23,11.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0
9,1968,1968-11-10,9,22.305,DET,,BAL,L 10-27,3,34,11.33,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0
10,1968,1968-11-24,11,22.319,DET,,NOR,T 20-20,3,29,9.67,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0
11,1968,1968-11-28,12,22.323,DET,,PHI,L 0-12,1,6,6.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0
12,1968,1968-12-08,13,22.333,DET,@,ATL,W 24-7,4,19,4.75,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0
13,1968,1968-12-15,14,22.340,DET,@,WAS,L 3-14,1,15,15.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0
14,1969,1969-09-21,1,23.254,DET,@,PIT,L 13-16,1,12,12.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,1,6
15,1969,1969-09-28,2,23.261,DET,,NYG,W 24-0,3,25,8.33,0,1,4,4.00,0,0,0,,0,0,0,,0,0,,,0,0
16,1969,1969-10-05,3,23.268,DET,@,CLE,W 28-21,2,37,18.50,1,0,0,,0,0,0,,0,0,0,,0,0,,,1,6
17,1969,1969-10-12,4,23.275,DET,,GNB,L 17-28,2,16,8.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0
18,1969,1969-10-19,5,23.282,DET,,CHI,W 13-7,2,43,21.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0
19,1969,1969-10-26,6,23.289,DET,@,MIN,L 10-24,4,44,11.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0
20,1969,1969-11-02,7,23.296,DET,@,SFO,W 26-14,1,16,16.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0
