ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1994,1994-09-11,2,23.239,GNB,,MIA,L 14-24,,1,1,1.00,0,3,1,33,33.00,0,33.3%,11.00,0,0,,0,0,0
2,1994,1994-09-18,3,23.246,GNB,@,PHI,L 7-13,,1,1,1.00,0,3,1,33,33.00,0,33.3%,11.00,0,0,,0,0,0
3,1994,1994-09-25,4,23.253,GNB,,TAM,W 30-3,,10,21,2.10,0,7,6,84,14.00,0,85.7%,12.00,0,0,,0,0,0
4,1994,1994-10-02,5,23.260,GNB,@,NWE,L 16-17,,4,9,2.25,0,2,0,0,,0,0.0%,0.00,0,0,,0,0,0
5,1994,1994-10-09,6,23.267,GNB,,RAM,W 24-17,,1,1,1.00,0,1,1,-4,-4.00,0,100.0%,-4.00,0,0,,0,0,0
6,1994,1994-10-20,7,23.278,GNB,@,MIN,L 10-13,,1,5,5.00,0,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0
7,1994,1994-10-31,8,23.289,GNB,@,CHI,W 33-6,,1,6,6.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0
8,1994,1994-11-06,9,23.295,GNB,,DET,W 38-30,,1,13,13.00,0,2,2,3,1.50,0,100.0%,1.50,0,0,,0,0,0
9,1994,1994-12-04,13,23.323,GNB,@,DET,L 31-34,,0,0,,0,,0,0,,0,0.0%,,,,,,0,
10,1994,1994-12-11,14,23.330,GNB,,CHI,W 40-3,,6,42,7.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0
11,1994,1994-12-18,15,23.337,GNB,,ATL,W 21-17,,0,0,,0,,0,0,,0,0.0%,,,,,,0,
12,1994,1994-12-24,16,23.343,GNB,@,TAM,W 34-19,,0,0,,0,1,1,13,13.00,0,100.0%,13.00,0,0,,0,0,0
13,1995,1995-10-22,7,24.280,GNB,,MIN,W 38-21,,1,-2,-2.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0
14,1995,1995-10-29,8,24.287,GNB,@,DET,L 16-24,,1,0,0.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0
15,1995,1995-12-09,14,24.328,ARI,@,SDG,L 25-28,,0,0,,0,0,0,0,,0,0.0%,,3,56,18.67,0,0,0
16,1995,1995-12-17,15,24.336,ARI,@,PHI,L 20-21,,0,0,,0,0,0,0,,0,0.0%,,3,117,39.00,0,0,0
17,1995,1995-12-25,16,24.344,ARI,,DAL,L 13-37,,0,0,,0,0,0,0,,0,0.0%,,5,86,17.20,0,0,0
