ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,def_int,def_int_yds,def_int_td
1,1991,1991-09-01,1,21.334,HOU,,RAI,W 47-17,,0,0,,0,,,,
2,1991,1991-09-08,2,21.341,HOU,@,CIN,W 30-7,,0,0,,0,,,,
3,1991,1991-09-16,3,21.349,HOU,,KAN,W 17-7,,0,0,,0,,,,
4,1991,1991-09-22,4,21.355,HOU,@,NWE,L 20-24,,0,0,,0,1.0,0,0,0
5,1991,1991-10-06,5,22.004,HOU,,DEN,W 42-14,,0,0,,0,,,,
6,1991,1991-10-13,6,22.011,HOU,@,NYJ,W 23-20,,1,0,0.00,0,0.0,0,0,0
7,1991,1991-10-20,7,22.018,HOU,@,MIA,W 17-13,,0,0,,0,,,,
8,1991,1991-10-27,8,22.025,HOU,,CIN,W 35-3,,0,0,,0,,,,
9,1991,1991-11-03,9,22.032,HOU,@,WAS,L 13-16,,0,0,,0,,,,
10,1991,1991-11-10,10,22.039,HOU,,DAL,W 26-23,,0,0,,0,,,,
11,1991,1991-11-17,11,22.046,HOU,,CLE,W 28-24,,0,0,,0,,,,
12,1991,1991-11-24,12,22.053,HOU,@,PIT,L 14-26,,0,0,,0,,,,
13,1991,1991-12-02,13,22.061,HOU,,PHI,L 6-13,,0,0,,0,,,,
14,1991,1991-12-08,14,22.067,HOU,,PIT,W 31-6,,0,0,,0,,,,
15,1991,1991-12-15,15,22.074,HOU,@,CLE,W 17-14,,0,0,,0,,,,
16,1991,1991-12-21,16,22.080,HOU,@,NYG,L 20-24,,0,0,,0,,,,
17,1992,1992-09-06,1,22.340,HOU,,PIT,L 24-29,,,,,,,,,
18,1992,1992-09-13,2,22.347,HOU,@,IND,W 20-10,,,,,,,,,
19,1992,1992-09-20,3,22.354,HOU,,KAN,W 23-20,,,,,,,,,
20,1992,1992-09-27,4,22.361,HOU,,SDG,W 27-0,,,,,,,,,
21,1992,1992-10-11,5,23.009,HOU,@,CIN,W 38-24,,0,0,,0,0.0,1,27,0
22,1992,1992-10-18,6,23.016,HOU,@,DEN,L 21-27,,,,,,,,,
23,1992,1992-10-25,7,23.023,HOU,,CIN,W 26-10,,,,,,,,,
24,1992,1992-11-01,8,23.030,HOU,@,PIT,L 20-21,,,,,,,,,
25,1992,1992-11-08,9,23.037,HOU,,CLE,L 14-24,,,,,,,,,
26,1992,1992-11-15,10,23.044,HOU,@,MIN,W 17-13,,,,,,,,,
27,1992,1992-11-22,11,23.051,HOU,@,MIA,L 16-19,,,,,,,,,
28,1992,1992-11-26,12,23.055,HOU,@,DET,W 24-21,,,,,,,,,
29,1992,1992-12-07,13,23.066,HOU,,CHI,W 24-7,,,,,,,,,
30,1992,1992-12-13,14,23.072,HOU,,GNB,L 14-16,,,,,,,,,
31,1992,1992-12-20,15,23.079,HOU,@,CLE,W 17-14,,,,,,,,,
32,1992,1992-12-27,16,23.086,HOU,,BUF,W 27-3,,,,,,,,,
33,1993,1993-09-05,1,23.338,HOU,@,NOR,L 21-33,,,,,,,,,
34,1993,1993-09-12,2,23.345,HOU,,KAN,W 30-0,,0,0,,0,0.0,2,68,0
35,1993,1993-09-19,3,23.352,HOU,@,SDG,L 17-18,,,,,,,,,
36,1993,1993-09-26,4,23.359,HOU,,RAM,L 13-28,,,,,,,,,
37,1993,1993-10-11,5,24.009,HOU,@,BUF,L 7-35,,,,,,,,,
38,1993,1993-10-17,6,24.015,HOU,@,NWE,W 28-14,,0,0,,0,0.0,1,0,0
39,1993,1993-10-24,7,24.022,HOU,,CIN,W 28-12,,,,,,,,,
40,1993,1993-11-07,8,24.036,HOU,,SEA,W 24-14,,,,,,,,,
41,1993,1993-11-14,9,24.043,HOU,@,CIN,W 38-3,,,,,,,,,
42,1993,1993-11-21,10,24.050,HOU,@,CLE,W 27-20,,0,0,,0,0.0,3,69,0
43,1993,1993-11-28,11,24.057,HOU,,PIT,W 23-3,,,,,,,,,
44,1993,1993-12-05,12,24.064,HOU,,ATL,W 33-17,,0,0,,0,0.0,1,0,0
45,1993,1993-12-12,13,24.071,HOU,,CLE,W 19-17,,,,,,,,,
46,1994,1994-09-04,1,24.337,HOU,@,IND,L 21-45,,0,0,,0,,,,
47,1994,1994-09-11,2,24.344,HOU,@,DAL,L 17-20,,0,0,,0,,,,
48,1994,1994-09-18,3,24.351,HOU,,BUF,L 7-15,,0,0,,0,,,,
49,1994,1994-09-25,4,24.358,HOU,,CIN,W 20-13,,0,0,,0,0.0,1,41,0
50,1994,1994-10-03,5,25.001,HOU,@,PIT,L 14-30,,0,0,,0,,,,
51,1994,1994-10-13,6,25.011,HOU,,CLE,L 8-11,,0,0,,0,,,,
52,1994,1994-10-24,7,25.022,HOU,@,PHI,L 6-21,,0,0,,0,,,,
53,1994,1994-10-30,8,25.028,HOU,@,RAI,L 14-17,,0,0,,0,0.0,1,17,0
54,1994,1994-11-06,9,25.035,HOU,,PIT,L 9-12,,0,0,,0,,,,
55,1994,1994-11-13,10,25.042,HOU,@,CIN,L 31-34,,0,0,,0,,,,
56,1994,1994-11-21,11,25.050,HOU,,NYG,L 10-13,,0,0,,0,,,,
57,1994,1994-11-27,12,25.056,HOU,@,CLE,L 10-34,,1,0,0.00,0,0.0,0,0,0
58,1994,1994-12-04,13,25.063,HOU,,ARI,L 12-30,,0,0,,0,,,,
59,1994,1994-12-11,14,25.070,HOU,,SEA,L 14-16,,0,0,,0,,,,
60,1994,1994-12-18,15,25.077,HOU,@,KAN,L 9-31,,0,0,,0,,,,
61,1994,1994-12-24,16,25.083,HOU,,NYJ,W 24-10,,0,0,,0,0.0,1,32,0
62,1995,1995-09-03,1,25.336,HOU,@,JAX,W 10-3,,,,,,,,,
63,1995,1995-09-10,2,25.343,HOU,,PIT,L 17-34,,,,,,,,,
64,1996,1996-09-01,1,26.335,HOU,,KAN,L 19-20,,,,,,,,,
65,1996,1996-09-08,2,26.342,HOU,@,JAX,W 34-27,,0,0,,0,0.0,2,17,0
66,1996,1996-09-15,3,26.349,HOU,,BAL,W 29-13,,0,0,,0,0.0,1,27,0
67,1996,1996-09-15,3,26.349,DAL,,IND,L 24-25,,,,,,,,,
68,1996,1996-09-29,4,26.363,HOU,@,PIT,L 16-30,,,,,,,,,
69,1996,1996-10-06,5,27.004,HOU,@,CIN,W 30-27,,,,,,,,,
70,1996,1996-10-13,6,27.011,HOU,@,ATL,W 23-13,,,,,,,,,
71,1996,1996-10-20,7,27.018,HOU,,PIT,W 23-13,,,,,,,,,
72,1996,1996-10-27,8,27.025,HOU,,SFO,L 9-10,,,,,,,,,
73,1996,1996-11-03,9,27.032,HOU,@,SEA,L 16-23,,,,,,,,,
74,1996,1996-11-10,10,27.039,HOU,@,NOR,W 31-14,,,,,,,,,
75,1996,1996-11-17,11,27.046,HOU,,MIA,L 20-23,,,,,,,,,
76,1996,1996-11-24,12,27.053,HOU,,CAR,L 6-31,,,,,,,,,
77,1996,1996-12-01,13,27.060,HOU,@,NYJ,W 35-10,,,,,,,,,
78,1996,1996-12-08,14,27.067,HOU,,JAX,L 17-23,,,,,,,,,
79,1996,1996-12-15,15,27.074,HOU,,CIN,L 13-21,,,,,,,,,
80,1996,1996-12-22,16,27.081,HOU,@,BAL,W 24-21,,0,0,,0,0.0,1,0,0
81,1996,1996-12-22,16,27.081,CIN,,IND,W 31-24,,,,,,,,,
82,1997,1997-08-31,1,27.333,TEN,,OAK,W 24-21,,0,0,,0,,,,
83,1997,1997-09-07,2,27.340,TEN,@,MIA,L 13-16,,0,0,,0,,,,
