ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1956,1956-12-09,11,22.095,NYG,,CLE,L 7-24,0,0,,0,1,5,5.00,0,0,0,,0,0,,,,,,,,,,,,,0,,,,,
2,1956,1956-12-15,12,22.101,NYG,@,PHI,W 21-7,1,7,7.00,0,0,0,,0,0,0,,0,0,,,,,,,,,,,,,0,,,,,
3,1957,1957-10-20,4,23.045,NYG,,PIT,W 35-0,1,2,2.00,0,0,0,,0,0,0,,0,0,,,,,,,,,,,,,0,,,,,
4,1957,1957-12-01,10,23.087,NYG,,SFO,L 17-27,0,0,,0,0,0,,0,1,1,100.00,13,0,0,118.7,0,0,13.00,13.00,,,,,,,0,,,,,
5,1957,1957-12-07,11,23.093,NYG,@,PIT,L 10-21,0,0,,0,0,0,,0,1,1,100.00,27,0,0,118.7,0,0,27.00,27.00,,,,,,,0,,,,,
6,1958,1958-10-12,3,24.037,NYG,@,WAS,W 21-14,0,0,,0,0,0,,0,1,1,100.00,27,0,0,118.7,0,0,27.00,27.00,,,,,,,0,,,,,
7,1958,1958-11-09,7,24.065,NYG,,BAL,W 24-21,1,15,15.00,0,0,0,,0,0,0,,0,0,,,,,,,,,,,,,0,,,,,
8,1959,1959-11-29,10,25.085,NYG,,WAS,W 45-14,1,24,24.00,0,0,0,,0,0,0,,0,0,,,,,,,,,,,,,0,,,,,
9,1960,1960-09-25,1,26.020,NYG,@,SFO,W 21-19,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,2,96,48.00,0
10,1960,1960-11-06,6,26.062,NYG,@,CLE,W 17-13,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,5,163,32.60,0
11,1960,1960-11-13,7,26.069,NYG,,PIT,W 27-24,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,4,183,45.75,0
12,1960,1960-11-20,8,26.076,NYG,,PHI,L 10-17,1,24,24.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,2,92,46.00,0
13,1960,1960-11-27,9,26.083,NYG,@,PHI,L 23-31,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,3,135,45.00,0
14,1960,1960-12-04,10,26.090,NYG,,DAL,T 31-31,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,6,246,41.00,0
15,1960,1960-12-11,11,26.097,NYG,@,WAS,W 17-3,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,6,214,35.67,0
16,1960,1960-12-18,12,26.104,NYG,,CLE,L 34-48,1,-5,-5.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,3,126,42.00,0
17,1961,1961-09-17,1,27.012,NYG,,STL,L 10-21,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,3,126,42.00,0
18,1961,1961-09-24,2,27.019,NYG,@,PIT,W 17-14,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,8,384,48.00,0
19,1961,1961-10-01,3,27.026,NYG,@,WAS,W 24-21,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,4,176,44.00,0
20,1961,1961-10-08,4,27.033,NYG,@,STL,W 24-9,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,11,485,44.09,1
21,1961,1961-10-15,5,27.040,NYG,@,DAL,W 31-10,1,30,30.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,1,45,45.00,0
22,1961,1961-10-22,6,27.047,NYG,,RAM,W 24-14,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,3,132,44.00,0
23,1961,1961-10-29,7,27.054,NYG,,DAL,L 16-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,3,153,51.00,0
24,1961,1961-11-05,8,27.061,NYG,,WAS,W 53-0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,3,132,44.00,0
25,1961,1961-11-12,9,27.068,NYG,,PHI,W 38-21,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,6,228,38.00,1
26,1961,1961-11-19,10,27.075,NYG,,PIT,W 42-21,2,0,0.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,3,147,49.00,0
27,1961,1961-11-26,11,27.082,NYG,@,CLE,W 37-21,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,2,90,45.00,0
28,1961,1961-12-03,12,27.089,NYG,@,GNB,L 17-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,5,190,38.00,0
29,1961,1961-12-10,13,27.096,NYG,@,PHI,W 28-24,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,8,339,42.38,0
30,1961,1961-12-17,14,27.103,NYG,,CLE,T 7-7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,8,348,43.50,0
31,1962,1962-09-16,1,28.011,NYG,@,CLE,L 7-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,1,100.0,,1,0.0,0,1,2,110,55.00,0
32,1962,1962-09-23,2,28.018,NYG,@,PHI,W 29-13,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,3,66.7,3,3,100.0,0,11,4,143,35.75,0
33,1962,1962-09-30,3,28.025,NYG,@,PIT,W 31-27,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,4,4,100.0,1,1,100.0,0,7,3,108,36.00,0
34,1962,1962-10-07,4,28.032,NYG,@,STL,W 31-14,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,4,4,100.0,1,2,50.0,0,7,4,124,31.00,1
35,1962,1962-10-14,5,28.039,NYG,,PIT,L 17-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,2,100.0,1,3,33.3,0,5,4,168,42.00,0
36,1962,1962-10-21,6,28.046,NYG,,DET,W 17-14,1,-11,-11.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,2,100.0,1,1,100.0,0,5,6,300,50.00,0
37,1962,1962-10-28,7,28.053,NYG,,WAS,W 49-34,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,7,7,100.0,,1,0.0,0,7,4,188,47.00,0
38,1962,1962-11-04,8,28.060,NYG,,STL,W 31-28,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,4,4,100.0,1,2,50.0,0,7,7,287,41.00,0
39,1962,1962-11-11,9,28.067,NYG,@,DAL,W 41-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,5,5,100.0,2,2,100.0,0,11,5,180,36.00,0
40,1962,1962-11-18,10,28.074,NYG,,PHI,W 19-14,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,1,100.0,4,5,80.0,0,13,3,118,39.33,0
41,1962,1962-11-25,11,28.081,NYG,@,WAS,W 42-24,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,6,6,100.0,,,,0,6,3,132,44.00,0
42,1962,1962-12-02,12,28.088,NYG,@,CHI,W 26-24,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,2,100.0,4,4,100.0,0,14,2,91,45.50,0
43,1962,1962-12-09,13,28.095,NYG,,CLE,W 17-13,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,2,100.0,1,1,100.0,0,5,4,138,34.50,0
44,1962,1962-12-16,14,28.102,NYG,,DAL,W 41-31,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,5,5,100.0,,2,0.0,0,5,4,142,35.50,0
45,1963,1963-09-15,1,29.010,NYG,@,BAL,W 37-28,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,4,4,100.0,1,1,100.0,0,7,3,140,46.67,0
46,1963,1963-09-22,2,29.017,NYG,@,PIT,L 0-31,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,1,0.0,0,0,8,334,41.75,0
47,1963,1963-09-29,3,29.024,NYG,@,PHI,W 37-14,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,4,5,80.0,1,1,100.0,0,7,5,235,47.00,0
48,1963,1963-10-06,4,29.031,NYG,@,WAS,W 24-14,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,3,100.0,1,2,50.0,0,6,3,138,46.00,0
49,1963,1963-10-13,5,29.038,NYG,,CLE,L 24-35,1,0,0.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,3,100.0,1,2,50.0,0,6,4,176,44.00,0
50,1963,1963-10-20,6,29.045,NYG,,DAL,W 37-21,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,4,5,80.0,1,2,50.0,0,7,3,154,51.33,0
51,1963,1963-10-27,7,29.052,NYG,@,CLE,W 33-6,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,3,100.0,4,5,80.0,0,15,2,95,47.50,0
52,1963,1963-11-03,8,29.059,NYG,@,STL,W 38-21,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,5,5,100.0,1,2,50.0,0,8,5,205,41.00,0
53,1963,1963-11-10,9,29.066,NYG,,PHI,W 42-14,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,6,6,100.0,,,,0,6,2,92,46.00,0
54,1963,1963-11-17,10,29.073,NYG,,SFO,W 48-14,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,6,6,100.0,2,4,50.0,0,12,4,200,50.00,0
55,1963,1963-11-24,11,29.080,NYG,,STL,L 17-24,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,2,100.0,1,2,50.0,0,5,4,176,44.00,0
56,1963,1963-12-01,12,29.087,NYG,@,DAL,W 34-27,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,4,4,100.0,2,2,100.0,0,10,4,182,45.50,0
57,1963,1963-12-08,13,29.094,NYG,,WAS,W 44-14,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,5,6,83.3,1,2,50.0,0,8,7,301,43.00,0
58,1963,1963-12-15,14,29.101,NYG,,PIT,W 33-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,4,75.0,2,3,66.7,0,9,5,220,44.00,0
59,1964,1964-09-13,1,30.008,NYG,@,PHI,L 7-38,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,1,100.0,,1,0.0,0,1,6,284,47.33,0
60,1964,1964-09-20,2,30.015,NYG,@,PIT,L 24-27,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,3,100.0,1,4,25.0,0,6,3,142,47.33,0
61,1964,1964-09-25,3,30.020,NYG,,WAS,W 13-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,1,100.0,2,4,50.0,0,7,4,208,52.00,0
62,1964,1964-10-04,4,30.029,NYG,@,DET,L 3-26,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,1,1,100.0,0,3,6,272,45.33,0
63,1964,1964-10-11,5,30.036,NYG,@,DAL,T 13-13,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,2,50.0,,,,0,1,10,463,46.30,0
64,1964,1964-10-18,6,30.043,NYG,,PHI,L 17-23,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,2,100.0,1,2,50.0,0,5,6,264,44.00,0
65,1964,1964-10-25,7,30.050,NYG,@,CLE,L 20-42,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,3,66.7,,,,0,2,4,188,47.00,0
66,1964,1964-11-01,8,30.057,NYG,,STL,W 34-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,4,4,100.0,2,3,66.7,0,10,7,301,43.00,0
67,1964,1964-11-08,9,30.064,NYG,,DAL,L 21-31,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,2,100.0,,,,0,2,5,223,44.60,0
68,1964,1964-11-15,10,30.071,NYG,@,STL,T 10-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,1,100.0,1,2,50.0,0,4,5,215,43.00,0
69,1964,1964-11-22,11,30.078,NYG,,PIT,L 17-44,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,2,100.0,1,1,100.0,0,5,3,142,47.33,0
70,1964,1964-11-29,12,30.085,NYG,@,WAS,L 21-36,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,3,100.0,,1,0.0,0,3,5,237,47.40,0
71,1964,1964-12-06,13,30.092,NYG,,MIN,L 21-30,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,3,100.0,,1,0.0,0,3,6,270,45.00,0
72,1964,1964-12-12,14,30.098,NYG,,CLE,L 20-52,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,2,100.0,,,,0,2,3,119,39.67,0
73,1965,1965-09-19,1,31.014,GNB,@,PIT,W 41-9,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,5,5,100.0,2,3,66.7,0,11,4,177,44.25,0
74,1965,1965-09-26,2,31.021,GNB,,BAL,W 20-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,2,100.0,2,3,66.7,0,8,5,194,38.80,0
75,1965,1965-10-03,3,31.028,GNB,,CHI,W 23-14,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,3,66.7,1,1,100.0,0,5,5,181,36.20,0
76,1965,1965-10-10,4,31.035,GNB,,SFO,W 27-10,1,27,27.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,3,100.0,2,2,100.0,0,9,3,179,59.67,0
77,1965,1965-10-17,5,31.042,GNB,@,DET,W 31-21,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,4,4,100.0,1,1,100.0,0,7,5,240,48.00,0
78,1965,1965-10-24,6,31.049,GNB,,DAL,W 13-3,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,1,100.0,2,2,100.0,0,7,10,400,40.00,0
79,1965,1965-10-31,7,31.056,GNB,@,CHI,L 10-31,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,1,100.0,1,2,50.0,0,4,5,195,39.00,0
80,1965,1965-11-07,8,31.063,GNB,,DET,L 7-12,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,1,100.0,,,,0,1,7,305,43.57,0
81,1965,1965-11-14,9,31.070,GNB,,RAM,W 6-3,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,2,4,50.0,0,6,6,250,41.67,0
82,1965,1965-11-21,10,31.077,GNB,@,MIN,W 38-13,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,5,5,100.0,1,1,100.0,0,8,3,124,41.33,0
83,1965,1965-11-28,11,31.084,GNB,@,RAM,L 10-21,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,1,100.0,1,2,50.0,0,4,5,242,48.40,0
84,1965,1965-12-05,12,31.091,GNB,,MIN,W 24-19,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,3,100.0,1,2,50.0,0,6,5,195,39.00,0
85,1965,1965-12-12,13,31.098,GNB,@,BAL,W 42-27,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,6,6,100.0,,,,0,6,5,223,44.60,0
86,1965,1965-12-19,14,31.105,GNB,@,SFO,T 24-24,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,3,100.0,1,3,33.3,0,6,6,270,45.00,0
87,1966,1966-09-10,1,32.005,GNB,,BAL,W 24-3,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,3,100.0,1,2,50.0,0,6,3,134,44.67,0
88,1966,1966-09-18,2,32.013,GNB,@,CLE,W 21-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,3,100.0,,1,0.0,0,3,3,118,39.33,0
89,1966,1966-09-25,3,32.020,GNB,,RAM,W 24-13,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,3,100.0,1,2,50.0,0,6,4,165,41.25,0
90,1966,1966-10-02,4,32.027,GNB,,DET,W 23-14,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,2,100.0,3,4,75.0,0,11,7,259,37.00,0
91,1966,1966-10-09,5,32.034,GNB,@,SFO,L 20-21,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,2,100.0,2,4,50.0,0,8,3,118,39.33,0
92,1966,1966-10-16,6,32.041,GNB,@,CHI,W 17-0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,2,100.0,1,3,33.3,0,5,6,209,34.83,0
93,1966,1966-10-23,7,32.048,GNB,,ATL,W 56-3,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,8,8,100.0,,1,0.0,0,8,2,70,35.00,0
94,1966,1966-10-30,8,32.055,GNB,@,DET,W 31-7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,4,4,100.0,1,1,100.0,0,7,3,124,41.33,0
95,1966,1966-11-06,9,32.062,GNB,,MIN,L 17-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,2,100.0,1,2,50.0,0,5,2,91,45.50,0
96,1966,1966-11-20,10,32.076,GNB,,CHI,W 13-6,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,2,50.0,,2,0.0,0,1,5,204,40.80,0
97,1966,1966-11-27,11,32.083,GNB,@,MIN,W 28-16,1,33,33.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,4,4,100.0,,1,0.0,0,4,5,203,40.60,0
98,1966,1966-12-04,12,32.090,GNB,,SFO,W 20-7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,3,66.7,,,,0,2,8,335,41.88,0
99,1966,1966-12-10,13,32.096,GNB,@,BAL,W 14-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,2,100.0,,3,0.0,0,2,6,291,48.50,0
100,1966,1966-12-18,14,32.104,GNB,@,RAM,W 27-23,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,3,100.0,2,2,100.0,0,9,3,131,43.67,0
101,1967,1967-09-17,1,33.012,GNB,,DET,T 17-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,2,100.0,1,1,100.0,0,5,0,0,,0
102,1967,1967-09-24,2,33.019,GNB,,CHI,W 13-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,1,100.0,2,2,100.0,0,7,0,0,,0
103,1967,1967-10-01,3,33.026,GNB,,ATL,W 23-0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,3,100.0,,4,0.0,0,3,0,0,,0
104,1967,1967-10-08,4,33.033,GNB,@,DET,W 27-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,3,100.0,2,2,100.0,0,9,0,0,,0
105,1967,1967-10-15,5,33.040,GNB,,MIN,L 7-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,1,100.0,,1,0.0,0,1,0,0,,0
106,1967,1967-10-22,6,33.047,GNB,@,NYG,W 48-21,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,6,6,100.0,2,2,100.0,0,12,0,0,,0
107,1967,1967-10-30,7,33.055,GNB,@,STL,W 31-23,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,4,4,100.0,1,1,100.0,0,7,0,0,,0
108,1967,1967-11-05,8,33.061,GNB,@,BAL,L 10-13,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,1,100.0,1,2,50.0,0,4,1,31,31.00,0
109,1967,1967-11-12,9,33.068,GNB,,CLE,W 55-7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,7,7,100.0,2,2,100.0,0,13,0,0,,0
110,1967,1967-11-19,10,33.075,GNB,,SFO,W 13-0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,1,100.0,2,3,66.7,0,7,0,0,,0
111,1967,1967-11-26,11,33.082,GNB,@,CHI,W 17-13,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,2,100.0,1,3,33.3,0,5,0,0,,0
112,1967,1967-12-03,12,33.089,GNB,@,MIN,W 30-27,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,3,100.0,3,3,100.0,0,12,0,0,,0
113,1967,1967-12-09,13,33.095,GNB,@,RAM,L 24-27,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,3,100.0,1,2,50.0,0,6,0,0,,0
114,1967,1967-12-17,14,33.103,GNB,,PIT,L 17-24,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,2,100.0,1,1,100.0,0,5,0,0,,0
