ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1960,1960-10-28,7,25.060,BOS,,LAC,L 16-45,1,24,24.00,0,0,0,,0,0,0,,0,0,0,0,0,0
2,1960,1960-11-04,8,25.067,BOS,,OAK,W 34-28,3,42,14.00,1,0,0,,0,0,0,,0,1,6,0,0,0
3,1960,1960-11-11,9,25.074,BOS,,NYT,W 38-21,4,47,11.75,1,0,0,,0,0,0,,0,1,6,0,0,0
4,1960,1960-11-18,10,25.081,BOS,,DTX,W 42-14,5,57,11.40,1,0,0,,0,0,0,,0,1,6,0,0,0
5,1960,1960-11-25,11,25.088,BOS,,HOU,L 10-24,5,68,13.60,0,0,0,,0,0,0,,0,0,0,0,0,0
6,1960,1960-12-04,12,25.097,BOS,@,BUF,L 14-38,2,63,31.50,0,0,0,,0,0,0,,0,0,0,0,0,0
7,1960,1960-12-11,13,25.104,BOS,@,DTX,L 0-34,1,3,3.00,0,0,0,,0,0,0,,0,0,0,0,0,0
8,1960,1960-12-18,14,25.111,BOS,@,HOU,L 21-37,1,16,16.00,0,0,0,,0,0,0,,0,0,0,0,0,0
9,1961,1961-09-09,1,26.011,BOS,,NYT,L 20-21,1,12,12.00,0,0,0,,0,0,0,,0,0,0,0,0,0
10,1961,1961-09-16,2,26.018,BOS,,DEN,W 45-17,4,55,13.75,1,0,0,,0,0,0,,0,1,6,0,0,0
11,1961,1961-09-23,3,26.025,BOS,@,BUF,W 23-21,1,1,1.00,1,0,0,,0,0,0,,0,1,6,0,0,0
12,1961,1961-10-01,4,26.033,BOS,@,NYT,L 30-37,1,8,8.00,0,0,0,,0,0,0,,0,0,0,0,0,0
13,1961,1961-10-07,5,26.039,BOS,,SDG,L 27-38,1,11,11.00,0,0,0,,0,0,0,,0,0,0,0,0,0
14,1961,1961-11-17,11,26.080,BOS,,OAK,W 20-17,4,32,8.00,0,1,6,6.00,0,0,0,,0,0,0,0,0,0
15,1961,1961-12-03,12,26.096,BOS,@,DEN,W 28-24,1,7,7.00,0,0,0,,0,0,0,,0,0,0,0,0,0
16,1961,1961-12-09,13,26.102,BOS,@,OAK,W 35-21,6,60,10.00,0,0,0,,0,0,0,,0,0,0,0,0,0
17,1962,1962-12-16,14,27.109,BOS,@,OAK,L 0-20,0,0,,0,2,46,23.00,0,0,0,,0,0,0,0,0,0
18,1963,1963-09-08,1,28.010,BOS,,NYJ,W 38-14,0,0,,0,0,0,,0,0,0,,0,0,0,1,22,0
19,1963,1963-09-22,3,28.024,BOS,@,OAK,W 20-14,0,0,,0,0,0,,0,2,6,3.00,0,0,0,0,0,0
20,1963,1963-09-29,4,28.031,BOS,@,DEN,L 10-14,0,0,,0,0,0,,0,1,10,10.00,0,0,0,0,0,0
21,1963,1963-10-05,5,28.037,BOS,@,NYJ,L 24-31,0,0,,0,0,0,,0,1,6,6.00,0,0,0,0,0,0
22,1963,1963-10-18,7,28.050,BOS,,DEN,W 40-21,0,0,,0,0,0,,0,3,29,9.67,0,0,0,0,0,0
23,1963,1963-11-01,9,28.064,BOS,,HOU,W 45-3,0,0,,0,0,0,,0,2,43,21.50,0,0,0,0,0,0
24,1963,1963-11-10,10,28.073,BOS,,SDG,L 6-7,0,0,,0,0,0,,0,1,3,3.00,0,0,0,0,0,0
25,1963,1963-11-17,11,28.080,BOS,,KAN,T 24-24,0,0,,0,0,0,,0,1,4,4.00,0,0,0,0,0,0
26,1963,1963-12-01,12,28.094,BOS,,BUF,W 17-7,0,0,,0,0,0,,0,1,3,3.00,0,0,0,0,0,0
27,1963,1963-12-08,13,28.101,BOS,@,HOU,W 46-28,0,0,,0,0,0,,0,1,3,3.00,0,0,0,0,0,0
28,1963,1963-12-14,14,28.107,BOS,@,KAN,L 3-35,0,0,,0,0,0,,0,1,10,10.00,0,0,0,0,0,0
29,1964,1964-09-20,2,29.022,BOS,@,SDG,W 33-28,0,0,,0,1,0,0.00,0,4,23,5.75,0,0,0,0,0,0
30,1964,1964-10-23,7,29.055,BOS,,KAN,W 24-7,0,0,,0,1,5,5.00,0,0,0,,0,0,0,0,0,0
31,1964,1964-11-20,11,29.083,BOS,,DEN,W 12-7,0,0,,0,0,0,,0,1,11,11.00,0,0,0,0,0,0
