ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,2017,2017-09-10,1,23.331,GNB,,SEA,W 17-9,,5,219,43.80,0
2,2017,2017-09-17,2,23.338,GNB,@,ATL,L 23-34,,3,119,39.67,0
3,2017,2017-09-24,3,23.345,GNB,,CIN,W 27-24,,6,296,49.33,0
4,2017,2017-09-28,4,23.349,GNB,,CHI,W 35-14,,5,238,47.60,0
5,2017,2017-10-08,5,23.359,GNB,@,DAL,W 35-31,,2,97,48.50,0
6,2017,2017-10-15,6,24.001,GNB,@,MIN,L 10-23,,6,263,43.83,0
7,2017,2017-10-22,7,24.008,GNB,,NOR,L 17-26,,5,238,47.60,0
8,2017,2017-11-06,8,24.023,GNB,,DET,L 17-30,,3,128,42.67,0
9,2017,2017-11-12,9,24.029,GNB,@,CHI,W 23-16,,4,160,40.00,0
10,2017,2017-11-19,10,24.036,GNB,,BAL,L 0-23,,5,202,40.40,0
11,2017,2017-11-26,11,24.043,GNB,@,PIT,L 28-31,,5,241,48.20,0
12,2017,2017-12-03,12,24.050,GNB,,TAM,W 26-20,,4,181,45.25,0
13,2017,2017-12-10,13,24.057,GNB,@,CLE,W 27-21,,4,191,47.75,0
14,2017,2017-12-17,14,24.064,GNB,@,CAR,L 24-31,,2,82,41.00,0
15,2017,2017-12-23,15,24.070,GNB,,MIN,L 0-16,,6,231,38.50,0
16,2017,2017-12-31,16,24.078,GNB,@,DET,L 11-35,,6,269,44.83,0
