ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1979,1979-09-03,1,22.096,NWE,,PIT,L 13-16,0,0,,0,0,0,,0,0,0,,0,0,,,9,357,39.67,0
2,1979,1979-09-09,2,22.102,NWE,,NYJ,W 56-3,0,0,,0,0,0,,0,0,0,,0,0,,,2,60,30.00,0
3,1979,1979-09-16,3,22.109,NWE,@,CIN,W 20-14,0,0,,0,0,0,,0,0,0,,0,0,,,3,104,34.67,0
4,1979,1979-09-23,4,22.116,NWE,,SDG,W 27-21,0,0,,0,0,0,,0,0,0,,0,0,,,5,176,35.20,0
5,1979,1979-10-01,5,22.124,NWE,@,GNB,L 14-27,0,0,,0,0,0,,0,0,0,,0,0,,,3,92,30.67,0
6,1979,1979-10-07,6,22.130,NWE,,DET,W 24-17,0,0,,0,0,0,,0,0,0,,0,0,,,7,269,38.43,0
7,1979,1979-10-14,7,22.137,NWE,@,CHI,W 27-7,0,0,,0,0,0,,0,0,0,,0,0,,,4,149,37.25,0
8,1979,1979-10-21,8,22.144,NWE,,MIA,W 28-13,0,0,,0,1,1,100.00,4,0,0,83.3,0,0,4.00,4.00,5,154,30.80,0
9,1979,1979-10-28,9,22.151,NWE,@,BAL,L 26-31,0,0,,0,0,0,,0,0,0,,0,0,,,6,230,38.33,0
10,1979,1979-11-04,10,22.158,NWE,@,BUF,W 26-6,0,0,,0,0,0,,0,0,0,,0,0,,,6,238,39.67,0
11,1979,1979-11-11,11,22.165,NWE,@,DEN,L 10-45,0,0,,0,0,0,,0,0,0,,0,0,,,8,327,40.88,1
12,1979,1979-11-18,12,22.172,NWE,,BAL,W 50-21,0,0,,0,0,0,,0,0,0,,0,0,,,2,79,39.50,0
13,1979,1979-11-25,13,22.179,NWE,,BUF,L 13-16,0,0,,0,0,0,,0,0,0,,0,0,,,5,187,37.40,0
14,1979,1979-11-29,14,22.183,NWE,@,MIA,L 24-39,1,0,0.00,0,0,0,,0,0,0,,0,0,,,3,106,35.33,0
15,1979,1979-12-09,15,22.193,NWE,@,NYJ,L 26-27,0,0,,0,0,0,,0,0,0,,0,0,,,8,257,32.13,0
16,1979,1979-12-16,16,22.200,NWE,,MIN,W 27-23,0,0,,0,0,0,,0,0,0,,0,0,,,7,253,36.14,0
