ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,def_int,def_int_yds,def_int_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1962,1962-09-16,1,23.275,WAS,@,DAL,T 35-35,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,4,162,40.50,0
2,1962,1962-09-23,2,23.282,WAS,@,CLE,W 17-16,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,3,123,41.00,0
3,1962,1962-09-30,3,23.289,WAS,,STL,W 24-14,1,-14,-14.00,0,0,0,,0,0,0,,0,0,,,0,0,0,2,77,38.50,0
4,1962,1962-10-07,4,23.296,WAS,,RAM,W 20-14,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,1,30,30.00,0
5,1962,1962-10-14,5,23.303,WAS,@,STL,T 17-17,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,7,238,34.00,0
6,1962,1962-10-21,6,23.310,WAS,@,PHI,W 27-21,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,4,153,38.25,0
7,1962,1962-10-28,7,23.317,WAS,@,NYG,L 34-49,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,6,186,31.00,0
8,1962,1962-11-04,8,23.324,WAS,,DAL,L 10-38,0,0,,0,0,0,,0,0,0,,0,0,,,1,4,0,6,194,32.33,0
9,1962,1962-11-11,9,23.331,WAS,,CLE,W 17-9,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,5,169,33.80,0
10,1962,1962-11-18,10,23.338,WAS,@,PIT,L 21-23,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,4,140,35.00,0
11,1962,1962-11-25,11,23.345,WAS,,NYG,L 24-42,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,0,6,204,34.00,0
12,1962,1962-12-02,12,23.352,WAS,,PHI,L 14-37,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,2,60,30.00,0
13,1962,1962-12-08,13,23.358,WAS,@,BAL,L 21-34,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,4,127,31.75,0
14,1962,1962-12-16,14,24.001,WAS,,PIT,L 24-27,0,0,,0,0,0,,0,0,0,,0,0,,,1,24,0,0,0,,0
