ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1964,1964-11-26,12,22.172,DET,,CHI,L 24-27,1,20,20.00,0,0,0,0,0,0
2,1965,1965-09-19,1,23.104,DET,,RAM,W 20-0,0,0,,0,0,0,1,3,0
3,1965,1965-10-03,3,23.118,DET,,WAS,W 14-10,0,0,,0,1,6,2,69,1
4,1965,1965-10-10,4,23.125,DET,@,BAL,L 7-31,0,0,,0,0,0,1,14,0
5,1965,1965-10-17,5,23.132,DET,,GNB,L 21-31,0,0,,0,1,6,1,36,1
6,1966,1966-09-11,1,24.096,DET,,CHI,W 14-3,0,0,,0,0,0,1,6,0
7,1966,1966-09-18,2,24.103,DET,@,PIT,L 3-17,0,0,,0,0,0,1,8,0
8,1966,1966-11-20,11,24.166,DET,,BAL,W 20-14,0,0,,0,0,0,1,0,0
9,1970,1970-09-20,1,28.105,DET,@,GNB,W 40-0,,,,,,,,,
10,1970,1970-09-27,2,28.112,DET,,CIN,W 38-3,,,,,,,,,
11,1970,1970-10-05,3,28.120,DET,,CHI,W 28-14,,,,,,,,,
12,1970,1970-10-11,4,28.126,DET,@,WAS,L 10-31,0,0,,0,0,0,1,7,0
13,1970,1970-10-18,5,28.133,DET,@,CLE,W 41-24,,,,,,,,,
14,1970,1970-10-25,6,28.140,DET,@,CHI,W 16-10,0,0,,0,0,0,1,14,0
15,1970,1970-11-01,7,28.147,DET,,MIN,L 17-30,,,,,,,,,
16,1970,1970-11-08,8,28.154,DET,@,NOR,L 17-19,,,,,,,,,
17,1970,1970-11-15,9,28.161,DET,@,MIN,L 20-24,,,,,,,,,
18,1970,1970-11-22,10,28.168,DET,,SFO,W 28-7,,,,,,,,,
19,1970,1970-11-26,11,28.172,DET,,OAK,W 28-14,,,,,,,,,
20,1970,1970-12-06,12,28.182,DET,,STL,W 16-3,,,,,,,,,
21,1970,1970-12-14,13,28.190,DET,@,RAM,W 28-23,,,,,,,,,
22,1970,1970-12-20,14,28.196,DET,,GNB,W 20-0,,,,,,,,,
23,1971,1971-09-20,1,29.105,DET,,MIN,L 13-16,,,,,,,,,
24,1971,1971-09-26,2,29.111,DET,@,NWE,W 34-7,,,,,,,,,
25,1971,1971-10-03,3,29.118,DET,,ATL,W 41-38,0,0,,0,0,0,1,0,0
26,1971,1971-10-10,4,29.125,DET,,GNB,W 31-28,1,0,0.00,0,0,0,0,0,0
27,1971,1971-10-17,5,29.132,DET,@,HOU,W 31-7,0,0,,0,0,0,1,10,0
28,1971,1971-10-24,6,29.139,DET,,CHI,L 23-28,,,,,,,,,
29,1971,1971-11-01,7,29.147,DET,@,GNB,T 14-14,,,,,,,,,
30,1971,1971-11-07,8,29.153,DET,@,DEN,W 24-20,,,,,,,,,
31,1971,1971-11-14,9,29.160,DET,,RAM,L 13-21,,,,,,,,,
32,1971,1971-11-21,10,29.167,DET,@,CHI,W 28-3,,,,,,,,,
33,1971,1971-11-25,11,29.171,DET,,KAN,W 32-21,0,0,,0,0,0,1,19,0
34,1971,1971-12-05,12,29.181,DET,,PHI,L 20-23,,,,,,,,,
35,1971,1971-12-11,13,29.187,DET,@,MIN,L 10-29,0,0,,0,0,0,1,2,0
36,1971,1971-12-19,14,29.195,DET,@,SFO,L 27-31,,,,,,,,,
37,1972,1972-09-17,1,30.102,DET,,NYG,W 30-16,,,,,,,,,
38,1972,1972-09-24,2,30.109,DET,,MIN,L 10-34,,,,,,,,,
39,1972,1972-10-01,3,30.116,DET,@,CHI,W 38-24,0,0,,0,0,0,1,0,0
40,1972,1972-10-08,4,30.123,DET,@,ATL,W 26-23,,,,,,,,,
41,1972,1972-10-16,5,30.131,DET,,GNB,L 23-24,,,,,,,,,
42,1972,1972-10-22,6,30.137,DET,,SDG,W 34-20,0,0,,0,0,0,1,1,0
43,1972,1972-10-30,7,30.145,DET,@,DAL,L 24-28,,,,,,,,,
