ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,sacks,tackles_solo,tackles_assists,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,2011,2011-11-06,8,22.108,DAL,,SEA,W 23-13,,0,0,,0,0.0,0,0,4,172,43.00,0
2,2011,2012-01-01,16,22.164,DAL,@,NYG,L 14-31,,0,0,,0,0.0,0,0,6,254,42.33,0
3,2012,2012-09-05,1,23.046,DAL,@,NYG,W 24-17,,0,0,,0,0.0,0,0,2,108,54.00,0
4,2012,2012-09-16,2,23.057,DAL,@,SEA,L 7-27,,0,0,,0,0.0,0,0,5,229,45.80,1
5,2012,2012-09-23,3,23.064,DAL,,TAM,W 16-10,,0,0,,0,0.0,0,0,4,173,43.25,0
6,2012,2012-10-14,5,23.085,DAL,@,BAL,L 29-31,,0,0,,0,0.0,0,0,1,32,32.00,0
7,2013,2013-09-08,1,24.049,DAL,,NYG,W 36-31,,0,0,,0,0.0,0,0,6,275,45.83,0
8,2013,2013-09-15,2,24.056,DAL,@,KAN,L 16-17,,0,0,,0,0.0,0,0,4,200,50.00,0
9,2013,2013-09-22,3,24.063,DAL,,STL,W 31-7,,0,0,,0,0.0,0,0,4,195,48.75,0
10,2013,2013-09-29,4,24.070,DAL,@,SDG,L 21-30,,0,0,,0,0.0,0,0,5,203,40.60,0
11,2013,2013-10-06,5,24.077,DAL,,DEN,L 48-51,,0,0,,0,0.0,0,0,1,51,51.00,0
12,2013,2013-10-13,6,24.084,DAL,,WAS,W 31-16,,0,0,,0,0.0,0,0,5,226,45.20,0
13,2013,2013-10-20,7,24.091,DAL,@,PHI,W 17-3,,0,0,,0,0.0,0,0,9,347,38.56,0
14,2013,2013-10-27,8,24.098,DAL,@,DET,L 30-31,,0,0,,0,0.0,0,0,7,313,44.71,0
15,2013,2013-11-03,9,24.105,DAL,,MIN,W 27-23,,0,0,,0,0.0,1,0,5,222,44.40,0
16,2013,2013-11-10,10,24.112,DAL,@,NOR,L 17-49,,0,0,,0,0.0,0,0,8,403,50.38,0
17,2013,2013-11-24,11,24.126,DAL,@,NYG,W 24-21,,0,0,,0,0.0,0,0,7,313,44.71,0
18,2013,2013-11-28,12,24.130,DAL,,OAK,W 31-24,,0,0,,0,0.0,0,0,5,238,47.60,0
19,2013,2013-12-09,13,24.141,DAL,@,CHI,L 28-45,,0,0,,0,0.0,0,0,3,112,37.33,0
20,2013,2013-12-15,14,24.147,DAL,,GNB,L 36-37,,0,0,,0,0.0,0,0,2,103,51.50,0
21,2013,2013-12-22,15,24.154,DAL,@,WAS,W 24-23,,0,0,,0,0.0,0,0,3,155,51.67,0
22,2013,2013-12-29,16,24.161,DAL,,PHI,L 22-24,,0,0,,0,0.0,0,0,3,111,37.00,0
23,2014,2014-09-07,1,25.048,DAL,,SFO,L 17-28,,0,0,,0,0.0,0,0,2,107,53.50,0
24,2014,2014-09-14,2,25.055,DAL,@,TEN,W 26-10,,0,0,,0,0.0,0,0,4,220,55.00,0
25,2014,2014-09-21,3,25.062,DAL,@,STL,W 34-31,,0,0,,0,0.0,0,0,2,78,39.00,0
26,2014,2014-09-28,4,25.069,DAL,,NOR,W 38-17,,0,0,,0,0.0,0,0,4,166,41.50,0
27,2014,2014-10-05,5,25.076,DAL,,HOU,W 20-17,,0,0,,0,0.0,0,0,4,185,46.25,0
28,2014,2014-10-12,6,25.083,DAL,@,SEA,W 30-23,,0,0,,0,0.0,0,0,2,65,32.50,1
29,2014,2014-10-19,7,25.090,DAL,,NYG,W 31-21,,0,0,,0,0.0,0,0,4,185,46.25,0
30,2014,2014-10-27,8,25.098,DAL,,WAS,L 17-20,,0,0,,0,0.0,1,0,4,206,51.50,0
31,2014,2014-11-02,9,25.104,DAL,,ARI,L 17-28,,0,0,,0,0.0,0,0,4,173,43.25,0
32,2014,2014-11-09,10,25.111,DAL,@,JAX,W 31-17,,0,0,,0,0.0,0,0,5,234,46.80,0
33,2014,2014-11-23,11,25.125,DAL,@,NYG,W 31-28,,0,0,,0,0.0,0,0,4,195,48.75,0
34,2014,2014-11-27,12,25.129,DAL,,PHI,L 10-33,,0,0,,0,0.0,0,0,5,228,45.60,0
35,2014,2014-12-04,13,25.136,DAL,@,CHI,W 41-28,,0,0,,0,0.0,0,0,2,75,37.50,0
36,2014,2014-12-14,14,25.146,DAL,@,PHI,W 38-27,,0,0,,0,0.0,0,0,5,205,41.00,0
37,2014,2014-12-21,15,25.153,DAL,,IND,W 42-7,,0,0,,0,0.0,0,0,2,92,46.00,0
38,2014,2014-12-28,16,25.160,DAL,@,WAS,W 44-17,,0,0,,0,0.0,0,0,4,172,43.00,0
39,2015,2015-09-13,1,26.054,DAL,,NYG,W 27-26,,0,0,,0,0.0,0,0,2,107,53.50,0
40,2015,2015-09-20,2,26.061,DAL,@,PHI,W 20-10,,0,0,,0,0.0,0,0,6,315,52.50,0
41,2015,2015-09-27,3,26.068,DAL,,ATL,L 28-39,,0,0,,0,0.0,0,0,4,159,39.75,0
42,2015,2015-10-04,4,26.075,DAL,@,NOR,L 20-26,,0,0,,0,0.0,0,0,5,209,41.80,0
43,2015,2015-10-11,5,26.082,DAL,,NWE,L 6-30,,0,0,,0,0.0,0,0,6,298,49.67,0
44,2015,2015-10-25,6,26.096,DAL,@,NYG,L 20-27,,0,0,,0,0.0,0,0,2,66,33.00,0
45,2015,2015-11-01,7,26.103,DAL,,SEA,L 12-13,,0,0,,0,0.0,0,0,4,188,47.00,0
46,2015,2015-11-08,8,26.110,DAL,,PHI,L 27-33,,0,0,,0,0.0,0,0,4,175,43.75,0
47,2015,2015-11-15,9,26.117,DAL,@,TAM,L 6-10,,0,0,,0,0.0,0,0,6,255,42.50,0
48,2015,2015-11-22,10,26.124,DAL,@,MIA,W 24-14,,0,0,,0,0.0,0,0,3,146,48.67,0
49,2015,2015-11-26,11,26.128,DAL,,CAR,L 14-33,,0,0,,0,0.0,0,0,3,141,47.00,0
50,2015,2015-12-07,12,26.139,DAL,@,WAS,W 19-16,,0,0,,0,0.0,0,0,4,166,41.50,0
51,2015,2015-12-13,13,26.145,DAL,@,GNB,L 7-28,,0,0,,0,0.0,0,0,7,325,46.43,0
52,2015,2015-12-19,14,26.151,DAL,,NYJ,L 16-19,,0,0,,0,0.0,0,0,4,198,49.50,0
53,2015,2015-12-27,15,26.159,DAL,@,BUF,L 6-16,,0,0,,0,0.0,0,0,4,138,34.50,0
54,2015,2016-01-03,16,26.166,DAL,,WAS,L 23-34,,0,0,,0,0.0,0,0,5,231,46.20,0
55,2016,2016-09-11,1,27.052,DAL,,NYG,L 19-20,,0,0,,0,0.0,0,0,3,147,49.00,0
56,2016,2016-09-18,2,27.059,DAL,@,WAS,W 27-23,,0,0,,0,0.0,0,0,3,142,47.33,0
57,2016,2016-09-25,3,27.066,DAL,,CHI,W 31-17,,0,0,,0,0.0,0,0,3,140,46.67,0
