ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2006,2006-10-15,5,22.107,DAL,,HOU,W 34-6,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,
2,2006,2006-11-12,9,22.135,DAL,@,ARI,W 27-10,,0,0,0,,0,0.0%,,0,0,,0,2,39,19.50,0,0,0,0.0,,
3,2006,2006-11-19,10,22.142,DAL,,IND,W 21-14,,0,0,0,,0,0.0%,,0,0,,0,2,59,29.50,0,0,0,0.0,,
4,2006,2006-11-23,11,22.146,DAL,,TAM,W 38-10,,0,0,0,,0,0.0%,,0,0,,0,3,76,25.33,0,0,0,0.0,,
5,2006,2006-12-03,12,22.156,DAL,@,NYG,W 23-20,,0,0,0,,0,0.0%,,0,0,,0,4,107,26.75,0,0,0,0.0,,
6,2006,2006-12-10,13,22.163,DAL,,NOR,L 17-42,,0,0,0,,0,0.0%,,0,0,,0,5,148,29.60,0,0,0,0.0,,
7,2006,2006-12-16,14,22.169,DAL,@,ATL,W 38-28,,0,0,0,,0,0.0%,,0,0,,0,4,88,22.00,0,0,0,0.0,,
8,2006,2006-12-25,15,22.178,DAL,,PHI,L 7-23,,0,0,0,,0,0.0%,,0,0,,0,4,91,22.75,0,0,0,0.0,,
9,2006,2006-12-31,16,22.184,DAL,,DET,L 31-39,,0,0,0,,0,0.0%,,0,0,,0,5,145,29.00,0,0,0,0.0,,
10,2007,2007-09-09,1,23.071,DAL,,NYG,W 45-35,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,
11,2007,2007-09-16,2,23.078,DAL,@,MIA,W 37-20,,0,0,0,,0,0.0%,,0,0,,0,1,24,24.00,0,0,0,0.0,,
