ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2012,2012-09-09,1,23.285,SEA,@,ARI,L 16-20,*,18,34,52.94,153,1,1,62.5,3,14,4.50,3.76,8,20,2.50,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
2,2012,2012-09-16,2,23.292,SEA,,DAL,W 27-7,*,15,20,75.00,151,1,0,112.7,2,18,7.55,8.55,4,28,7.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
3,2012,2012-09-24,3,23.300,SEA,,GNB,W 14-12,*,10,21,47.62,130,2,0,99.3,1,19,6.19,8.10,3,18,6.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
4,2012,2012-09-30,4,23.306,SEA,@,STL,L 13-19,*,17,25,68.00,160,0,3,45.8,2,20,6.40,1.00,7,14,2.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
5,2012,2012-10-07,5,23.313,SEA,@,CAR,W 16-12,*,19,25,76.00,221,1,2,82.2,2,9,8.84,6.04,5,12,2.40,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
6,2012,2012-10-14,6,23.320,SEA,,NWE,W 24-23,*,16,27,59.26,293,3,0,133.7,2,10,10.85,13.07,5,17,3.40,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
7,2012,2012-10-18,7,23.324,SEA,@,SFO,L 6-13,*,9,23,39.13,122,0,1,38.7,2,7,5.30,3.35,3,10,3.33,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
8,2012,2012-10-28,8,23.334,SEA,@,DET,L 24-28,*,25,35,71.43,236,2,1,96.8,0,0,6.74,6.60,1,9,9.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
9,2012,2012-11-04,9,23.341,SEA,,MIN,W 30-20,*,16,24,66.67,173,3,0,127.3,1,8,7.21,9.71,9,27,3.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
10,2012,2012-11-11,10,23.348,SEA,,NYJ,W 28-7,*,12,19,63.16,188,2,0,131.0,4,22,9.89,12.00,7,34,4.86,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
11,2012,2012-11-25,11,23.362,SEA,@,MIA,L 21-24,*,21,27,77.78,224,2,0,125.9,2,8,8.30,9.78,5,38,7.60,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
12,2012,2012-12-02,12,24.003,SEA,@,CHI,W 23-17,*,23,37,62.16,293,2,0,104.9,2,10,7.92,9.00,9,71,7.89,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
13,2012,2012-12-09,13,24.010,SEA,,ARI,W 58-0,*,7,13,53.85,148,1,1,88.0,1,7,11.38,9.46,3,12,4.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
14,2012,2012-12-16,14,24.017,SEA,@,BUF,W 50-17,*,14,23,60.87,205,1,0,104.4,2,9,8.91,9.78,9,92,10.22,3,0,0,0,,0,0.0%,,3,18,0.0,0,0
15,2012,2012-12-23,15,24.024,SEA,,SFO,W 42-13,*,15,21,71.43,171,4,1,115.3,1,1,8.14,9.81,6,29,4.83,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
16,2012,2012-12-30,16,24.031,SEA,,STL,W 20-13,*,15,19,78.95,250,1,0,136.3,6,41,13.16,14.21,10,58,5.80,1,0,0,0,,0,0.0%,,1,6,0.0,0,0
17,2013,2013-09-08,1,24.283,SEA,@,CAR,W 12-7,*,25,33,75.76,320,1,0,115.7,2,20,9.70,10.30,5,7,1.40,0,0,0,0,,0,0.0%,,0,0,0.0,1,0
18,2013,2013-09-15,2,24.290,SEA,,SFO,W 29-3,*,8,19,42.11,142,1,1,63.9,4,24,7.47,6.16,10,33,3.30,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
