ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1984,1984-09-02,1,22.004,NYG,,PHI,W 28-27,,,,,,,,,,,,,
2,1984,1984-09-09,2,22.011,NYG,,DAL,W 28-7,,,,,,,,,,,,,
3,1984,1984-09-16,3,22.018,NYG,@,WAS,L 14-30,,,,,,,,,,,,,
4,1984,1984-09-23,4,22.025,NYG,,TAM,W 17-14,,,,,,,,,,,,,
5,1984,1984-09-30,5,22.032,NYG,@,RAM,L 12-33,,,,,,,,,,,,,
6,1984,1984-10-08,6,22.040,NYG,,SFO,L 10-31,,,,,,,,,,,,,
7,1984,1984-10-14,7,22.046,NYG,@,ATL,W 19-7,,0,0,,0,,,0,0,2.0,0,0,0
8,1984,1984-10-21,8,22.053,NYG,@,PHI,L 10-24,,,,,,,,,,,,,
9,1984,1984-10-28,9,22.060,NYG,,WAS,W 37-13,,,,,,,,,,,,,
10,1984,1984-11-04,10,22.067,NYG,@,DAL,W 19-7,,,,,,,,,,,,,
11,1984,1984-11-11,11,22.074,NYG,@,TAM,L 17-20,,,,,,,,,,,,,
12,1984,1984-11-18,12,22.081,NYG,,STL,W 16-10,,,,,,,,,,,,,
13,1984,1984-11-25,13,22.088,NYG,,KAN,W 28-27,,0,0,,0,,,0,0,1.0,0,0,0
14,1984,1984-12-02,14,22.095,NYG,@,NYJ,W 20-10,,,,,,,,,,,,,
15,1984,1984-12-09,15,22.102,NYG,@,STL,L 21-31,,,,,,,,,,,,,
16,1984,1984-12-15,16,22.108,NYG,,NOR,L 3-10,,,,,,,,,,,,,
17,1985,1985-09-08,1,23.010,NYG,,PHI,W 21-0,,,,,,,,,,,,,
18,1985,1985-09-15,2,23.017,NYG,@,GNB,L 20-23,,0,0,,0,,,0,0,1.0,0,0,0
19,1985,1985-09-22,3,23.024,NYG,,STL,W 27-17,,,,,,,,,,,,,
20,1985,1985-09-29,4,23.031,NYG,@,PHI,W 16-10,,0,0,,0,,,0,0,1.0,0,0,0
21,1985,1985-10-06,5,23.038,NYG,,DAL,L 29-30,,0,0,,0,,,0,0,1.0,0,0,0
22,1985,1985-11-10,10,23.073,NYG,,RAM,W 24-19,,,,,,,,,,,,,
23,1985,1985-11-18,11,23.081,NYG,@,WAS,L 21-23,,,,,,,,,,,,,
24,1985,1985-11-24,12,23.087,NYG,@,STL,W 34-3,,,,,,,,,,,,,
25,1985,1985-12-01,13,23.094,NYG,,CLE,L 33-35,,,,,,,,,,,,,
26,1985,1985-12-08,14,23.101,NYG,@,HOU,W 35-14,,,,,,,,,,,,,
27,1985,1985-12-15,15,23.108,NYG,@,DAL,L 21-28,,,,,,,,,,,,,
28,1985,1985-12-21,16,23.114,NYG,,PIT,W 28-10,,,,,,,,,,,,,
29,1986,1986-09-08,1,24.010,NYG,@,DAL,L 28-31,,,,,,,,,,,,,
30,1986,1986-09-14,2,24.016,NYG,,SDG,W 20-7,,,,,,,,,,,,,
31,1986,1986-09-21,3,24.023,NYG,@,RAI,W 14-9,,0,0,,0,,,0,0,1.0,0,0,0
32,1986,1986-09-28,4,24.030,NYG,,NOR,W 20-17,,,,,,,,,,,,,
33,1986,1986-10-05,5,24.037,NYG,@,STL,W 13-6,,0,0,,0,,,0,0,2.0,0,0,0
34,1986,1986-10-12,6,24.044,NYG,,PHI,W 35-3,,,,,,,,,,,,,
35,1986,1986-10-19,7,24.051,NYG,@,SEA,L 12-17,,0,0,,0,,,0,0,0.5,0,0,0
36,1986,1986-10-27,8,24.059,NYG,,WAS,W 27-20,,,,,,,,,,,,,
37,1986,1986-11-02,9,24.065,NYG,,DAL,W 17-14,,0,0,,0,,,0,0,2.0,0,0,0
38,1986,1986-11-09,10,24.072,NYG,@,PHI,W 17-14,,,,,,,,,,,,,
39,1986,1986-11-16,11,24.079,NYG,@,MIN,W 22-20,,,,,,,,,,,,,
40,1986,1986-11-23,12,24.086,NYG,,DEN,W 19-16,,,,,,,,,,,,,
41,1986,1986-12-01,13,24.094,NYG,@,SFO,W 21-17,,,,,,,,,,,,,
42,1986,1986-12-07,14,24.100,NYG,@,WAS,W 24-14,,,,,,,,,,,,,
43,1986,1986-12-14,15,24.107,NYG,,STL,W 27-7,,0,0,,0,,,0,0,1.0,0,0,0
44,1986,1986-12-20,16,24.113,NYG,,GNB,W 55-24,,,,,,,,,,,,,
45,1987,1987-09-14,1,25.016,NYG,@,CHI,L 19-34,,,,,,,,,,,,,
46,1987,1987-09-20,2,25.022,NYG,,DAL,L 14-16,,,,,,,,,,,,,
47,1987,1987-10-25,6,25.057,NYG,,STL,W 30-7,,0,0,,0,,,0,0,1.5,0,0,0
48,1987,1987-11-02,7,25.065,NYG,@,DAL,L 24-33,,,,,,,,,,,,,
49,1987,1987-11-08,8,25.071,NYG,,NWE,W 17-10,,0,0,,0,,,0,0,0.0,1,0,0
50,1987,1987-11-15,9,25.078,NYG,@,PHI,W 20-17,,,,,,,,,,,,,
51,1987,1987-11-22,10,25.085,NYG,@,NOR,L 14-23,,0,0,,0,,,0,0,1.0,0,0,0
52,1987,1987-11-29,11,25.092,NYG,@,WAS,L 19-23,,0,0,,0,,,0,0,1.0,0,0,0
53,1987,1987-12-06,12,25.099,NYG,,PHI,W 23-20,,0,0,,0,,,0,0,2.5,0,0,0
54,1987,1987-12-13,13,25.106,NYG,@,STL,L 24-27,,0,0,,0,,,0,0,1.0,0,0,0
55,1987,1987-12-19,14,25.112,NYG,,GNB,W 20-10,,0,0,,0,,,0,0,1.0,0,0,0
56,1987,1987-12-27,15,25.120,NYG,,NYJ,W 20-7,,0,0,,0,,,0,0,1.0,0,0,0
57,1988,1988-09-05,1,26.007,NYG,,WAS,W 27-20,,,,,,,,,,,,,
58,1988,1988-09-11,2,26.013,NYG,,SFO,L 17-20,,,,,,,,,,,,,
59,1988,1988-09-18,3,26.020,NYG,@,DAL,W 12-10,,,,,,,,,,,,,
60,1988,1988-09-25,4,26.027,NYG,,RAM,L 31-45,,,,,,,,,,,,,
61,1988,1988-10-02,5,26.034,NYG,@,WAS,W 24-23,,,,,,,,,,,,,
62,1988,1988-10-10,6,26.042,NYG,@,PHI,L 13-24,,,,,,,,,,,,,
63,1988,1988-10-23,8,26.055,NYG,@,ATL,W 23-16,,0,0,,0,,,1,6,0.0,1,15,1
64,1988,1988-10-30,9,26.062,NYG,@,DET,W 13-10,,,,,,,,,,,,,
65,1988,1988-11-06,10,26.069,NYG,,DAL,W 29-21,,,,,,,,,,,,,
66,1988,1988-11-13,11,26.076,NYG,@,PHO,L 17-24,,,,,,,,,,,,,
67,1988,1988-11-20,12,26.083,NYG,,PHI,L 17-23,,,,,,,,,,,,,
