ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2014,2014-09-07,1,24.232,OAK,@,NYJ,L 14-19,,0,0,,0,0,0,0,,0,0.0%,,3,67,22.33,0,,0,0,0.0,0,0
2,2014,2014-09-14,2,24.239,OAK,,HOU,L 14-30,,1,6,6.00,0,0,0,0,,0,0.0%,,4,103,25.75,0,,0,0,0.0,1,0
3,2014,2014-09-21,3,24.246,OAK,@,NWE,L 9-16,,3,1,0.33,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
4,2014,2014-09-28,4,24.253,OAK,,MIA,L 14-38,,0,0,,0,0,0,0,,0,0.0%,,5,112,22.40,0,,0,0,0.0,1,0
5,2014,2014-10-12,5,24.267,OAK,,SDG,L 28-31,,,,,,,,,,,0.0%,,,,,,,,,,,
6,2014,2014-10-19,6,24.274,OAK,,ARI,L 13-24,,,,,,0,,,,,0.0%,,,,,,,,,,,
7,2014,2014-10-26,7,24.281,OAK,@,CLE,L 13-23,,,,,,,,,,,0.0%,,,,,,,,,,,
8,2014,2014-11-02,8,24.288,OAK,@,SEA,L 24-30,,0,0,,0,2,2,12,6.00,0,100.0%,6.00,0,0,,0,,0,0,0.0,1,0
9,2014,2014-11-09,9,24.295,OAK,,DEN,L 17-41,,2,4,2.00,0,1,1,7,7.00,0,100.0%,7.00,2,48,24.00,0,,0,0,0.0,0,0
10,2014,2014-11-16,10,24.302,OAK,@,SDG,L 6-13,,4,43,10.75,0,4,3,16,5.33,0,75.0%,4.00,4,75,18.75,0,,0,0,0.0,0,0
11,2014,2014-11-20,11,24.306,OAK,,KAN,W 24-20,,4,112,28.00,2,0,0,0,,0,0.0%,,1,24,24.00,0,,2,12,0.0,1,0
12,2014,2014-12-07,13,24.323,OAK,,SFO,W 24-13,,23,76,3.30,0,2,2,9,4.50,0,100.0%,4.50,0,0,,0,,0,0,0.0,0,0
13,2014,2014-12-14,14,24.330,OAK,@,KAN,L 13-31,*,12,59,4.92,0,6,2,17,8.50,0,33.3%,2.83,0,0,,0,,0,0,0.0,0,0
14,2014,2014-12-21,15,24.337,OAK,,BUF,W 26-24,*,23,86,3.74,0,4,3,22,7.33,0,75.0%,5.50,0,0,,0,,0,0,0.0,0,0
15,2014,2014-12-28,16,24.344,OAK,@,DEN,L 14-47,*,10,37,3.70,0,4,4,60,15.00,0,100.0%,15.00,0,0,,0,,0,0,0.0,0,0
16,2015,2015-09-13,1,25.238,OAK,,CIN,L 13-33,*,11,44,4.00,0,7,7,36,5.14,0,100.0%,5.14,0,0,,0,,0,0,0.0,0,0
17,2015,2015-09-20,2,25.245,OAK,,BAL,W 37-33,*,15,65,4.33,1,3,3,22,7.33,0,100.0%,7.33,0,0,,0,,1,6,0.0,0,0
18,2015,2015-09-27,3,25.252,OAK,@,CLE,W 27-20,*,26,139,5.35,1,1,1,10,10.00,0,100.0%,10.00,0,0,,0,,1,6,0.0,0,0
19,2015,2015-10-04,4,25.259,OAK,@,CHI,L 20-22,*,15,49,3.27,0,5,3,12,4.00,0,60.0%,2.40,0,0,,0,,0,0,0.0,0,0
20,2015,2015-10-11,5,25.266,OAK,,DEN,L 10-16,*,13,39,3.00,0,4,3,18,6.00,0,75.0%,4.50,0,0,,0,,0,0,0.0,0,0
21,2015,2015-10-25,6,25.280,OAK,@,SDG,W 37-29,*,15,85,5.67,1,1,1,1,1.00,0,100.0%,1.00,0,0,,0,,1,6,0.0,0,0
22,2015,2015-11-01,7,25.287,OAK,,NYJ,W 34-20,*,20,113,5.65,0,2,1,6,6.00,0,50.0%,3.00,0,0,,0,,0,0,0.0,0,0
23,2015,2015-11-08,8,25.294,OAK,@,PIT,L 35-38,*,17,96,5.65,0,2,2,-1,-0.50,0,100.0%,-0.50,0,0,,0,,0,0,0.0,0,0
24,2015,2015-11-15,9,25.301,OAK,,MIN,L 14-30,*,12,48,4.00,0,5,5,29,5.80,0,100.0%,5.80,0,0,,0,,0,0,0.0,0,0
25,2015,2015-11-22,10,25.308,OAK,@,DET,L 13-18,*,13,28,2.15,1,0,0,0,,0,0.0%,,0,0,,0,,1,6,0.0,0,0
26,2015,2015-11-29,11,25.315,OAK,@,TEN,W 24-21,*,22,59,2.68,0,3,1,23,23.00,0,33.3%,7.67,0,0,,0,,0,0,0.0,0,0
27,2015,2015-12-06,12,25.322,OAK,,KAN,L 20-34,*,20,86,4.30,1,6,4,11,2.75,0,66.7%,1.83,0,0,,0,,1,6,0.0,0,0
28,2015,2015-12-13,13,25.329,OAK,@,DEN,W 15-12,*,16,27,1.69,0,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0
29,2015,2015-12-20,14,25.336,OAK,,GNB,L 20-30,*,21,78,3.71,0,2,1,2,2.00,0,50.0%,1.00,0,0,,0,,0,0,0.0,0,0
30,2015,2015-12-24,15,25.340,OAK,,SDG,W 23-20,*,19,79,4.16,1,5,5,38,7.60,0,100.0%,7.60,0,0,,0,,1,6,0.0,0,0
31,2015,2016-01-03,16,25.350,OAK,@,KAN,L 17-23,*,11,31,2.82,0,6,4,25,6.25,0,66.7%,4.17,0,0,,0,,0,0,0.0,0,0
32,2016,2016-09-11,1,26.237,OAK,@,NOR,W 35-34,*,14,59,4.21,1,2,1,13,13.00,0,50.0%,6.50,0,0,,0,,1,6,0.0,0,0
33,2016,2016-09-18,2,26.244,OAK,,ATL,L 28-35,*,8,57,7.13,1,6,6,44,7.33,0,100.0%,7.33,0,0,,0,,1,6,0.0,0,0
34,2016,2016-09-25,3,26.251,OAK,@,TEN,W 17-10,*,10,37,3.70,1,1,1,1,1.00,0,100.0%,1.00,0,0,,0,,1,6,0.0,0,0
35,2016,2016-10-02,4,26.258,OAK,@,BAL,W 28-27,*,8,19,2.38,0,2,2,5,2.50,0,100.0%,2.50,0,0,,0,,0,0,0.0,0,0
36,2016,2016-10-23,7,26.279,OAK,@,JAX,W 33-16,,18,59,3.28,2,5,2,4,2.00,0,40.0%,0.80,0,0,,0,,2,12,0.0,0,0
37,2016,2016-10-30,8,26.286,OAK,@,TAM,W 30-24,*,11,48,4.36,0,7,5,23,4.60,0,71.4%,3.29,0,0,,0,,0,0,0.0,0,0
38,2016,2016-11-06,9,26.293,OAK,,DEN,W 30-20,*,20,114,5.70,3,1,1,13,13.00,0,100.0%,13.00,0,0,,0,,3,18,0.0,0,0
39,2016,2016-11-21,10,26.308,OAK,,HOU,W 27-20,,12,33,2.75,0,5,5,59,11.80,0,100.0%,11.80,0,0,,0,,0,0,0.0,0,0
40,2016,2016-11-27,11,26.314,OAK,,CAR,W 35-32,*,19,45,2.37,1,4,3,43,14.33,0,75.0%,10.75,0,0,,0,,1,6,0.0,0,0
41,2016,2016-12-04,12,26.321,OAK,,BUF,W 38-24,*,20,82,4.10,2,5,3,23,7.67,0,60.0%,4.60,0,0,,0,,2,12,0.0,0,0
42,2016,2016-12-08,13,26.325,OAK,@,KAN,L 13-21,*,22,103,4.68,1,1,0,0,,0,0.0%,0.00,0,0,,0,,1,6,0.0,0,0
43,2016,2016-12-18,14,26.335,OAK,@,SDG,W 19-16,*,13,81,6.23,0,1,1,11,11.00,0,100.0%,11.00,0,0,,0,,0,0,0.0,0,0
44,2016,2016-12-24,15,26.341,OAK,,IND,W 33-25,*,15,40,2.67,0,2,2,11,5.50,0,100.0%,5.50,0,0,,0,,0,0,0.0,0,0
45,2016,2017-01-01,16,26.349,OAK,@,DEN,L 6-24,*,5,11,2.20,0,1,1,14,14.00,0,100.0%,14.00,0,0,,0,,0,0,0.0,0,0
46,2017,2017-09-11,1,27.236,MIN,,NOR,W 29-19,,2,6,3.00,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
