ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,def_int,def_int_yds,def_int_td
1,1969,1969-09-28,2,22.263,BAL,@,MIN,L 14-52,1,0,0
2,1969,1969-10-19,5,22.284,BAL,@,NOR,W 30-10,1,10,0
3,1970,1970-09-20,1,23.255,PIT,,HOU,L 7-19,,,
4,1970,1970-09-27,2,23.262,PIT,@,DEN,L 13-16,,,
5,1970,1970-10-03,3,23.268,PIT,@,CLE,L 7-15,,,
6,1970,1970-10-11,4,23.276,PIT,,BUF,W 23-10,,,
7,1970,1970-10-18,5,23.283,PIT,@,HOU,W 7-3,1,22,0
8,1970,1970-10-25,6,23.290,PIT,@,OAK,L 14-31,,,
9,1970,1970-11-02,7,23.298,PIT,,CIN,W 21-10,,,
10,1971,1971-09-19,1,24.254,PIT,@,CHI,L 15-17,,,
11,1971,1971-09-26,2,24.261,PIT,,CIN,W 21-10,,,
12,1971,1971-10-03,3,24.268,PIT,,SDG,W 21-17,,,
13,1971,1971-10-10,4,24.275,PIT,@,CLE,L 17-27,,,
14,1971,1971-10-18,5,24.283,PIT,@,KAN,L 16-38,,,
15,1971,1971-10-24,6,24.289,PIT,,HOU,W 23-16,,,
16,1971,1971-10-31,7,24.296,PIT,@,BAL,L 21-34,,,
17,1971,1971-11-07,8,24.303,PIT,,CLE,W 26-9,,,
18,1971,1971-11-14,9,24.310,PIT,@,MIA,L 21-24,,,
19,1971,1971-11-21,10,24.317,PIT,,NYG,W 17-13,,,
20,1971,1971-11-28,11,24.324,PIT,,DEN,L 10-22,,,
21,1971,1971-12-05,12,24.331,PIT,@,HOU,L 3-29,,,
22,1971,1971-12-12,13,24.338,PIT,@,CIN,W 21-13,,,
23,1971,1971-12-19,14,24.345,PIT,,RAM,L 14-23,,,
