ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1979,1979-09-02,1,22.288,PHI,,NYG,W 23-17,0,0,,0,2,3,66.7,1,1,100.0,0,5,0,0,,0
2,1979,1979-09-10,2,22.296,PHI,,ATL,L 10-14,0,0,,0,1,1,100.0,1,1,100.0,0,4,0,0,,0
3,1979,1979-09-16,3,22.302,PHI,@,NOR,W 26-14,0,0,,0,2,2,100.0,4,4,100.0,0,14,0,0,,0
4,1979,1979-09-23,4,22.309,PHI,@,NYG,W 17-13,0,0,,0,2,2,100.0,1,2,50.0,0,5,0,0,,0
5,1979,1979-09-30,5,22.316,PHI,,PIT,W 17-14,0,0,,0,2,2,100.0,1,1,100.0,0,5,0,0,,0
6,1979,1979-10-07,6,22.323,PHI,,WAS,W 28-17,0,0,,0,4,4,100.0,,,,0,4,,,,
7,1979,1979-10-14,7,22.330,PHI,@,STL,W 24-20,0,0,,0,3,3,100.0,1,2,50.0,0,6,0,0,,0
8,1979,1979-10-21,8,22.337,PHI,@,WAS,L 7-17,0,0,,0,1,1,100.0,,1,0.0,0,1,0,0,,0
9,1979,1979-10-28,9,22.344,PHI,@,CIN,L 13-37,0,0,,0,1,1,100.0,2,2,100.0,0,7,0,0,,0
10,1979,1979-11-04,10,22.351,PHI,,CLE,L 19-24,0,0,,0,1,2,50.0,2,3,66.7,0,7,0,0,,0
11,1979,1979-11-12,11,22.359,PHI,@,DAL,W 31-21,0,0,,0,4,4,100.0,1,4,25.0,0,7,0,0,,0
12,1979,1979-11-18,12,23.000,PHI,,STL,W 16-13,0,0,,0,1,1,100.0,3,3,100.0,0,10,0,0,,0
13,1979,1979-11-25,13,23.007,PHI,@,GNB,W 21-10,0,0,,0,3,3,100.0,,,,0,3,,,,
14,1979,1979-12-02,14,23.014,PHI,,DET,W 44-7,0,0,,0,5,5,100.0,3,4,75.0,0,14,0,0,,0
15,1979,1979-12-08,15,23.020,PHI,,DAL,L 17-24,0,0,,0,2,2,100.0,1,1,100.0,0,5,0,0,,0
16,1979,1979-12-16,16,23.028,PHI,@,HOU,W 26-20,0,0,,0,2,3,66.7,2,2,100.0,0,8,1,32,32.00,0
17,1980,1980-09-07,1,23.294,PHI,,DEN,W 27-6,0,0,,0,3,3,100.0,2,2,100.0,0,9,0,0,,0
18,1980,1980-09-14,2,23.301,PHI,@,MIN,W 42-7,0,0,,0,6,6,100.0,,1,0.0,0,6,0,0,,0
19,1980,1980-09-22,3,23.309,PHI,,NYG,W 35-3,0,0,,0,5,5,100.0,,,,0,5,,,,
20,1980,1980-09-28,4,23.315,PHI,@,STL,L 14-24,0,0,,0,2,2,100.0,,1,0.0,0,2,0,0,,0
21,1980,1980-10-05,5,23.322,PHI,,WAS,W 24-14,0,0,,0,3,3,100.0,1,1,100.0,0,6,0,0,,0
22,1980,1980-10-12,6,23.329,PHI,@,NYG,W 31-16,0,0,,0,4,4,100.0,1,2,50.0,0,7,0,0,,0
23,1980,1980-10-19,7,23.336,PHI,,DAL,W 17-10,0,0,,0,2,2,100.0,1,2,50.0,0,5,0,0,,0
24,1980,1980-10-26,8,23.343,PHI,,CHI,W 17-14,0,0,,0,2,2,100.0,1,3,33.3,0,5,0,0,,0
25,1980,1980-11-02,9,23.350,PHI,@,SEA,W 27-20,0,0,,0,3,3,100.0,2,2,100.0,0,9,0,0,,0
26,1980,1980-11-09,10,23.357,PHI,@,NOR,W 34-21,0,0,,0,4,4,100.0,2,2,100.0,0,10,0,0,,0
27,1980,1980-11-16,11,23.364,PHI,@,WAS,W 24-0,0,0,,0,3,3,100.0,1,2,50.0,0,6,0,0,,0
28,1980,1980-11-23,12,24.005,PHI,,OAK,W 10-7,0,0,,0,1,1,100.0,1,1,100.0,0,4,0,0,,0
29,1980,1980-11-30,13,24.012,PHI,@,SDG,L 21-22,0,0,,0,3,3,100.0,,3,0.0,0,3,0,0,,0
30,1980,1980-12-07,14,24.019,PHI,,ATL,L 17-20,0,0,,0,2,2,100.0,1,1,100.0,0,5,0,0,,0
31,1980,1980-12-14,15,24.026,PHI,,STL,W 17-3,0,0,,0,2,2,100.0,1,3,33.3,0,5,0,0,,0
32,1980,1980-12-21,16,24.033,PHI,@,DAL,L 27-35,0,0,,0,3,3,100.0,2,5,40.0,0,9,0,0,,0
33,1981,1981-09-06,1,24.292,PHI,@,NYG,W 24-10,0,0,,0,3,3,100.0,1,1,100.0,0,6,0,0,,0
34,1981,1981-09-13,2,24.299,PHI,,NWE,W 13-3,0,0,,0,1,1,100.0,2,3,66.7,0,7,0,0,,0
35,1981,1981-09-17,3,24.303,PHI,@,BUF,W 20-14,0,0,,0,2,2,100.0,2,3,66.7,0,8,0,0,,0
36,1981,1981-09-27,4,24.313,PHI,,WAS,W 36-13,0,0,,0,4,4,100.0,2,2,100.0,0,10,0,0,,0
37,1981,1981-10-05,5,24.321,PHI,,ATL,W 16-13,0,0,,0,1,1,100.0,3,3,100.0,0,10,0,0,,0
38,1981,1981-10-11,6,24.327,PHI,@,NOR,W 31-14,0,0,,0,3,3,100.0,1,3,33.3,0,6,0,0,,0
