ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1984,1984-09-02,1,23.010,NYJ,@,IND,W 23-14,0,0,,0,0,0,,0,2,78,39.00,0,0,0,,0,0,0,0.0,0,0,0
2,1984,1984-09-06,2,23.014,NYJ,,PIT,L 17-23,0,0,,0,0,0,,0,4,146,36.50,1,0,0,,0,1,6,0.0,0,0,0
3,1984,1984-09-16,3,23.024,NYJ,,CIN,W 43-23,2,32,16.00,0,0,0,,0,1,46,46.00,0,0,0,,0,0,0,0.0,0,0,0
4,1984,1984-09-23,4,23.031,NYJ,@,BUF,W 28-26,0,0,,0,,,,,0,0,,0,,,,,,,,,,
5,1984,1984-09-30,5,23.038,NYJ,,NWE,L 21-28,2,29,14.50,0,0,0,,0,4,102,25.50,0,0,0,,0,0,0,0.0,0,0,0
6,1984,1984-10-07,6,23.045,NYJ,@,KAN,W 17-16,0,0,,0,0,0,,0,1,20,20.00,0,0,0,,0,0,0,0.0,0,0,0
7,1984,1984-10-14,7,23.052,NYJ,@,CLE,W 24-20,2,30,15.00,0,0,0,,0,1,38,38.00,0,0,0,,0,0,0,0.0,0,0,0
8,1984,1984-10-21,8,23.059,NYJ,,KAN,W 28-7,2,53,26.50,1,0,0,,0,0,0,,0,0,0,,0,1,6,0.0,0,0,0
9,1984,1984-10-28,9,23.066,NYJ,@,NWE,L 20-30,0,0,,0,,,,,0,0,,0,,,,,,,,,,
10,1984,1984-11-04,10,23.073,NYJ,,MIA,L 17-31,0,0,,0,0,0,,0,2,37,18.50,0,0,0,,0,0,0,0.0,0,0,0
11,1984,1984-11-11,11,23.080,NYJ,,IND,L 5-9,0,0,,0,0,0,,0,1,14,14.00,0,0,0,,0,0,0,0.0,0,0,0
12,1984,1984-11-18,12,23.087,NYJ,@,HOU,L 20-31,1,10,10.00,0,0,0,,0,3,61,20.33,0,0,0,,0,0,0,0.0,0,0,0
13,1984,1984-11-26,13,23.095,NYJ,@,MIA,L 17-28,2,23,11.50,0,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0
14,1984,1984-12-02,14,23.101,NYJ,,NYG,L 10-20,3,29,9.67,0,0,0,,0,1,52,52.00,0,0,0,,0,0,0,0.0,0,0,0
15,1984,1984-12-08,15,23.107,NYJ,,BUF,W 21-17,0,0,,0,0,0,,0,1,59,59.00,0,0,0,,0,0,0,0.0,0,0,0
16,1984,1984-12-16,16,23.115,NYJ,@,TAM,L 21-41,0,0,,0,0,0,,0,1,22,22.00,0,0,0,,0,0,0,0.0,0,0,0
17,1985,1985-10-06,5,24.044,NYJ,@,CIN,W 29-20,0,0,,0,0,0,,0,4,113,28.25,0,0,0,,0,0,0,0.0,0,0,0
18,1985,1985-10-14,6,24.052,NYJ,,MIA,W 23-7,,,,,0,0,,0,0,0,,0,0,0,,0,,,,,,
19,1985,1985-10-20,7,24.058,NYJ,@,NWE,L 13-20,,,,,0,0,,0,0,0,,0,0,0,,0,,,,,,
20,1985,1985-10-27,8,24.065,NYJ,,SEA,W 17-14,0,0,,0,1,10,10.00,0,1,18,18.00,0,0,0,,0,0,0,0.0,0,0,0
21,1985,1985-11-03,9,24.072,NYJ,@,IND,W 35-17,0,0,,0,0,0,,0,1,12,12.00,0,0,0,,0,0,0,0.0,0,0,0
22,1985,1985-11-10,10,24.079,NYJ,@,MIA,L 17-21,0,0,,0,0,0,,0,2,32,16.00,0,0,0,,0,0,0,0.0,0,0,0
23,1985,1985-11-17,11,24.086,NYJ,,TAM,W 62-28,0,0,,0,0,0,,0,1,17,17.00,0,1,0,0.00,0,0,0,0.0,0,0,0
24,1985,1985-11-24,12,24.093,NYJ,,NWE,W 16-13,,,,,0,0,,0,0,0,,0,0,0,,0,,,,,,
25,1985,1985-11-28,13,24.097,NYJ,@,DET,L 20-31,0,0,,0,0,0,,0,2,39,19.50,0,0,0,,0,0,0,0.0,0,0,0
26,1985,1985-12-08,14,24.107,NYJ,@,BUF,W 27-7,0,0,,0,0,0,,0,2,23,11.50,0,0,0,,0,0,0,0.0,0,0,0
27,1985,1985-12-14,15,24.113,NYJ,,CHI,L 6-19,0,0,,0,0,0,,0,1,29,29.00,0,0,0,,0,0,0,0.0,0,0,0
28,1985,1985-12-22,16,24.121,NYJ,,CLE,W 37-10,0,0,,0,0,0,,0,3,80,26.67,0,0,0,,0,0,0,0.0,0,0,0
29,1986,1986-09-07,1,25.015,NYJ,@,BUF,W 28-24,0,0,,0,0,0,,0,1,21,21.00,0,0,0,,0,0,0,0.0,0,0,0
30,1986,1986-09-11,2,25.019,NYJ,,NWE,L 6-20,,,,,,,,,0,0,,0,,,,,,,,,,
31,1986,1986-09-21,3,25.029,NYJ,,MIA,W 51-45,0,0,,0,0,0,,0,3,64,21.33,0,0,0,,0,0,0,0.0,0,0,0
32,1986,1986-09-28,4,25.036,NYJ,@,IND,W 26-7,,,,,,,,,0,0,,0,,,,,,,,,,
33,1986,1986-10-05,5,25.043,NYJ,,BUF,W 14-13,0,0,,0,0,0,,0,2,45,22.50,0,0,0,,0,0,0,0.0,0,0,0
34,1986,1986-10-12,6,25.050,NYJ,@,NWE,W 31-24,0,0,,0,0,0,,0,1,19,19.00,0,0,0,,0,0,0,0.0,0,0,0
35,1986,1986-10-20,7,25.058,NYJ,,DEN,W 22-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,1.0,0,0,0
36,1986,1986-10-26,8,25.064,NYJ,,NOR,W 28-23,0,0,,0,0,0,,0,1,16,16.00,0,0,0,,0,0,0,0.0,0,0,0
37,1986,1986-11-02,9,25.071,NYJ,@,SEA,W 38-7,0,0,,0,0,0,,0,1,14,14.00,0,0,0,,0,0,0,0.0,0,0,0
38,1986,1986-11-09,10,25.078,NYJ,@,ATL,W 28-14,0,0,,0,0,0,,0,2,57,28.50,0,0,0,,0,0,0,2.0,0,0,0
39,1986,1986-11-16,11,25.085,NYJ,,IND,W 31-16,0,0,,0,0,0,,0,1,25,25.00,0,0,0,,0,0,0,0.0,0,0,0
40,1986,1986-11-24,12,25.093,NYJ,@,MIA,L 3-45,0,0,,0,0,0,,0,1,29,29.00,0,0,0,,0,0,0,0.0,0,0,0
41,1986,1986-11-30,13,25.099,NYJ,,RAM,L 3-17,0,0,,0,0,0,,0,1,0,0.00,0,0,0,,0,0,0,0.0,0,0,0
42,1986,1986-12-07,14,25.106,NYJ,@,SFO,L 10-24,0,0,,0,0,0,,0,4,93,23.25,0,0,0,,0,0,0,0.0,0,0,0
43,1986,1986-12-13,15,25.112,NYJ,,PIT,L 24-45,0,0,,0,0,0,,0,2,38,19.00,0,0,0,,0,0,0,1.0,0,0,0
44,1986,1986-12-21,16,25.120,NYJ,@,CIN,L 21-52,0,0,,0,0,0,,0,8,234,29.25,1,0,0,,0,1,6,0.0,0,0,0
