ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1987,1987-09-13,1,23.224,SDG,@,KAN,L 13-20,,0,0,,0,,,0,0,,0,0,0,,0,0,
2,1987,1987-09-20,2,23.231,SDG,,STL,W 28-24,,0,0,,0,,,0,0,,0,0,0,,0,0,
3,1987,1987-10-25,6,23.266,SDG,,KAN,W 42-21,,0,0,,0,,,0,0,,0,3,73,24.33,0,0,0
4,1987,1987-11-01,7,23.273,SDG,,CLE,W 27-24,,0,0,,0,,,0,0,,0,2,39,19.50,0,0,0
5,1987,1987-11-08,8,23.280,SDG,@,IND,W 16-13,,0,0,,0,,,0,0,,0,0,0,,0,0,
6,1987,1987-11-15,9,23.287,SDG,,RAI,W 16-14,,0,0,,0,,,0,0,,0,0,0,,0,0,
7,1987,1987-11-22,10,23.294,SDG,@,SEA,L 3-34,,1,20,20.00,0,,,0,0,,0,0,0,,0,0,0
8,1987,1987-11-29,11,23.301,SDG,,DEN,L 17-31,,0,0,,0,,,0,0,,0,3,58,19.33,0,0,0
9,1987,1987-12-06,12,23.308,SDG,@,HOU,L 18-33,,0,0,,0,,,0,0,,0,5,103,20.60,0,0,0
10,1987,1987-12-13,13,23.315,SDG,,PIT,L 16-20,,0,0,,0,,,1,17,17.00,0,3,52,17.33,0,0,0
11,1987,1987-12-20,14,23.322,SDG,,IND,L 7-20,,2,54,27.00,0,,,0,0,,0,0,0,,0,0,0
12,1987,1987-12-27,15,23.329,SDG,@,DEN,L 0-24,,3,64,21.33,0,,,0,0,,0,3,85,28.33,0,0,0
13,1988,1988-09-04,1,24.216,SDG,@,RAI,L 13-24,,2,39,19.50,1,,,0,0,,0,1,21,21.00,0,1,6
14,1988,1988-09-11,2,24.223,SDG,@,DEN,L 3-34,,0,0,,0,,,0,0,,0,1,20,20.00,0,0,0
15,1988,1988-09-18,3,24.230,SDG,,SEA,W 17-6,,0,0,,0,,,0,0,,0,0,0,,0,0,
16,1988,1988-09-25,4,24.237,SDG,@,KAN,W 24-23,,0,0,,0,,,0,0,,0,1,15,15.00,0,0,0
17,1988,1988-10-02,5,24.244,SDG,,DEN,L 0-12,,1,19,19.00,0,,,0,0,,0,4,106,26.50,0,0,0
18,1988,1988-10-09,6,24.251,SDG,,NOR,L 17-23,,1,7,7.00,0,,,0,0,,0,0,0,,0,0,0
19,1988,1988-10-16,7,24.258,SDG,@,MIA,L 28-31,,4,71,17.75,0,,,0,0,,0,4,119,29.75,0,0,0
20,1988,1988-10-23,8,24.265,SDG,,IND,L 0-16,,3,23,7.67,0,,,0,0,,0,2,48,24.00,0,0,0
21,1988,1988-10-30,9,24.272,SDG,@,SEA,L 14-17,,5,53,10.60,0,,,0,0,,0,0,0,,0,0,0
22,1988,1988-11-06,10,24.279,SDG,,RAI,L 3-13,,3,68,22.67,0,,,1,10,10.00,0,1,37,37.00,0,0,0
23,1988,1988-11-13,11,24.286,SDG,@,ATL,W 10-7,,5,74,14.80,0,,,0,0,,0,1,19,19.00,0,0,0
24,1988,1988-11-20,12,24.293,SDG,@,RAM,W 38-24,,2,19,9.50,0,,,1,4,4.00,0,3,62,20.67,0,0,0
