ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2013,2013-10-13,6,25.085,ARI,@,SFO,L 20-32,,3,1,53,53.00,0,33.3%,17.67,0,0,,0,0,0,,0,0,0,0.0,0,0
2,2013,2013-12-01,12,25.134,ARI,@,PHI,L 21-24,,2,1,4,4.00,0,50.0%,2.00,0,0,,0,0,0,,0,0,0,0.0,1,0
3,2013,2013-12-15,14,25.148,ARI,@,TEN,W 37-34,,2,1,16,16.00,0,50.0%,8.00,0,0,,0,0,0,,0,0,0,0.0,0,0
4,2013,2013-12-22,15,25.155,ARI,@,SEA,W 17-10,,2,1,63,63.00,0,50.0%,31.50,0,0,,0,0,0,,0,0,0,0.0,0,0
5,2013,2013-12-29,16,25.162,ARI,,SFO,L 20-23,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,0,0
6,2015,2015-09-13,1,27.055,ARI,,NOR,W 31-19,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0
7,2015,2015-09-20,2,27.062,ARI,@,CHI,W 48-23,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0
8,2015,2015-09-27,3,27.069,ARI,,SFO,W 47-7,,0,0,0,,0,0.0%,,0,0,,0,1,10,10.00,0,0,0,0.0,0,0
9,2015,2015-10-04,4,27.076,ARI,,STL,L 22-24,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0
10,2015,2015-10-11,5,27.083,ARI,@,DET,W 42-17,,0,0,0,,0,0.0%,,0,0,,0,1,6,6.00,0,0,0,0.0,0,0
11,2015,2015-10-18,6,27.090,ARI,@,PIT,L 13-25,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0
12,2015,2015-10-26,7,27.098,ARI,,BAL,W 26-18,,0,0,0,,0,0.0%,,0,0,,0,1,0,0.00,0,0,0,0.0,0,0
13,2015,2015-11-01,8,27.104,ARI,@,CLE,W 34-20,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0
14,2015,2015-11-15,9,27.118,ARI,@,SEA,W 39-32,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0
15,2015,2015-11-22,10,27.125,ARI,,CIN,W 34-31,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0
16,2015,2015-11-29,11,27.132,ARI,@,SFO,W 19-13,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0
17,2015,2015-12-06,12,27.139,ARI,@,STL,W 27-3,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0
18,2015,2015-12-10,13,27.143,ARI,,MIN,W 23-20,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0
19,2015,2015-12-20,14,27.153,ARI,@,PHI,W 40-17,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0
20,2015,2015-12-27,15,27.160,ARI,,GNB,W 38-8,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0
21,2015,2016-01-03,16,27.167,ARI,,SEA,L 6-36,,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,0,0,0.0,0,0
22,2016,2016-10-06,5,28.078,ARI,@,SFO,W 33-21,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0
23,2016,2016-10-17,6,28.089,ARI,,NYJ,W 28-3,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0
24,2016,2016-10-23,7,28.095,ARI,,SEA,T 6-6,,1,0,0,,0,0.0%,0.00,0,0,,0,5,20,4.00,0,0,0,0.0,0,0
25,2016,2016-10-30,8,28.102,ARI,@,CAR,L 20-30,,2,2,29,14.50,0,100.0%,14.50,0,0,,0,1,4,4.00,0,0,0,0.0,0,0
26,2016,2016-11-13,9,28.116,ARI,,SFO,W 23-20,,0,0,0,,0,0.0%,,2,35,17.50,0,1,6,6.00,0,0,0,0.0,0,0
27,2016,2016-11-20,10,28.123,ARI,@,MIN,L 24-30,,0,0,0,,0,0.0%,,1,49,49.00,0,0,0,,0,0,0,0.0,0,0
28,2016,2016-11-27,11,28.130,ARI,@,ATL,L 19-38,,3,1,-1,-1.00,0,33.3%,-0.33,0,0,,0,0,0,,0,0,0,0.0,0,0
29,2016,2016-12-04,12,28.137,ARI,,WAS,W 31-23,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0
30,2016,2016-12-11,13,28.144,ARI,@,MIA,L 23-26,,1,1,9,9.00,1,100.0%,9.00,1,23,23.00,0,0,0,,0,1,6,0.0,0,0
31,2016,2016-12-18,14,28.151,ARI,,NOR,L 41-48,,2,2,23,11.50,0,100.0%,11.50,6,143,23.83,0,0,0,,0,0,0,0.0,0,0
32,2016,2016-12-24,15,28.157,ARI,@,SEA,W 34-31,,2,1,22,22.00,0,50.0%,11.00,1,16,16.00,0,0,0,,0,0,0,0.0,0,0
33,2016,2017-01-01,16,28.165,ARI,@,LAR,W 44-6,*,3,1,0,0.00,0,33.3%,0.00,0,0,,0,0,0,,0,0,0,0.0,0,0
34,2017,2017-09-10,1,29.052,ARI,@,DET,L 23-35,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0
35,2017,2017-09-17,2,29.059,ARI,@,IND,W 16-13,,2,1,29,29.00,0,50.0%,14.50,0,0,,0,0,0,,0,0,0,0.0,0,0
36,2017,2017-09-25,3,29.067,ARI,,DAL,L 17-28,,3,1,21,21.00,0,33.3%,7.00,0,0,,0,0,0,,0,0,0,0.0,0,0
37,2017,2017-10-01,4,29.073,ARI,,SFO,W 18-15,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0
38,2017,2017-10-08,5,29.080,ARI,@,PHI,L 7-34,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0
39,2017,2017-10-15,6,29.087,ARI,,TAM,W 38-33,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0
40,2017,2017-10-22,7,29.094,ARI,@,LAR,L 0-33,,3,3,20,6.67,0,100.0%,6.67,0,0,,0,0,0,,0,0,0,0.0,0,0
41,2017,2017-11-05,8,29.108,ARI,@,SFO,W 20-10,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0
42,2017,2017-11-09,9,29.112,ARI,,SEA,L 16-22,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0
43,2017,2017-11-19,10,29.122,ARI,@,HOU,L 21-31,,1,0,0,,0,0.0%,0.00,1,26,26.00,0,0,0,,0,0,0,0.0,0,0
44,2017,2017-12-03,12,29.136,ARI,,LAR,L 16-32,,0,0,0,,0,0.0%,,2,33,16.50,0,0,0,,0,0,0,0.0,0,0
45,2017,2017-12-10,13,29.143,ARI,,TEN,W 12-7,,0,0,0,,0,0.0%,,0,0,,0,2,20,10.00,0,0,0,0.0,0,0
46,2017,2017-12-17,14,29.150,ARI,@,WAS,L 15-20,,0,0,0,,0,0.0%,,1,22,22.00,0,5,43,8.60,0,0,0,0.0,0,0
