ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,sacks,tackles_solo,tackles_assists,tackles_combined,tackles_loss,qb_hits
1,2013,2013-10-20,6,26.268,MIA,,BUF,L 21-23,,,,,,,
2,2013,2013-10-27,7,26.275,MIA,@,NWE,L 17-27,,0.0,1,2,3,0,0
3,2013,2013-10-31,8,26.279,MIA,,CIN,W 22-20,,,,,,,
4,2013,2013-11-11,9,26.290,MIA,@,TAM,L 19-22,,,,,,,
