ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,2015,2015-09-13,1,22.273,STL,,SEA,W 34-31,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
2,2015,2015-09-20,2,22.280,STL,@,WAS,L 10-24,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
3,2015,2015-09-27,3,22.287,STL,,PIT,L 6-12,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
4,2015,2015-10-04,4,22.294,STL,@,ARI,W 24-22,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
5,2015,2015-10-11,5,22.301,STL,@,GNB,L 10-24,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
6,2015,2015-10-25,6,22.315,STL,,CLE,W 24-6,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
7,2015,2015-11-01,7,22.322,STL,,SFO,W 27-6,,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0
8,2015,2015-11-08,8,22.329,STL,@,MIN,L 18-21,,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0,,0
9,2015,2015-11-15,9,22.336,STL,,CHI,L 13-37,,4,2,19,9.50,0,50.0%,4.75,0,0,,0,0,0,,0
10,2015,2015-11-22,10,22.343,STL,@,BAL,L 13-16,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
11,2015,2015-11-29,11,22.350,STL,@,CIN,L 7-31,,5,3,13,4.33,0,60.0%,2.60,0,0,,0,0,0,,0
12,2015,2015-12-06,12,22.357,STL,,ARI,L 3-27,,3,3,16,5.33,0,100.0%,5.33,0,0,,0,0,0,,0
13,2015,2015-12-13,13,22.364,STL,,DET,W 21-14,*,3,3,32,10.67,0,100.0%,10.67,0,0,,0,1,0,0.00,0
14,2015,2015-12-17,14,23.003,STL,,TAM,W 31-23,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0
15,2015,2015-12-27,15,23.013,STL,@,SEA,W 23-17,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0
16,2015,2016-01-03,16,23.020,STL,@,SFO,L 16-19,,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0
17,2016,2016-09-12,1,23.273,LAR,@,SFO,L 0-28,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
18,2016,2016-09-18,2,23.279,LAR,,SEA,W 9-3,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
19,2016,2016-09-25,3,23.286,LAR,@,TAM,W 37-32,,2,1,12,12.00,0,50.0%,6.00,0,0,,0,0,0,,0
20,2016,2016-10-02,4,23.293,LAR,@,ARI,W 17-13,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
21,2016,2016-10-09,5,23.300,LAR,,BUF,L 19-30,,0,0,0,,0,0.0%,,1,2,2.00,0,0,0,,0
22,2016,2016-10-16,6,23.307,LAR,@,DET,L 28-31,,1,1,13,13.00,0,100.0%,13.00,0,0,,0,0,0,,0
23,2016,2016-10-23,7,23.314,LAR,,NYG,L 10-17,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0
24,2016,2016-11-06,8,23.328,LAR,,CAR,L 10-13,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0
25,2016,2016-11-13,9,23.335,LAR,@,NYJ,W 9-6,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
26,2016,2016-11-20,10,23.342,LAR,,MIA,L 10-14,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
27,2016,2016-11-27,11,23.349,LAR,@,NOR,L 21-49,,1,1,12,12.00,0,100.0%,12.00,0,0,,0,0,0,,0
28,2016,2016-12-04,12,23.356,LAR,@,NWE,L 10-26,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0
29,2016,2016-12-11,13,23.363,LAR,,ATL,L 14-42,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
30,2016,2016-12-15,14,24.001,LAR,@,SEA,L 3-24,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
31,2017,2017-12-31,16,25.017,DET,,GNB,W 35-11,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
32,2018,2018-09-10,1,25.270,DET,,NYJ,L 17-48,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
