ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,sacks,def_int,def_int_yds,def_int_td
1,1994,1994-09-11,2,23.238,DET,@,MIN,L 3-10,,,,,,,0.0%,,,,,
2,1994,1994-10-30,8,23.287,DET,@,NYG,W 28-25,,,,,,,0.0%,,,,,
3,1994,1994-11-06,9,23.294,DET,@,GNB,L 30-38,,,,,,,0.0%,,,,,
4,1994,1994-11-13,10,23.301,DET,,TAM,W 14-9,,,,,,,0.0%,,,,,
5,1995,1995-09-10,2,24.237,DET,@,MIN,L 10-20,,,,,,,0.0%,,,,,
6,1995,1995-09-17,3,24.244,DET,,ARI,L 17-20,,,,,,,0.0%,,,,,
7,1995,1995-09-25,4,24.252,DET,,SFO,W 27-24,,,,,,,0.0%,,,,,
8,1995,1995-10-08,5,24.265,DET,,CLE,W 38-20,,,,,,,0.0%,,,,,
9,1995,1995-10-15,6,24.272,DET,@,GNB,L 21-30,,,,,,,0.0%,,,,,
10,1995,1995-10-22,7,24.279,DET,@,WAS,L 30-36,,,,,,,0.0%,,,,,
11,1995,1995-10-29,8,24.286,DET,,GNB,W 24-16,,,,,,,0.0%,,,,,
12,1995,1995-11-05,9,24.293,DET,@,ATL,L 22-34,,,,,,,0.0%,,,,,
13,1995,1995-11-12,10,24.300,DET,,TAM,W 27-24,,,,,,,0.0%,,,,,
14,1995,1995-11-19,11,24.307,DET,@,CHI,W 24-17,,,,,,,0.0%,,,,,
15,1995,1995-11-23,12,24.311,DET,,MIN,W 44-38,,,,,,,0.0%,,,,,
16,1995,1995-12-04,13,24.322,DET,,CHI,W 27-7,,,,,,,0.0%,,,,,
17,1995,1995-12-10,14,24.328,DET,@,HOU,W 24-17,,0,0,0,,0,0.0%,,0.5,0,0,0
18,1995,1995-12-17,15,24.335,DET,,JAX,W 44-0,,,,,,,0.0%,,,,,
19,1995,1995-12-23,16,24.341,DET,@,TAM,W 37-10,,,,,,,0.0%,,,,,
20,1996,1996-09-01,1,25.229,DET,@,MIN,L 13-17,,,,,,,0.0%,,,,,
21,1996,1996-09-08,2,25.236,DET,,TAM,W 21-6,,,,,,,0.0%,,,,,
22,1996,1996-09-15,3,25.243,DET,@,PHI,L 17-24,,,,,,,0.0%,,,,,
23,1996,1996-09-22,4,25.250,DET,,CHI,W 35-16,,,,,,,0.0%,,,,,
24,1996,1996-09-29,5,25.257,DET,@,TAM,W 27-0,,,,,,,0.0%,,,,,
25,1996,1996-10-06,6,25.264,DET,,ATL,W 28-24,,,,,,,0.0%,,,,,
26,1996,1996-10-13,7,25.271,DET,@,OAK,L 21-37,,,,,,,0.0%,,,,,
27,1996,1996-10-27,8,25.285,DET,,NYG,L 7-35,,,,,,,0.0%,,,,,
28,1996,1996-11-03,9,25.292,DET,@,GNB,L 18-28,,,,,,,0.0%,,,,,
