ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2006,2006-11-05,8,24.057,PIT,,DEN,L 20-31,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,
2,2006,2006-11-12,9,24.064,PIT,,NOR,W 38-31,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,
3,2006,2006-11-19,10,24.071,PIT,@,CLE,W 24-20,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,
4,2006,2006-11-26,11,24.078,PIT,@,BAL,L 0-27,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,
5,2006,2006-12-03,12,24.085,PIT,,TAM,W 20-3,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,
6,2006,2006-12-07,13,24.089,PIT,,CLE,W 27-7,,1,16,16.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,
7,2006,2006-12-17,14,24.099,PIT,@,CAR,W 37-3,,1,2,2.00,0,1,1,15,15.00,0,100.0%,15.00,0,0,,0,0,0,,0,0,0,0.0,,
8,2006,2006-12-24,15,24.106,PIT,,BAL,L 7-31,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,
9,2006,2006-12-31,16,24.113,PIT,@,CIN,W 23-17,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,
10,2007,2007-09-09,1,25.000,GNB,,PHI,W 16-13,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,
11,2007,2007-09-16,2,25.007,GNB,@,NYG,W 35-13,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,
12,2007,2007-09-23,3,25.014,GNB,,SDG,W 31-24,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,
13,2007,2007-09-30,4,25.021,GNB,@,MIN,W 23-16,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,
14,2007,2007-10-07,5,25.028,GNB,,CHI,L 20-27,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,
15,2007,2007-10-14,6,25.035,GNB,,WAS,W 17-14,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,
16,2007,2007-10-29,7,25.050,GNB,@,DEN,W 19-13,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,
17,2007,2007-11-04,8,25.056,GNB,@,KAN,W 33-22,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,
18,2007,2007-11-11,9,25.063,GNB,,MIN,W 34-0,,0,0,,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,,
19,2007,2007-11-18,10,25.070,GNB,,CAR,W 31-17,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,
20,2007,2007-11-22,11,25.074,GNB,@,DET,W 37-26,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,
21,2007,2007-11-29,12,25.081,GNB,@,DAL,L 27-37,,0,0,,0,1,1,2,2.00,0,100.0%,2.00,0,0,,0,0,0,,0,0,0,0.0,,
22,2007,2007-12-09,13,25.091,GNB,,OAK,W 38-7,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,
23,2007,2007-12-16,14,25.098,GNB,@,STL,W 33-14,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,
