ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1967,1967-09-17,1,22.058,MIN,,SFO,L 21-27,0,0,,0,1,18,18.00,0
2,1968,1968-09-14,1,23.055,MIN,,ATL,W 47-7,2,9,4.50,0,0,0,,0
3,1968,1968-09-29,3,23.070,MIN,,CHI,L 17-27,0,0,,0,1,0,0.00,0
4,1968,1968-12-01,12,23.133,MIN,,RAM,L 3-31,0,0,,0,1,9,9.00,0
5,1968,1968-12-15,14,23.147,MIN,@,PHI,W 24-17,0,0,,0,1,10,10.00,0
