ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2009,2009-10-25,6,24.040,MIA,,NOR,L 34-46,,,,,,,,,,,
2,2009,2009-11-01,7,24.047,MIA,@,NYJ,W 30-25,*,0,0,,0,0.0,1,2,0,0,0
3,2009,2009-11-08,8,24.054,MIA,@,NWE,L 17-27,,,,,,,,,,,
4,2009,2009-11-15,9,24.061,MIA,,TAM,W 25-23,,0,0,,0,0.0,1,1,0,0,0
5,2009,2009-11-19,10,24.065,MIA,@,CAR,W 24-17,,0,0,,0,0.0,1,0,0,0,0
6,2009,2009-11-29,11,24.075,MIA,@,BUF,L 14-31,,,,,,,,,,,
7,2009,2009-12-06,12,24.082,MIA,,NWE,W 22-21,,0,0,,0,0.0,0,0,0,0,0
8,2009,2009-12-13,13,24.089,MIA,@,JAX,W 14-10,,,,,,,,,,,
9,2009,2009-12-20,14,24.096,MIA,@,TEN,L 24-27,,,,,,,,,,,
10,2009,2009-12-27,15,24.103,MIA,,HOU,L 20-27,,0,0,,0,0.0,2,0,0,0,0
11,2009,2010-01-03,16,24.110,MIA,,PIT,L 24-30,*,,,,,,,,,,
12,2010,2010-09-12,1,24.362,MIA,@,BUF,W 15-10,*,0,0,,0,0.0,4,1,0,0,0
13,2010,2010-09-19,2,25.004,MIA,@,MIN,W 14-10,*,0,0,,0,0.0,4,0,0,0,0
14,2010,2010-09-26,3,25.011,MIA,,NYJ,L 23-31,*,0,0,,0,0.0,3,2,0,0,0
15,2010,2010-10-04,4,25.019,MIA,,NWE,L 14-41,*,0,0,,0,0.0,3,1,0,0,0
16,2010,2010-10-17,5,25.032,MIA,@,GNB,W 23-20,*,0,0,,0,0.0,2,0,0,0,0
17,2010,2010-10-24,6,25.039,MIA,,PIT,L 22-23,*,0,0,,0,0.5,6,3,0,0,0
18,2010,2010-10-31,7,25.046,MIA,@,CIN,W 22-14,*,0,0,,0,0.0,1,0,0,0,0
19,2010,2010-11-07,8,25.053,MIA,@,BAL,L 10-26,*,0,0,,0,0.0,8,0,0,0,0
20,2010,2010-11-14,9,25.060,MIA,,TEN,W 29-17,*,0,0,,0,0.0,2,0,0,0,0
21,2010,2010-11-28,11,25.074,MIA,@,OAK,W 33-17,*,0,0,,0,0.0,4,0,1,0,0
22,2010,2010-12-05,12,25.081,MIA,,CLE,L 10-13,*,0,0,,0,0.0,3,0,0,0,0
23,2010,2010-12-12,13,25.088,MIA,@,NYJ,W 10-6,*,0,0,,0,0.0,3,0,0,0,0
24,2010,2010-12-19,14,25.095,MIA,,BUF,L 14-17,,0,0,,0,0.0,2,1,0,0,0
25,2010,2010-12-26,15,25.102,MIA,,DET,L 27-34,*,0,0,,0,1.0,1,0,0,0,0
26,2010,2011-01-02,16,25.109,MIA,@,NWE,L 7-38,*,0,0,,0,0.0,3,2,0,0,0
27,2011,2011-09-12,1,25.362,MIA,,NWE,L 24-38,,,,,,,,,,,
28,2011,2011-09-25,3,26.010,MIA,@,CLE,L 16-17,,0,0,,0,0.0,0,0,0,0,0
29,2011,2011-10-02,4,26.017,MIA,@,SDG,L 16-26,,,,,,,,,,,
30,2011,2011-10-23,6,26.038,MIA,,DEN,L 15-18,,,,,,,,,,,
31,2011,2011-10-30,7,26.045,MIA,@,NYG,L 17-20,,,,,,,,,,,
32,2011,2011-11-06,8,26.052,MIA,@,KAN,W 31-3,,0,0,,0,0.0,0,0,0,0,0
33,2011,2011-11-13,9,26.059,MIA,,WAS,W 20-9,,,,,,,,,,,
34,2011,2011-11-20,10,26.066,MIA,,BUF,W 35-8,,0,0,,0,0.0,0,0,0,0,0
