ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1983,1983-09-04,1,22.364,CHI,,ATL,L 17-20,,0,0,,0,,,1,4,4.00,0,2,52,26.00,0,0,0,,0,0,0
2,1983,1983-09-11,2,23.006,CHI,,TAM,W 17-10,,3,75,25.00,0,,,1,4,4.00,0,1,15,15.00,0,0,0,,0,0,0
3,1983,1983-09-18,3,23.013,CHI,@,NOR,L 31-34,,4,103,25.75,3,,,0,0,,0,2,38,19.00,0,1,9,9.00,0,3,18
4,1983,1983-09-25,4,23.020,CHI,@,BAL,L 19-22,,5,130,26.00,1,,,0,0,,0,0,0,,0,2,13,6.50,0,1,6
5,1983,1983-10-02,5,23.027,CHI,,DEN,W 31-14,,3,98,32.67,2,,,1,22,22.00,0,1,25,25.00,0,3,29,9.67,0,2,12
6,1983,1983-10-09,6,23.034,CHI,,MIN,L 14-23,,3,56,18.67,0,,,0,0,,0,1,24,24.00,0,1,-1,-1.00,0,0,0
7,1983,1983-10-16,7,23.041,CHI,@,DET,L 17-31,,5,62,12.40,0,,,0,0,,0,0,0,,0,2,10,5.00,0,0,0
8,1983,1983-10-23,8,23.048,CHI,@,PHI,W 7-6,,1,18,18.00,0,,,0,0,,0,0,0,,0,0,0,,0,0,0
9,1983,1983-10-30,9,23.055,CHI,,DET,L 17-38,,4,58,14.50,0,,,0,0,,0,0,0,,0,0,0,,0,0,0
10,1983,1983-11-06,10,23.062,CHI,@,RAM,L 14-21,,2,26,13.00,0,,,0,0,,0,0,0,,0,0,0,,0,0,0
11,1983,1983-11-13,11,23.069,CHI,,PHI,W 17-14,,1,22,22.00,0,,,0,0,,0,0,0,,0,0,0,,0,0,0
12,1983,1983-11-20,12,23.076,CHI,@,TAM,W 27-0,,0,0,,0,,,0,0,,0,1,24,24.00,0,0,0,,0,0,0
13,1983,1983-11-27,13,23.083,CHI,,SFO,W 13-3,,1,5,5.00,0,,,0,0,,0,2,47,23.50,0,0,0,,0,0,0
14,1983,1983-12-04,14,23.090,CHI,@,GNB,L 28-31,,4,129,32.25,1,,,1,1,1.00,0,2,38,19.00,0,0,0,,0,1,6
15,1983,1983-12-11,15,23.097,CHI,@,MIN,W 19-13,,2,4,2.00,0,,,0,0,,0,1,13,13.00,0,0,0,,0,0,0
