ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2000,2000-09-03,1,21.005,BAL,@,PIT,W 16-0,,5,16,3.20,0,0,0,0,,0,0.0%,,,0,0,0.0,,
2,2000,2000-09-10,2,21.012,BAL,,JAX,W 39-36,,5,7,1.40,0,0,0,0,,0,0.0%,,,0,0,0.0,,
3,2000,2000-09-17,3,21.019,BAL,@,MIA,L 6-19,*,9,76,8.44,0,2,2,22,11.00,0,100.0%,11.00,,0,0,0.0,,
4,2000,2000-09-24,4,21.026,BAL,,CIN,W 37-0,*,25,116,4.64,1,5,2,25,12.50,0,40.0%,5.00,,1,6,0.0,,
5,2000,2000-10-01,5,21.033,BAL,@,CLE,W 12-0,*,13,86,6.62,0,1,1,7,7.00,0,100.0%,7.00,,0,0,0.0,,
6,2000,2000-10-08,6,21.040,BAL,@,JAX,W 15-10,,17,44,2.59,0,1,0,0,,0,0.0%,0.00,,0,0,0.0,,
7,2000,2000-10-15,7,21.047,BAL,@,WAS,L 3-10,,16,34,2.13,0,3,3,4,1.33,0,100.0%,1.33,,0,0,0.0,,
8,2000,2000-10-22,8,21.054,BAL,,TEN,L 6-14,*,17,58,3.41,0,2,2,36,18.00,0,100.0%,18.00,,0,0,0.0,,
9,2000,2000-10-29,9,21.061,BAL,,PIT,L 6-9,*,19,93,4.89,0,6,3,53,17.67,0,50.0%,8.83,,0,0,0.0,,
10,2000,2000-11-05,10,21.068,BAL,@,CIN,W 27-7,*,22,109,4.95,0,3,3,70,23.33,0,100.0%,23.33,,0,0,0.0,,
11,2000,2000-11-12,11,21.075,BAL,@,TEN,W 24-23,*,23,99,4.30,1,2,1,15,15.00,0,50.0%,7.50,,1,6,0.0,,
12,2000,2000-11-19,12,21.082,BAL,,DAL,W 27-0,,28,187,6.68,0,4,4,20,5.00,0,100.0%,5.00,,0,0,0.0,,
13,2000,2000-11-26,13,21.089,BAL,,CLE,W 44-7,*,30,170,5.67,2,1,0,0,,0,0.0%,0.00,,2,12,0.0,,
14,2000,2000-12-10,14,21.103,BAL,,SDG,W 24-3,*,29,91,3.14,1,3,3,39,13.00,0,100.0%,13.00,,1,6,0.0,,
15,2000,2000-12-17,15,21.110,BAL,@,ARI,W 13-7,,29,126,4.34,1,3,3,5,1.67,0,100.0%,1.67,,1,6,0.0,,
16,2000,2000-12-24,16,21.117,BAL,,NYJ,W 34-20,,22,52,2.36,0,0,0,0,,0,0.0%,,,0,0,0.0,,
17,2002,2002-09-08,1,23.010,BAL,@,CAR,L 7-10,*,17,64,3.76,0,5,4,33,8.25,0,80.0%,6.60,,0,0,0.0,,
18,2002,2002-09-15,2,23.017,BAL,,TAM,L 0-25,*,17,53,3.12,0,7,5,38,7.60,0,71.4%,5.43,,0,0,0.0,,
19,2002,2002-09-30,3,23.032,BAL,,DEN,W 34-23,*,25,78,3.12,1,5,4,21,5.25,0,80.0%,4.20,,1,6,0.0,,
20,2002,2002-10-06,4,23.038,BAL,@,CLE,W 26-21,*,26,187,7.19,0,5,5,26,5.20,0,100.0%,5.20,,0,0,0.0,,
21,2002,2002-10-13,5,23.045,BAL,@,IND,L 20-22,*,21,75,3.57,2,8,7,51,7.29,0,87.5%,6.38,,2,12,0.0,,
22,2002,2002-10-20,6,23.052,BAL,,JAX,W 17-10,*,28,119,4.25,0,2,1,11,11.00,0,50.0%,5.50,,0,0,0.0,,
23,2002,2002-10-27,7,23.059,BAL,,PIT,L 18-31,*,13,34,2.62,0,6,5,50,10.00,0,83.3%,8.33,,0,0,0.0,,
24,2002,2002-11-03,8,23.066,BAL,@,ATL,L 17-20,*,12,36,3.00,0,4,2,23,11.50,0,50.0%,5.75,,0,0,0.0,,
25,2002,2002-11-10,9,23.073,BAL,,CIN,W 38-27,*,21,135,6.43,2,1,0,0,,0,0.0%,0.00,,2,12,0.0,,
26,2002,2002-11-17,10,23.080,BAL,@,MIA,L 7-26,*,17,47,2.76,0,1,1,26,26.00,0,100.0%,26.00,,0,0,0.0,,
27,2002,2002-11-24,11,23.087,BAL,,TEN,W 13-12,,17,95,5.59,0,1,1,13,13.00,0,100.0%,13.00,,0,0,0.0,,
28,2002,2002-12-01,12,23.094,BAL,@,CIN,W 27-23,*,22,121,5.50,0,1,1,4,4.00,0,100.0%,4.00,,0,0,0.0,,
29,2002,2002-12-08,13,23.101,BAL,,NOR,L 25-37,*,17,48,2.82,1,7,4,108,27.00,1,57.1%,15.43,,2,12,0.0,,
30,2002,2002-12-15,14,23.108,BAL,@,HOU,W 23-19,*,20,49,2.45,0,4,4,12,3.00,0,100.0%,3.00,,0,0,0.0,,
31,2002,2002-12-22,15,23.115,BAL,,CLE,L 13-14,*,21,100,4.76,0,1,1,3,3.00,0,100.0%,3.00,,0,0,0.0,,
32,2002,2002-12-29,16,23.122,BAL,@,PIT,L 31-34,*,14,86,6.14,0,2,2,23,11.50,0,100.0%,11.50,,0,0,0.0,,
