ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2015,2015-10-04,4,23.074,WAS,,PHI,W 23-20,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0,0,0,0
2,2015,2015-10-11,5,23.081,WAS,@,ATL,L 19-25,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0,0,0,0
3,2015,2015-10-18,6,23.088,WAS,@,NYJ,L 20-34,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0,0,0,0
4,2015,2015-10-25,7,23.095,WAS,,TAM,W 31-30,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0,0,0,0
5,2015,2015-11-08,8,23.109,WAS,@,NWE,L 10-27,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0,0,0,0
6,2015,2015-11-22,10,23.123,WAS,@,CAR,L 16-44,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0,0,0,0
7,2015,2015-11-29,11,23.130,WAS,,NYG,W 20-14,,0,0,0,,0,0.0%,,0,0,,0,0.0,2,0,1,0,0
8,2015,2015-12-07,12,23.138,WAS,,DAL,L 16-19,,0,0,0,,0,0.0%,,0,0,,0,0.0,2,0,0,0,0
9,2015,2015-12-13,13,23.144,WAS,@,CHI,W 24-21,*,0,0,0,,0,0.0%,,0,0,,0,0.0,2,0,0,0,0
10,2015,2015-12-20,14,23.151,WAS,,BUF,W 35-25,,0,0,0,,0,0.0%,,0,0,,0,0.0,3,1,0,0,0
11,2015,2015-12-26,15,23.157,WAS,@,PHI,W 38-24,,0,0,0,,0,0.0%,,0,0,,0,0.0,2,0,0,0,0
12,2016,2016-09-12,1,24.052,WAS,,PIT,L 16-38,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0,0,0,0
13,2016,2016-09-18,2,24.058,WAS,,DAL,L 23-27,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0,0,0,0
14,2016,2016-09-25,3,24.065,WAS,@,NYG,W 29-27,,1,1,31,31.00,0,100.0%,31.00,1,0,0.00,0,0.0,3,0,1,,0
15,2016,2016-10-02,4,24.072,WAS,,CLE,W 31-20,*,0,0,0,,0,0.0%,,0,0,,0,0.0,2,1,0,0,0
16,2016,2016-10-09,5,24.079,WAS,@,BAL,W 16-10,*,0,0,0,,0,0.0%,,0,0,,0,0.0,5,0,0,0,0
17,2016,2016-10-16,6,24.086,WAS,,PHI,W 27-20,,0,0,0,,0,0.0%,,0,0,,0,0.0,1,0,0,0,0
18,2016,2016-10-23,7,24.093,WAS,@,DET,L 17-20,,0,0,0,,0,0.0%,,0,0,,0,0.0,2,1,0,0,0
19,2016,2016-10-30,8,24.100,WAS,@,CIN,T 27-27,,0,0,0,,0,0.0%,,0,0,,0,0.0,2,0,0,0,0
20,2016,2016-11-13,9,24.114,WAS,,MIN,W 26-20,,0,0,0,,0,0.0%,,0,0,,0,0.0,1,0,0,0,0
21,2016,2016-11-20,10,24.121,WAS,,GNB,W 42-24,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0,0,0,0
22,2016,2016-11-24,11,24.125,WAS,@,DAL,L 26-31,,0,0,0,,0,0.0%,,0,0,,0,0.0,1,0,0,0,0
23,2016,2016-12-04,12,24.135,WAS,@,ARI,L 23-31,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0,0,0,0
24,2016,2016-12-11,13,24.142,WAS,@,PHI,W 27-22,,0,0,0,,0,0.0%,,0,0,,0,0.0,5,0,0,0,0
25,2016,2016-12-19,14,24.150,WAS,,CAR,L 15-26,,0,0,0,,0,0.0%,,0,0,,0,1.0,1,0,0,0,0
26,2017,2017-09-10,1,25.050,WAS,,PHI,L 17-30,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0,0,0,0
27,2017,2017-09-17,2,25.057,WAS,@,LAR,W 27-20,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0,0,0,0
28,2017,2017-09-24,3,25.064,WAS,,OAK,W 27-10,,0,0,0,,0,0.0%,,0,0,,0,0.0,1,0,0,0,0
29,2017,2017-10-02,4,25.072,WAS,@,KAN,L 20-29,,0,0,0,,0,0.0%,,0,0,,0,0.0,4,0,0,0,0
30,2017,2017-10-15,5,25.085,WAS,,SFO,W 26-24,*,0,0,0,,0,0.0%,,0,0,,0,0.0,6,2,0,0,0
31,2017,2017-10-23,6,25.093,WAS,@,PHI,L 24-34,*,0,0,0,,0,0.0%,,0,0,,0,0.0,4,0,1,0,0
32,2017,2017-10-29,7,25.099,WAS,,DAL,L 19-33,*,0,0,0,,0,0.0%,,0,0,,0,0.0,2,0,0,0,0
33,2017,2017-11-05,8,25.106,WAS,@,SEA,W 17-14,*,0,0,0,,0,0.0%,,0,0,,0,0.0,3,0,0,0,0
34,2017,2017-11-12,9,25.113,WAS,,MIN,L 30-38,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0,0,0,0
35,2017,2017-11-23,11,25.124,WAS,,NYG,W 20-10,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0,0,0,0
36,2017,2017-11-30,12,25.131,WAS,@,DAL,L 14-38,,0,0,0,,0,0.0%,,0,0,,0,0.0,1,0,0,0,0
37,2017,2017-12-10,13,25.141,WAS,@,LAC,L 13-30,,0,0,0,,0,0.0%,,0,0,,0,0.0,2,2,0,0,0
38,2017,2017-12-17,14,25.148,WAS,,ARI,W 20-15,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0,0,0,0
39,2017,2017-12-24,15,25.155,WAS,,DEN,W 27-11,,0,0,0,,0,0.0%,,0,0,,0,0.0,1,0,0,0,0
40,2017,2017-12-31,16,25.162,WAS,@,NYG,L 10-18,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0,0,0,0
41,2018,2018-09-09,1,26.049,WAS,@,ARI,W 24-6,,0,0,0,,0,0.0%,,0,0,,0,0.0,4,1,1,-3,0
42,2018,2018-09-16,2,26.056,WAS,,IND,L 9-21,*,0,0,0,,0,0.0%,,0,0,,0,0.0,5,0,0,0,0
43,2018,2018-09-23,3,26.063,WAS,,GNB,W 31-17,*,0,0,0,,0,0.0%,,0,0,,0,0.0,6,0,0,0,0
