ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1961,1961-12-10,13,24.209,NYT,,HOU,L 21-48,0,0,,0,0,0,,0,0,0,1,0,0,0,0,,0
2,1962,1962-09-22,3,25.130,NYT,@,BUF,W 17-6,0,0,,0,0,0,,0,0,0,1,0,0,0,0,,0
3,1962,1962-09-30,4,25.138,NYT,,DEN,L 10-32,0,0,,0,0,0,,0,0,0,1,0,0,0,0,,0
4,1962,1962-10-28,8,25.166,NYT,,SDG,W 23-3,0,0,,0,0,0,,0,0,0,1,0,0,3,113,37.67,0
5,1963,1963-09-28,3,26.136,NYJ,,OAK,W 10-7,0,0,,0,0,0,,0,0,0,3,90,0,0,0,,0
6,1963,1963-10-05,4,26.143,NYJ,,BOS,W 31-24,0,0,,0,0,0,,0,0,0,1,20,0,0,0,,0
7,1963,1963-12-01,11,26.200,NYJ,,KAN,W 17-0,0,0,,0,0,0,,0,0,0,2,4,0,0,0,,0
8,1964,1964-09-27,2,27.135,NYJ,@,BOS,L 10-26,0,0,,0,0,0,,0,0,0,1,0,0,0,0,,0
9,1964,1964-10-03,3,27.141,NYJ,,SDG,T 17-17,0,0,,0,0,0,,0,0,0,2,0,0,0,0,,0
10,1964,1964-10-10,4,27.148,NYJ,,OAK,W 35-13,0,0,,0,0,0,,0,0,0,2,54,0,0,0,,0
11,1964,1964-10-31,7,27.169,NYJ,,BOS,W 35-14,0,0,,0,0,0,,0,0,0,1,7,0,0,0,,0
12,1964,1964-11-08,8,27.177,NYJ,,BUF,L 7-20,0,0,,0,0,0,,0,0,0,1,0,0,0,0,,0
13,1964,1964-11-15,9,27.184,NYJ,@,DEN,L 16-20,0,0,,0,1,9,9.00,0,0,0,2,21,0,0,0,,0
14,1964,1964-11-22,10,27.191,NYJ,@,OAK,L 26-35,0,0,,0,1,4,4.00,0,0,0,0,0,0,0,0,,0
15,1964,1964-11-29,11,27.198,NYJ,,KAN,W 27-14,0,0,,0,2,7,3.50,0,1,6,2,33,1,0,0,,0
16,1964,1964-12-06,12,27.205,NYJ,@,SDG,L 3-38,0,0,,0,0,0,,0,0,0,1,42,0,0,0,,0
17,1964,1964-12-13,13,27.212,NYJ,@,HOU,L 17-33,0,0,,0,1,12,12.00,0,0,0,0,0,0,0,0,,0
18,1964,1964-12-20,14,27.219,NYJ,@,KAN,L 7-24,0,0,,0,3,2,0.67,0,0,0,0,0,0,0,0,,0
19,1965,1965-10-23,6,28.161,NYJ,,SDG,L 9-34,0,0,,0,0,0,,0,0,0,1,11,0,0,0,,0
20,1965,1965-11-07,8,28.176,NYJ,@,KAN,W 13-10,0,0,,0,0,0,,0,0,0,2,24,0,0,0,,0
21,1965,1965-11-14,9,28.183,NYJ,@,BOS,W 30-20,0,0,,0,0,0,,0,0,0,2,16,0,0,0,,0
22,1965,1965-11-21,10,28.190,NYJ,,HOU,W 41-14,0,0,,0,0,0,,0,0,0,1,0,0,0,0,,0
23,1965,1965-11-28,11,28.197,NYJ,,BOS,L 23-27,1,0,0.00,0,0,0,,0,0,0,0,0,0,0,0,,0
24,1965,1965-12-04,12,28.203,NYJ,@,SDG,L 7-38,0,0,,0,0,0,,0,0,0,1,21,0,0,0,,0
