ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1993,1993-11-28,11,22.352,KAN,,BUF,W 23-7,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,2,48,24.00,0,0,0,,0,0,0
2,1993,1993-12-05,12,22.359,KAN,@,SEA,W 31-16,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,2,28,14.00,0,0,0,,0,0,0
3,1993,1993-12-12,13,23.001,KAN,@,DEN,L 21-27,,,,,,0.0%,,,,,,,,,,,,,,,,,0,0,,0,0,0,,0,,
4,1993,1993-12-19,14,23.008,KAN,,SDG,W 28-24,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,5,102,20.40,0,0,0,,0,0,0
5,1993,1993-12-26,15,23.015,KAN,@,MIN,L 10-30,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,,,,,5,88,17.60,0,0,0,,0,0,0
6,1993,1994-01-02,16,23.022,KAN,,SEA,W 34-24,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,3,49,16.33,0,0,0
7,1994,1994-09-04,1,23.267,KAN,@,NOR,W 30-17,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,8,8.00,0,0,0
8,1994,1994-09-11,2,23.274,KAN,,SFO,W 24-17,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,1,18,18.00,0,2,47,23.50,0,0,0
9,1994,1994-09-18,3,23.281,KAN,@,ATL,W 30-10,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,3,30,10.00,0,0,0
10,1994,1994-09-25,4,23.288,KAN,,RAM,L 0-16,4,1,9,9.00,0,25.0%,2.25,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,3,26,8.67,0,0,0
11,1994,1994-10-09,5,23.302,KAN,@,SDG,L 6-20,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,3,17,5.67,0,0,0
12,1994,1994-10-17,6,23.310,KAN,@,DEN,W 31-28,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,3,17,5.67,0,0,0
13,1994,1994-10-23,7,23.316,KAN,,SEA,W 38-23,2,1,5,5.00,0,50.0%,2.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,3,17,5.67,0,0,0
14,1994,1994-10-30,8,23.323,KAN,@,BUF,L 10-44,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,2,5,2.50,0,0,0
15,1994,1994-11-06,9,23.330,KAN,,RAI,W 13-3,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,2,5,2.50,0,0,0
16,1994,1994-11-13,10,23.337,KAN,,SDG,L 13-14,5,4,53,13.25,0,80.0%,10.60,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,3,10,3.33,0,0,0
17,1994,1994-11-20,11,23.344,KAN,,CLE,W 20-13,1,1,13,13.00,0,100.0%,13.00,0,0,,0,0,0,,0,0,0,,,,,,1,22,22.00,0,0,0,,0,0,0
18,1994,1994-11-27,12,23.351,KAN,@,SEA,L 9-10,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,,,,,3,81,27.00,0,1,6,6.00,0,0,0
19,1994,1994-12-04,13,23.358,KAN,,DEN,L 17-20,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,4,4.00,0,0,0
20,1994,1994-12-12,14,24.001,KAN,@,MIA,L 28-45,,0,0,,0,0.0%,,,,,,,,,,,,,,,,,0,0,,0,0,0,,0,,
21,1994,1994-12-18,15,24.007,KAN,,HOU,W 31-9,1,0,0,,0,0.0%,0.00,,,,,,,,,,,,,,,,0,0,,0,0,0,,0,,
22,1994,1994-12-24,16,24.013,KAN,@,RAI,W 19-9,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,,,,,4,69,17.25,0,0,0,,0,0,0
23,1995,1995-09-03,1,24.266,KAN,@,SEA,W 34-10,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
24,1995,1995-09-10,2,24.273,KAN,,NYG,W 20-17,3,3,14,4.67,1,100.0%,4.67,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6
25,1995,1995-09-17,3,24.280,KAN,,OAK,W 23-17,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
26,1995,1995-09-24,4,24.287,KAN,@,CLE,L 17-35,2,1,9,9.00,0,50.0%,4.50,0,0,,0,0,0,,0,0,0,,,,,,1,18,18.00,0,1,8,8.00,0,0,0
27,1995,1995-10-01,5,24.294,KAN,@,ARI,W 24-3,0,0,0,,0,0.0%,,0,0,,0,,,,,,,,,,,,0,0,,0,0,0,,0,0,
28,1995,1995-10-09,6,24.302,KAN,,SDG,W 29-23,,0,0,,0,0.0%,,0,0,,0,,,,,,,,,,,,0,0,,0,0,0,,0,0,
29,1995,1995-10-15,7,24.308,KAN,,NWE,W 31-26,1,0,0,,0,0.0%,0.00,0,0,,0,,,,,,,,,,,,0,0,,0,0,0,,0,0,
30,1995,1995-10-22,8,24.315,KAN,@,DEN,W 21-7,1,0,0,,0,0.0%,0.00,0,0,,0,,,,,,,,,,,,0,0,,0,0,0,,0,0,
31,1995,1995-11-05,9,24.329,KAN,,WAS,W 24-3,1,1,13,13.00,0,100.0%,13.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
32,1995,1995-11-12,10,24.336,KAN,@,SDG,W 22-7,2,2,8,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
33,1995,1995-11-19,11,24.343,KAN,,HOU,W 20-13,3,2,12,6.00,0,66.7%,4.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
34,1995,1995-11-23,12,24.347,KAN,@,DAL,L 12-24,2,1,2,2.00,0,50.0%,1.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
35,1995,1995-12-03,13,24.357,KAN,@,OAK,W 29-23,1,1,16,16.00,0,100.0%,16.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
36,1995,1995-12-11,14,25.000,KAN,@,MIA,L 6-13,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,2,1,0.50,0,0,0
37,1995,1995-12-17,15,25.006,KAN,,DEN,W 20-17,2,1,16,16.00,0,50.0%,8.00,1,5,5.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
38,1995,1995-12-24,16,25.013,KAN,,SEA,W 26-3,,0,0,,0,0.0%,,0,0,,0,,,,,,,,,,,,0,0,,0,0,0,,0,0,
39,1996,1996-09-01,1,25.265,KAN,@,HOU,W 20-19,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,,,,1,20,20.00,0,0,0,,0,0,0
40,1996,1996-09-08,2,25.272,KAN,,OAK,W 19-3,4,3,45,15.00,0,75.0%,11.25,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
41,1996,1996-09-15,3,25.279,KAN,@,SEA,W 35-17,5,5,28,5.60,0,100.0%,5.60,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
42,1996,1996-09-22,4,25.286,KAN,,DEN,W 17-14,3,3,31,10.33,1,100.0%,10.33,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,1,6
43,1996,1996-09-29,5,25.293,KAN,@,SDG,L 19-22,4,1,5,5.00,0,25.0%,1.25,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
44,1996,1996-10-07,6,25.301,KAN,,PIT,L 7-17,4,2,21,10.50,0,50.0%,5.25,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
45,1996,1996-10-17,7,25.311,KAN,,SEA,W 34-16,1,0,0,,0,0.0%,0.00,,,,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,
46,1996,1996-10-27,8,25.321,KAN,@,DEN,L 7-34,4,1,12,12.00,0,25.0%,3.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
47,1996,1996-11-03,9,25.328,KAN,@,MIN,W 21-6,1,0,0,,0,0.0%,0.00,,,,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,
48,1996,1996-11-17,11,25.342,KAN,,CHI,W 14-10,1,1,8,8.00,0,100.0%,8.00,0,0,,0,1,1,100.00,30,0,0,118.7,0,0,30.00,30.00,0,0,,0,0,0,,0,0,0
49,1996,1996-11-24,12,25.349,KAN,,SDG,L 14-28,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,,,,1,22,22.00,0,0,0,,0,0,0
50,1996,1996-11-28,13,25.353,KAN,@,DET,W 28-24,,0,0,,0,0.0%,,,,,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,
51,1996,1996-12-09,14,25.364,KAN,@,OAK,L 7-26,,0,0,,0,0.0%,,,,,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,
52,1996,1996-12-15,15,26.004,KAN,,IND,L 19-24,2,0,0,,0,0.0%,0.00,,,,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,
53,1996,1996-12-22,16,26.011,KAN,@,BUF,L 9-20,3,1,17,17.00,0,33.3%,5.67,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
54,1997,1997-08-31,1,26.263,KAN,@,DEN,L 3-19,,0,0,,0,0.0%,,,,,,,,,,,,,,,,,0,0,,0,,,,,,
55,1997,1997-09-08,2,26.271,KAN,@,OAK,W 28-27,3,1,12,12.00,0,33.3%,4.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
56,1997,1997-09-14,3,26.277,KAN,,BUF,W 22-16,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
57,1997,1997-09-21,4,26.284,KAN,@,CAR,W 35-14,0,0,0,,0,0.0%,,,,,,,,,,,,,,,,,0,0,,0,,,,,,
58,1997,1997-09-28,5,26.291,KAN,,SEA,W 20-17,,0,0,,0,0.0%,,,,,,,,,,,,,,,,,0,0,,0,,,,,,
59,1997,1997-10-05,6,26.298,KAN,@,MIA,L 14-17,,0,0,,0,0.0%,,,,,,,,,,,,,,,,,0,0,,0,,,,,,
60,1997,1997-10-16,7,26.309,KAN,,SDG,W 31-3,0,0,0,,0,0.0%,,,,,,,,,,,,,,,,,0,0,,0,,,,,,
61,1997,1997-10-26,8,26.319,KAN,@,STL,W 28-20,1,0,0,,0,0.0%,0.00,,,,,,,,,,,,,,,,0,0,,0,,,,,,
62,1997,1997-11-03,9,26.327,KAN,,PIT,W 13-10,3,2,24,12.00,1,66.7%,8.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6
63,1997,1997-11-09,10,26.333,KAN,@,JAX,L 10-24,1,1,10,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
64,1997,1997-11-16,11,26.340,KAN,,DEN,W 24-22,3,2,10,5.00,1,66.7%,3.33,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6
65,1997,1997-11-23,12,26.347,KAN,@,SEA,W 19-14,0,0,0,,0,0.0%,,,,,,,,,,,,,,,,,0,0,,0,,,,,,
66,1997,1997-11-30,13,26.354,KAN,,SFO,W 44-9,,0,0,,0,0.0%,,,,,,,,,,,,,,,,,0,0,,0,,,,,,
67,1997,1997-12-07,14,26.361,KAN,,OAK,W 30-0,,0,0,,0,0.0%,,,,,,,,,,,,,,,,,0,0,,0,,,,,,
68,1997,1997-12-14,15,27.003,KAN,@,SDG,W 29-7,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,1,21,21.00,0,0,0,,0,0,0
69,1997,1997-12-21,16,27.010,KAN,,NOR,W 25-13,1,0,0,,0,0.0%,0.00,,,,,,,,,,,,,,,,0,0,,0,,,,,,
70,1998,1998-09-06,1,27.269,KAN,,OAK,W 28-8,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,-1,-1.00,0,0,0
71,1998,1998-09-13,2,27.276,KAN,@,JAX,L 16-21,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,11,11.00,0,0,0
72,1998,1998-09-20,3,27.283,KAN,,SDG,W 23-7,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
73,1998,1998-09-27,4,27.290,KAN,@,PHI,W 24-21,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,
74,1998,1998-10-04,5,27.297,KAN,,SEA,W 17-6,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,
75,1998,1998-10-11,6,27.304,KAN,@,NWE,L 10-40,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,
76,1998,1998-10-26,7,27.319,KAN,,PIT,L 13-20,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
77,1998,1998-11-01,8,27.325,KAN,,NYJ,L 17-20,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,
78,1998,1998-11-08,9,27.332,KAN,@,SEA,L 12-24,1,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,
79,1998,1998-11-16,10,27.340,KAN,,DEN,L 7-30,1,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,
80,1998,1998-11-22,11,27.346,KAN,@,SDG,L 37-38,1,1,10,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
81,1998,1998-11-29,12,27.353,KAN,,ARI,W 34-24,1,0,0,,0,0.0%,0.00,0,0,,0,1,1,100.00,25,0,0,118.7,0,0,25.00,25.00,0,0,,0,0,0,,0,0,0
82,1998,1998-12-06,13,27.360,KAN,@,DEN,L 31-35,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,
83,1998,1998-12-13,14,28.002,KAN,,DAL,W 20-17,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,
84,1998,1998-12-20,15,28.009,KAN,@,NYG,L 7-28,1,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,
