ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1984,1984-09-02,1,23.031,GNB,,STL,W 24-23,,0,0,,0,,,0,0,,0,,,,,0,
2,1984,1984-09-09,2,23.038,GNB,@,RAI,L 7-28,,1,7,7.00,1,,,0,0,,0,0,0,,0,1,6
3,1984,1984-09-16,3,23.045,GNB,,CHI,L 7-9,,0,0,,0,,,0,0,,0,,,,,0,
4,1984,1984-09-23,4,23.052,GNB,@,DAL,L 6-20,,1,9,9.00,0,,,0,0,,0,0,0,,0,0,0
5,1984,1984-09-30,5,23.059,GNB,@,TAM,L 27-30,,0,0,,0,,,0,0,,0,,,,,0,
6,1984,1984-10-07,6,23.066,GNB,,SDG,L 28-34,,2,33,16.50,1,,,0,0,,0,0,0,,0,1,6
7,1984,1984-10-15,7,23.074,GNB,@,DEN,L 14-17,,0,0,,0,,,0,0,,0,,,,,0,
8,1984,1984-10-21,8,23.080,GNB,,SEA,L 24-30,,0,0,,0,,,0,0,,0,,,,,0,
9,1984,1984-10-28,9,23.087,GNB,,DET,W 41-9,,0,0,,0,,,0,0,,0,,,,,0,
10,1984,1984-11-04,10,23.094,GNB,@,NOR,W 23-13,,0,0,,0,,,0,0,,0,,,,,0,
11,1984,1984-11-11,11,23.101,GNB,,MIN,W 45-17,,0,0,,0,,,1,2,2.00,1,0,0,,0,1,6
12,1984,1984-11-18,12,23.108,GNB,,RAM,W 31-6,,0,0,,0,,,0,0,,0,,,,,0,
13,1984,1984-11-22,13,23.112,GNB,@,DET,L 28-31,,0,0,,0,,,0,0,,0,,,,,0,
14,1984,1984-12-02,14,23.122,GNB,,TAM,W 27-14,,0,0,,0,,,0,0,,0,,,,,0,
15,1984,1984-12-09,15,23.129,GNB,@,CHI,W 20-14,,1,3,3.00,1,,,0,0,,0,0,0,,0,1,6
16,1984,1984-12-16,16,23.136,GNB,@,MIN,W 38-14,,1,2,2.00,1,,,0,0,,0,0,0,,0,1,6
17,1985,1985-09-08,1,24.037,GNB,@,NWE,L 20-26,,0,0,,0,,,0,0,,0,,,,,0,
18,1985,1985-09-15,2,24.044,GNB,,NYG,W 23-20,,0,0,,0,,,0,0,,0,,,,,0,
19,1985,1985-09-22,3,24.051,GNB,,NYJ,L 3-24,,0,0,,0,,,0,0,,0,,,,,0,
20,1985,1985-09-29,4,24.058,GNB,@,STL,L 28-43,,1,21,21.00,0,,,0,0,,0,0,0,,0,0,0
