ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att
1,1956,1956-09-30,1,22.230,PHI,@,RAM,L 7-27,14,40,2.86,0,2,-4,-2.00,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00
2,1956,1956-10-06,2,22.236,PHI,,WAS,W 13-9,14,40,2.86,1,2,36,18.00,0,0,0,,0,0,,,,,,
3,1956,1956-10-14,3,22.244,PHI,@,PIT,W 35-21,12,18,1.50,1,1,-3,-3.00,0,0,0,,0,0,,,,,,
4,1956,1956-10-21,4,22.251,PHI,,CRD,L 6-20,14,71,5.07,0,0,0,,0,0,0,,0,0,,,,,,
5,1956,1956-10-28,5,22.258,PHI,@,NYG,L 3-20,7,16,2.29,0,1,3,3.00,0,0,0,,0,0,,,,,,
6,1956,1956-11-04,6,22.265,PHI,@,CRD,L 17-28,2,2,1.00,0,0,0,,0,0,0,,0,0,,,,,,
7,1956,1956-11-11,7,22.272,PHI,,PIT,W 14-7,10,38,3.80,0,0,0,,0,0,0,,0,0,,,,,,
8,1956,1956-11-18,8,22.279,PHI,,CLE,L 0-16,6,21,3.50,0,1,9,9.00,0,0,0,,0,0,,,,,,
9,1956,1956-11-25,9,22.286,PHI,,SFO,T 10-10,15,39,2.60,0,3,54,18.00,0,0,0,,0,0,,,,,,
10,1956,1956-12-02,10,22.293,PHI,@,CLE,L 14-17,2,16,8.00,0,0,0,,0,0,0,,0,0,,,,,,
11,1956,1956-12-09,11,22.300,PHI,@,WAS,L 17-19,2,8,4.00,0,0,0,,0,1,1,100.00,11,1,0,152.1,0,0,11.00,31.00
12,1956,1956-12-15,12,22.306,PHI,,NYG,L 7-21,4,11,2.75,0,3,22,7.33,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00
