ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,def_int,def_int_yds,def_int_td
1,2002,2002-09-08,1,23.260,MIN,@,CHI,L 23-27,*,1,6,0
2,2002,2002-09-15,2,23.267,MIN,,BUF,L 39-45,*,,,
3,2002,2002-09-22,3,23.274,MIN,,CAR,L 14-21,*,,,
4,2002,2002-10-13,5,23.295,MIN,,DET,W 31-24,*,,,
5,2002,2002-10-20,6,23.302,MIN,@,NYJ,L 7-20,*,,,
6,2002,2002-11-10,9,23.323,MIN,,NYG,L 20-27,*,,,
7,2002,2002-11-24,11,23.337,MIN,@,NWE,L 17-24,,,,
8,2002,2002-12-01,12,23.344,MIN,,ATL,L 24-30,,,,
9,2002,2002-12-08,13,23.351,MIN,@,GNB,L 22-26,,,,
10,2002,2002-12-15,14,23.358,MIN,@,NOR,W 32-31,,,,
11,2002,2002-12-21,15,23.364,MIN,,MIA,W 20-17,,,,
12,2002,2002-12-29,16,24.007,MIN,@,DET,W 38-36,,,,
13,2003,2003-09-07,1,24.259,MIN,@,GNB,W 30-25,,,,
14,2003,2003-09-14,2,24.266,MIN,,CHI,W 24-13,,,,
15,2003,2003-09-21,3,24.273,MIN,@,DET,W 23-13,,,,
16,2003,2003-09-28,4,24.280,MIN,,SFO,W 35-7,,,,
17,2003,2003-10-05,5,24.287,MIN,@,ATL,W 39-26,,,,
18,2003,2003-10-19,6,24.301,MIN,,DEN,W 28-20,,,,
19,2003,2003-10-26,7,24.308,MIN,,NYG,L 17-29,,,,
20,2003,2003-11-02,8,24.315,MIN,,GNB,L 27-30,,,,
21,2003,2003-11-09,9,24.322,MIN,@,SDG,L 28-42,,,,
22,2003,2003-11-16,10,24.329,MIN,@,OAK,L 18-28,,,,
23,2003,2003-11-23,11,24.336,MIN,,DET,W 24-14,,,,
24,2003,2003-11-30,12,24.343,MIN,@,STL,L 17-48,,,,
25,2003,2003-12-07,13,24.350,MIN,,SEA,W 34-7,,,,
26,2003,2003-12-14,14,24.357,MIN,@,CHI,L 10-13,,,,
27,2003,2003-12-20,15,24.363,MIN,,KAN,W 45-20,,,,
28,2003,2003-12-28,16,25.006,MIN,@,ARI,L 17-18,,,,
29,2004,2004-09-12,1,25.265,MIN,,DAL,W 35-17,,,,
30,2004,2004-09-20,2,25.273,MIN,@,PHI,L 16-27,,,,
31,2004,2004-09-26,3,25.279,MIN,,CHI,W 27-22,,,,
32,2004,2004-10-10,4,25.293,MIN,@,HOU,W 34-28,,,,
33,2004,2004-10-17,5,25.300,MIN,@,NOR,W 38-31,,,,
34,2004,2004-10-24,6,25.307,MIN,,TEN,W 20-3,,,,
35,2004,2004-10-31,7,25.314,MIN,,NYG,L 13-34,,,,
36,2004,2004-11-08,8,25.322,MIN,@,IND,L 28-31,,,,
37,2004,2004-11-14,9,25.328,MIN,@,GNB,L 31-34,,,,
38,2004,2004-11-21,10,25.335,MIN,,DET,W 22-19,,,,
39,2004,2004-11-28,11,25.342,MIN,,JAX,W 27-16,,,,
40,2004,2004-12-05,12,25.349,MIN,@,CHI,L 14-24,,,,
41,2004,2004-12-12,13,25.356,MIN,,SEA,L 23-27,,,,
42,2004,2004-12-19,14,25.363,MIN,@,DET,W 28-27,,,,
43,2004,2004-12-24,15,26.002,MIN,,GNB,L 31-34,,,,
44,2004,2005-01-02,16,26.011,MIN,@,WAS,L 18-21,,,,
45,2005,2005-09-11,1,26.263,MIN,,TAM,L 13-24,,,,
46,2005,2005-09-18,2,26.270,MIN,@,CIN,L 8-37,,1,0,0
47,2005,2005-09-25,3,26.277,MIN,,NOR,W 33-16,*,,,
