ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1981,1981-09-06,1,22.316,NOR,@,ATL,L 0-27,,,,,,,,,,,,,,,,,,,,,,,,,
2,1981,1981-09-13,2,22.323,NOR,,RAM,W 23-17,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,1,16,0
3,1981,1981-09-20,3,22.330,NOR,@,NYG,L 7-20,,,,,,,,,,,,,,,,,,,,,,,,,
4,1981,1981-09-27,4,22.337,NOR,@,SFO,L 14-21,,,,,,,,,,,,,,,,,,,,,,,,,
5,1981,1981-10-04,5,22.344,NOR,,PIT,L 6-20,,,,,,,,,,,,,,,,,,,,,,,,,
6,1981,1981-10-11,6,22.351,NOR,,PHI,L 14-31,,,,,,,,,,,,,,,,,,,,,,,,,
7,1981,1981-10-18,7,22.358,NOR,@,CLE,L 17-20,,,,,,,,,,,,,,,,,,,,,,,,,
8,1981,1981-10-25,8,23.000,NOR,,CIN,W 17-7,,,,,,,,,,,,,,,,,,,,,,,,,
9,1981,1981-11-01,9,23.007,NOR,,ATL,L 10-41,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,1,0,0
10,1981,1981-11-08,10,23.014,NOR,@,RAM,W 21-13,,,,,,,,,,,,,,,,,,,,,,,,,
11,1981,1981-11-15,11,23.021,NOR,@,MIN,L 10-20,,,,,,,,,,,,,,,,,,,,,,,,,
12,1981,1981-11-22,12,23.028,NOR,@,HOU,W 27-24,,,,,,,,,,,,,,,,,,,,,,,,,
13,1981,1981-11-29,13,23.035,NOR,,TAM,L 14-31,,,,,,,,,,,,,,,,,,,,,,,,,
14,1981,1981-12-06,14,23.042,NOR,@,STL,L 3-30,,,,,,,,,,,,,,,,,,,,,,,,,
15,1981,1981-12-13,15,23.049,NOR,,GNB,L 7-35,,,,,,,,,,,,,,,,,,,,,,,,,
16,1981,1981-12-20,16,23.056,NOR,,SFO,L 17-21,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,1,0,0
17,1982,1982-09-12,1,23.322,NOR,,STL,L 7-21,,,,,,,,,,,,,,,,,,,,,,,,,
18,1982,1982-09-19,2,23.329,NOR,@,CHI,W 10-0,,,,,,,,,,,,,,,,,,,,,,,,,
19,1982,1982-11-21,3,24.027,NOR,,KAN,W 27-17,,,,,,,,,,,,,,,,,,,,,,,,,
20,1982,1982-11-28,4,24.034,NOR,@,SFO,W 23-20,,,,,,,,,,,,,,,,,,,,,,,,,
21,1982,1982-12-05,5,24.041,NOR,,TAM,L 10-13,,,,,,,,,,,,,,,,,,,,,,,,,
22,1982,1982-12-12,6,24.048,NOR,@,ATL,L 0-35,,,,,,,,,,,,,,,,,,,,,,,,,
23,1982,1982-12-19,7,24.055,NOR,@,DAL,L 7-21,,,,,,,,,,,,,,,,,,,,,,,,,
24,1982,1982-12-26,8,24.062,NOR,,WAS,L 10-27,,,,,,,,,,,,,,,,,,,,,,,,,
25,1982,1983-01-02,9,24.069,NOR,,ATL,W 35-6,,,,,,,,,,,,,,,,,,,,,,,,,
26,1983,1983-09-04,1,24.314,NOR,,STL,W 28-17,,,,,,,,,,,,,,,,0,0,,0,,,,,,
27,1983,1983-09-11,2,24.321,NOR,@,RAM,L 27-30,,,,,,,,,,,,,,,,0,0,,0,,,,,,
28,1983,1983-09-18,3,24.328,NOR,,CHI,W 34-31,,,,,,,,,,,,,,,,0,0,,0,,,,,,
29,1983,1983-09-25,4,24.335,NOR,@,DAL,L 20-21,,,,,,,,,,,,,,,,0,0,,0,,,,,,
30,1983,1983-10-02,5,24.342,NOR,,MIA,W 17-7,,,,,,,,,,,,,,,,0,0,,0,,,,,,
31,1983,1983-10-09,6,24.349,NOR,@,ATL,W 19-17,,,,,,,,,,,,,,,,0,0,,0,,,,,,
32,1983,1983-10-16,7,24.356,NOR,,SFO,L 13-32,,,,,,,,,,,,,,,,0,0,,0,,,,,,
33,1983,1983-10-23,8,24.363,NOR,@,TAM,W 24-21,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,1,9,0
34,1983,1983-10-30,9,25.005,NOR,@,BUF,L 21-27,,,,,,,,,,,,,,,,0,0,,0,,,,,,
35,1983,1983-11-06,10,25.012,NOR,,ATL,W 27-10,,,,,,,,,,,,,,,,0,0,,0,,,,,,
36,1983,1983-11-13,11,25.019,NOR,@,SFO,L 0-27,,,,,,,,,,,,,,,,0,0,,0,,,,,,
37,1983,1983-11-21,12,25.027,NOR,,NYJ,L 28-31,0,0,,0,0,0,,0,0,0,,,,,,1,4,4.00,0,0,0,0.0,0,0,0
38,1983,1983-11-27,13,25.033,NOR,,MIN,W 17-16,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,1,24,0
39,1983,1983-12-04,14,25.040,NOR,@,NWE,L 0-7,,,,,,,,,,,,,,,,0,0,,0,,,,,,
40,1983,1983-12-11,15,25.047,NOR,@,PHI,W 20-17,,,,,,,,,,,,,,,,0,0,,0,,,,,,
41,1983,1983-12-18,16,25.054,NOR,,RAM,L 24-26,,,,,,,,,,,,,,,,0,0,,0,,,,,,
42,1984,1984-09-02,1,25.313,NOR,,ATL,L 28-36,,,,,,,,,,,,,,,,,,,,,,,,,
43,1984,1984-09-09,2,25.320,NOR,,TAM,W 17-13,,,,,,,,,,,,,,,,,,,,,,,,,
44,1984,1984-09-16,3,25.327,NOR,@,SFO,L 20-30,,,,,,,,,,,,,,,,,,,,,,,,,
45,1984,1984-09-23,4,25.334,NOR,,STL,W 34-24,,,,,,,,,,,,,,,,,,,,,,,,,
46,1984,1984-09-30,5,25.341,NOR,@,HOU,W 27-10,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0.0,1,35,1
47,1984,1984-10-07,6,25.348,NOR,@,CHI,L 7-20,,,,,,,,,,,,,,,,,,,,,,,,,
48,1984,1984-10-14,7,25.355,NOR,,RAM,L 10-28,,,,,,,,,,,,,,,,,,,,,,,,,
49,1984,1984-10-21,8,25.362,NOR,@,DAL,L 27-30,,,,,,,,,,,,,,,,,,,,,,,,,
50,1984,1984-10-28,9,26.003,NOR,@,CLE,W 16-14,,,,,,,,,,,,,,,,,,,,,,,,,
51,1984,1984-11-04,10,26.010,NOR,,GNB,L 13-23,,,,,,,,,,,,,,,,,,,,,,,,,
52,1984,1984-11-11,11,26.017,NOR,@,ATL,W 17-13,,,,,,,,,,,,,,,,,,,,,,,,,
53,1984,1984-11-19,12,26.025,NOR,,PIT,W 27-24,,,,,,,,,,,,,,,,,,,,,,,,,
54,1984,1984-11-25,13,26.031,NOR,,SFO,L 3-35,,,,,,,,,,,,,,,,,,,,,,,,,
55,1984,1984-12-02,14,26.038,NOR,@,RAM,L 21-34,,,,,,,,,,,,,,,,,,,,,,,,,
56,1984,1984-12-09,15,26.045,NOR,,CIN,L 21-24,,,,,,,,,,,,,,,,,,,,,,,,,
57,1984,1984-12-15,16,26.051,NOR,@,NYG,W 10-3,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,1,17,0
58,1985,1985-09-08,1,26.318,NOR,,KAN,L 27-47,0,0,,0,,,,,,,,,,,,,,,,,,,,,
59,1985,1985-09-15,2,26.325,NOR,@,DEN,L 23-34,0,0,,0,,,,,,,,,,,,,,,,,,,,,
60,1985,1985-09-22,3,26.332,NOR,,TAM,W 20-13,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,1,0,0
61,1985,1985-09-29,4,26.339,NOR,@,SFO,W 20-17,0,0,,0,,,,,,,,,,,,,,,,,,,,,
62,1985,1985-10-06,5,26.346,NOR,,PHI,W 23-21,0,0,,0,,,,,,,,,,,,,,,,,,,,,
63,1985,1985-10-13,6,26.353,NOR,@,RAI,L 13-23,0,0,,0,,,,,,,,,,,,,,,,,,,,,
64,1985,1985-10-20,7,26.360,NOR,@,ATL,L 24-31,1,19,19.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,1,0,0
65,1985,1985-10-27,8,27.002,NOR,,NYG,L 13-21,0,0,,0,,,,,,,,,,,,,,,,,,,,,
66,1985,1985-11-03,9,27.009,NOR,@,RAM,L 10-28,0,0,,0,,,,,,,,,,,,,,,,,,,,,
67,1985,1985-11-10,10,27.016,NOR,,SEA,L 3-27,0,0,,0,,,,,,,,,,,,,,,,,,,,,
68,1985,1985-11-17,11,27.023,NOR,@,GNB,L 14-38,1,23,23.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,0,0,0
69,1985,1985-11-24,12,27.030,NOR,@,MIN,W 30-23,0,0,,0,,,,,,,,,,,,,,,,,,,,,
70,1985,1985-12-01,13,27.037,NOR,,RAM,W 29-3,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,1.0,0,0,0
71,1985,1985-12-08,14,27.044,NOR,@,STL,L 16-28,0,0,,0,,,,,,,,,,,,,,,,,,,,,
72,1985,1985-12-15,15,27.051,NOR,,SFO,L 19-31,0,0,,0,,,,,,,,,,,,,,,,,,,,,
73,1985,1985-12-22,16,27.058,NOR,,ATL,L 10-16,0,0,,0,,,,,,,,,,,,,,,,,,,,,
74,1986,1986-09-07,1,27.317,NOR,,ATL,L 10-31,,,,,0,0,,0,0,0,,0,,,,,,,,,,,,,
75,1986,1986-09-14,2,27.324,NOR,,GNB,W 24-10,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,1,10,0
76,1986,1986-09-21,3,27.331,NOR,@,SFO,L 17-26,,,,,0,0,,0,0,0,,0,,,,,,,,,,,,,
77,1986,1986-09-28,4,27.338,NOR,@,NYG,L 17-20,,,,,0,0,,0,0,0,,0,,,,,,,,,,,,,
78,1986,1986-10-05,5,27.345,NOR,,WAS,L 6-14,,,,,0,0,,0,0,0,,0,,,,,,,,,,,,,
79,1986,1986-10-12,6,27.352,NOR,@,IND,W 17-14,0,0,,0,1,1,100.00,13,0,0,118.7,0,0,13.00,13.00,0,0,,0,0,0,0.0,0,0,0
80,1986,1986-10-19,7,27.359,NOR,,TAM,W 38-7,,,,,0,0,,0,0,0,,0,,,,,,,,,,,,,
81,1986,1986-10-26,8,28.001,NOR,@,NYJ,L 23-28,,,,,0,0,,0,0,0,,0,,,,,,,,,,,,,
82,1986,1986-11-02,9,28.008,NOR,,SFO,W 23-10,,,,,0,0,,0,0,0,,0,,,,,,,,,,,,,
83,1986,1986-11-09,10,28.015,NOR,,RAM,W 6-0,,,,,0,0,,0,0,0,,0,,,,,,,,,,,,,
84,1986,1986-11-16,11,28.022,NOR,@,STL,W 16-7,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,1,22,0
85,1986,1986-11-23,12,28.029,NOR,@,RAM,L 13-26,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,1,2,0
86,1986,1986-11-30,13,28.036,NOR,,NWE,L 20-21,,,,,0,0,,0,0,0,,0,,,,,,,,,,,,,
87,1986,1986-12-07,14,28.043,NOR,,MIA,L 27-31,,,,,0,0,,0,0,0,,0,,,,,,,,,,,,,
88,1986,1986-12-14,15,28.050,NOR,@,ATL,W 14-9,,,,,0,0,,0,0,0,,0,,,,,,,,,,,,,
89,1986,1986-12-21,16,28.057,NOR,@,MIN,L 17-33,,,,,0,0,,0,0,0,,0,,,,,,,,,,,,,
90,1987,1987-09-13,1,28.323,NOR,,CLE,W 28-21,,,,,,,,,,,,,,,,,,,,,,,,,
91,1987,1987-09-20,2,28.330,NOR,@,PHI,L 17-27,,,,,,,,,,,,,,,,,,,,,,,,,
92,1987,1987-11-29,11,29.035,RAM,,TAM,W 35-3,,,,,,,,,,,,,,,,,,,,,,,,,
93,1987,1987-12-06,12,29.042,RAM,@,DET,W 37-16,,,,,,,,,,,,,,,,,,,,,,,,,
94,1987,1987-12-13,13,29.049,RAM,,ATL,W 33-0,,,,,,,,,,,,,,,,,,,,,,,,,
95,1987,1987-12-21,14,29.057,RAM,,DAL,L 21-29,,,,,,,,,,,,,,,,,,,,,,,,,
96,1987,1987-12-27,15,29.063,RAM,@,SFO,L 0-48,,,,,,,,,,,,,,,,,,,,,,,,,
97,1988,1988-10-23,8,29.364,RAM,,SEA,W 31-10,,,,,,,,,,,,,,,,,,,,,,,,,
98,1988,1988-10-30,9,30.005,RAM,@,NOR,W 12-10,,,,,,,,,,,,,,,,,,,,,,,,,
