ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1987,1987-09-13,1,25.024,GNB,,RAI,L 0-20,0,0,,0,2,58,29.00,0
2,1987,1987-09-20,2,25.031,GNB,,DEN,T 17-17,0,0,,0,1,20,20.00,0
3,1987,1987-10-25,6,25.066,GNB,@,DET,W 34-33,0,0,,0,3,44,14.67,0
4,1987,1987-11-01,7,25.073,GNB,,TAM,L 17-23,0,0,,0,1,0,0.00,0
5,1987,1987-11-08,8,25.080,GNB,,CHI,L 24-26,0,0,,0,1,10,10.00,0
6,1987,1987-11-15,9,25.087,GNB,@,SEA,L 13-24,0,0,,0,0,0,,0
7,1987,1987-11-29,11,25.101,GNB,@,CHI,L 10-23,2,3,1.50,0,2,15,7.50,0
8,1987,1987-12-06,12,25.108,GNB,,SFO,L 12-23,0,0,,0,0,0,,0
9,1987,1987-12-13,13,25.115,GNB,,MIN,W 16-10,0,0,,0,0,0,,0
10,1987,1987-12-19,14,25.121,GNB,@,NYG,L 10-20,0,0,,0,0,0,,0
11,1987,1987-12-27,15,25.129,GNB,@,NOR,L 24-33,0,0,,0,0,0,,0
