ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td
1,2017,2017-11-23,11,22.172,WAS,,NYG,W 20-10,,0,0,,0
2,2017,2017-11-30,12,22.179,WAS,@,DAL,L 14-38,,0,0,,0
3,2017,2017-12-10,13,22.189,WAS,@,LAC,L 13-30,,2,12,6.00,0
4,2017,2017-12-17,14,22.196,WAS,,ARI,W 20-15,,1,2,2.00,0
