ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,safety_md,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2011,2011-09-11,1,22.173,HOU,,IND,W 34-7,*,0,0,0,,0,0.0%,,,0,0,0.0,5,0,0,0,0
2,2011,2011-09-18,2,22.180,HOU,@,MIA,W 23-13,*,0,0,0,,0,0.0%,,,0,0,0.0,3,1,0,0,0
3,2011,2011-09-25,3,22.187,HOU,@,NOR,L 33-40,*,0,0,0,,0,0.0%,,,0,0,1.0,4,0,0,0,0
4,2011,2011-10-02,4,22.194,HOU,,PIT,W 17-10,*,0,0,0,,0,0.0%,,,0,0,0.0,1,0,0,0,0
5,2011,2011-10-09,5,22.201,HOU,,OAK,L 20-25,*,0,0,0,,0,0.0%,,,0,0,0.0,1,0,0,0,0
6,2011,2011-10-16,6,22.208,HOU,@,BAL,L 14-29,*,0,0,0,,0,0.0%,,,0,0,0.0,3,0,0,0,0
7,2011,2011-10-23,7,22.215,HOU,@,TEN,W 41-7,*,0,0,0,,0,0.0%,,,0,0,1.0,3,0,0,0,0
8,2011,2011-10-30,8,22.222,HOU,,JAX,W 24-14,*,0,0,0,,0,0.0%,,,0,0,0.0,5,0,0,0,0
9,2011,2011-11-06,9,22.229,HOU,,CLE,W 30-12,*,0,0,0,,0,0.0%,,,0,0,0.0,2,1,0,0,0
10,2011,2011-11-13,10,22.236,HOU,@,TAM,W 37-9,*,0,0,0,,0,0.0%,,,0,0,0.5,3,0,0,0,0
11,2011,2011-11-27,11,22.250,HOU,@,JAX,W 20-13,*,0,0,0,,0,0.0%,,,0,0,2.0,5,2,0,0,0
12,2011,2011-12-04,12,22.257,HOU,,ATL,W 17-10,*,,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0
13,2011,2011-12-11,13,22.264,HOU,@,CIN,W 20-19,*,0,0,0,,0,0.0%,,,0,0,0.0,3,1,0,0,0
14,2011,2011-12-18,14,22.271,HOU,,CAR,L 13-28,*,0,0,0,,0,0.0%,,,0,0,0.0,5,2,0,0,0
15,2011,2011-12-22,15,22.275,HOU,@,IND,L 16-19,*,0,0,0,,0,0.0%,,,0,0,1.0,5,0,0,0,0
16,2011,2012-01-01,16,22.285,HOU,,TEN,L 22-23,*,0,0,0,,0,0.0%,,,0,0,0.0,1,0,0,0,0
17,2012,2012-09-09,1,23.171,HOU,,MIA,W 30-10,*,0,0,0,,0,0.0%,,,0,0,0.5,2,1,0,0,0
18,2012,2012-09-16,2,23.178,HOU,@,JAX,W 27-7,*,0,0,0,,0,0.0%,,,0,0,1.5,4,1,0,0,0
19,2012,2012-09-23,3,23.185,HOU,@,DEN,W 31-25,*,0,0,0,,0,0.0%,,,0,0,2.5,6,1,0,0,0
20,2012,2012-09-30,4,23.192,HOU,,TEN,W 38-14,*,0,0,0,,0,0.0%,,,0,0,2.0,4,1,0,0,0
21,2012,2012-10-08,5,23.200,HOU,@,NYJ,W 23-17,*,0,0,0,,0,0.0%,,,0,0,1.0,4,2,0,0,0
22,2012,2012-10-14,6,23.206,HOU,,GNB,L 24-42,*,0,0,0,,0,0.0%,,,0,0,2.0,5,1,0,0,0
23,2012,2012-10-21,7,23.213,HOU,,BAL,W 43-13,*,0,0,0,,0,0.0%,,,0,0,0.0,2,0,0,0,0
24,2012,2012-11-04,8,23.227,HOU,,BUF,W 21-9,*,0,0,0,,0,0.0%,,,0,0,1.0,4,1,0,0,0
25,2012,2012-11-11,9,23.234,HOU,@,CHI,W 13-6,*,0,0,0,,0,0.0%,,,0,0,0.0,2,0,0,0,0
26,2012,2012-11-18,10,23.241,HOU,,JAX,W 43-37,*,0,0,0,,0,0.0%,,,0,0,1.0,6,2,0,0,0
27,2012,2012-11-22,11,23.245,HOU,@,DET,W 34-31,*,0,0,0,,0,0.0%,,,0,0,3.0,5,0,0,0,0
28,2012,2012-12-02,12,23.255,HOU,@,TEN,W 24-10,*,0,0,0,,0,0.0%,,,0,0,2.0,6,0,0,0,0
29,2012,2012-12-10,13,23.263,HOU,@,NWE,L 14-42,*,0,0,0,,0,0.0%,,,0,0,0.0,2,2,0,0,0
30,2012,2012-12-16,14,23.269,HOU,,IND,W 29-17,*,0,0,0,,0,0.0%,,,0,0,3.0,10,0,0,0,0
31,2012,2012-12-23,15,23.276,HOU,,MIN,L 6-23,*,0,0,0,,0,0.0%,,,0,0,1.0,3,0,0,0,0
32,2012,2012-12-30,16,23.283,HOU,@,IND,L 16-28,*,0,0,0,,0,0.0%,,,0,0,0.0,4,0,0,0,0
33,2013,2013-09-09,1,24.171,HOU,@,SDG,W 31-28,*,0,0,0,,0,0.0%,,,0,0,0.0,2,1,0,0,0
34,2013,2013-09-15,2,24.177,HOU,,TEN,W 30-24,*,0,0,0,,0,0.0%,,,0,0,2.0,5,0,0,0,0
35,2013,2013-09-22,3,24.184,HOU,@,BAL,L 9-30,*,0,0,0,,0,0.0%,,,0,0,1.0,6,3,0,0,0
36,2013,2013-09-29,4,24.191,HOU,,SEA,L 20-23,*,0,0,0,,0,0.0%,,,0,0,0.5,4,4,0,0,0
37,2013,2013-10-06,5,24.198,HOU,@,SFO,L 3-34,*,0,0,0,,0,0.0%,,,0,0,0.0,3,0,0,0,0
38,2013,2013-10-13,6,24.205,HOU,,STL,L 13-38,*,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0
39,2013,2013-10-20,7,24.212,HOU,@,KAN,L 16-17,*,0,0,0,,0,0.0%,,,0,0,1.0,6,0,0,0,0
40,2013,2013-11-03,8,24.226,HOU,,IND,L 24-27,*,0,0,0,,0,0.0%,,,0,0,1.0,3,1,0,0,0
41,2013,2013-11-10,9,24.233,HOU,@,ARI,L 24-27,*,0,0,0,,0,0.0%,,,0,0,1.0,4,0,0,0,0
42,2013,2013-11-17,10,24.240,HOU,,OAK,L 23-28,*,0,0,0,,0,0.0%,,,0,0,2.0,5,0,0,0,0
43,2013,2013-11-24,11,24.247,HOU,,JAX,L 6-13,*,0,0,0,,0,0.0%,,,0,0,1.0,8,1,0,0,0
44,2013,2013-12-01,12,24.254,HOU,,NWE,L 31-34,*,0,0,0,,0,0.0%,,,0,0,0.0,5,0,0,0,0
