ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2016,2016-09-11,1,23.025,TEN,,MIN,L 16-25,,0,0,,0,0,0,,0,0,,,0.0,4,0,0,0,0
2,2016,2016-09-18,2,23.032,TEN,@,DET,W 16-15,,0,0,,0,0,0,,0,0,,,0.0,1,0,0,0,0
3,2016,2016-09-25,3,23.039,TEN,,OAK,L 10-17,,0,0,,0,0,0,,0,0,,,0.0,2,1,0,0,0
4,2016,2016-10-02,4,23.046,TEN,@,HOU,L 20-27,,0,0,,0,0,0,,0,0,,,0.0,1,0,0,0,0
5,2016,2016-10-09,5,23.053,TEN,@,MIA,W 30-17,,0,0,,0,0,0,,0,0,,,0.0,1,0,0,0,0
6,2016,2016-10-16,6,23.060,TEN,,CLE,W 28-26,,0,0,,0,0,0,,0,0,,,0.0,3,0,0,0,0
7,2016,2016-10-23,7,23.067,TEN,,IND,L 26-34,,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0
8,2016,2016-10-27,8,23.071,TEN,,JAX,W 36-22,,0,0,,0,0,0,,0,0,,,0.0,4,1,0,0,0
9,2016,2016-11-06,9,23.081,TEN,@,SDG,L 35-43,,0,0,,0,0,0,,0,0,,,0.0,5,4,0,0,0
10,2016,2016-11-13,10,23.088,TEN,,GNB,W 47-25,*,0,0,,0,0,0,,0,0,,,1.0,7,0,0,0,0
11,2016,2016-11-20,11,23.095,TEN,@,IND,L 17-24,*,0,0,,0,0,0,,0,0,,,0.0,1,1,0,0,0
12,2016,2016-11-27,12,23.102,TEN,@,CHI,W 27-21,*,0,0,,0,0,0,,0,0,,,0.0,4,0,0,0,0
13,2016,2016-12-11,13,23.116,TEN,,DEN,W 13-10,*,0,0,,0,0,0,,0,0,,,0.0,2,2,0,0,0
14,2016,2016-12-18,14,23.123,TEN,@,KAN,W 19-17,*,0,0,,0,0,0,,0,0,,,0.0,3,0,0,0,0
15,2016,2016-12-24,15,23.129,TEN,@,JAX,L 17-38,*,0,0,,0,0,0,,0,0,,,0.0,0,1,0,0,0
16,2016,2017-01-01,16,23.137,TEN,,HOU,W 24-17,*,0,0,,0,0,0,,0,0,,,0.0,2,1,0,0,0
17,2017,2017-09-10,1,24.024,TEN,,OAK,L 16-26,*,0,0,,0,0,0,,0,0,,,0.0,8,0,0,0,0
18,2017,2017-09-17,2,24.031,TEN,@,JAX,W 37-16,*,0,0,,0,0,0,,0,0,,,0.0,3,3,0,0,0
19,2017,2017-09-24,3,24.038,TEN,,SEA,W 33-27,*,0,0,,0,0,0,,0,0,,,0.0,2,4,0,0,0
20,2017,2017-10-01,4,24.045,TEN,@,HOU,L 14-57,*,0,0,,0,0,0,,0,0,,,0.0,4,5,1,7,0
21,2017,2017-10-08,5,24.052,TEN,@,MIA,L 10-16,*,0,0,,0,0,0,,0,0,,,0.0,4,1,0,0,0
22,2017,2017-10-16,6,24.060,TEN,,IND,W 36-22,*,0,0,,0,0,0,,0,0,,,0.0,3,0,0,0,0
23,2017,2017-10-22,7,24.066,TEN,@,CLE,W 12-9,*,0,0,,0,0,0,,0,0,,,0.0,2,2,3,60,0
24,2017,2017-11-05,8,24.080,TEN,,BAL,W 23-20,*,0,0,,0,0,0,,0,0,,,0.0,4,0,2,33,0
25,2017,2017-11-12,9,24.087,TEN,,CIN,W 24-20,*,0,0,,0,0,0,,0,0,,,0.0,4,2,0,0,0
26,2017,2017-11-16,10,24.091,TEN,@,PIT,L 17-40,*,0,0,,0,0,0,,0,0,,,0.0,2,0,0,0,0
27,2017,2017-11-26,11,24.101,TEN,@,IND,W 20-16,*,0,0,,0,0,0,,0,0,,,0.0,3,2,0,0,0
28,2017,2017-12-03,12,24.108,TEN,,HOU,W 24-13,*,0,0,,0,0,0,,0,0,,,0.0,6,3,0,0,0
29,2017,2017-12-10,13,24.115,TEN,@,ARI,L 7-12,*,0,0,,0,0,0,,0,0,,,0.0,4,0,0,0,0
30,2017,2017-12-17,14,24.122,TEN,@,SFO,L 23-25,*,0,0,,0,0,0,,0,0,,,0.0,5,0,0,0,0
31,2017,2017-12-24,15,24.129,TEN,,LAR,L 23-27,*,0,0,,0,0,0,,0,0,,,0.0,4,1,0,0,0
32,2017,2017-12-31,16,24.136,TEN,,JAX,W 15-10,*,0,0,,0,0,0,,0,0,,,0.0,4,2,2,30,0
33,2018,2018-09-09,1,25.023,TEN,@,MIA,L 20-27,*,0,0,,0,0,0,,0,0,,,0.0,3,0,0,0,0
34,2018,2018-09-16,2,25.030,TEN,,HOU,W 20-17,*,1,1,100.00,66,1,0,158.3,0,0,66.00,86.00,0.0,7,0,0,0,0
35,2018,2018-09-23,3,25.037,TEN,@,JAX,W 9-6,*,0,0,,0,0,0,,0,0,,,0.0,1,0,0,0,0
