ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1996,1996-09-01,1,22.090,SDG,,SEA,W 29-7,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,,
2,1996,1996-09-08,2,22.097,SDG,,CIN,W 27-14,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,,
3,1996,1996-09-15,3,22.104,SDG,@,GNB,L 10-42,,1,0,0,,0,0.0%,0.00,2,56,28.00,0,0,0,,0,0,0
4,1996,1996-09-22,4,22.111,SDG,@,OAK,W 40-34,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,,
5,1996,1996-09-29,5,22.118,SDG,,KAN,W 22-19,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,,
6,1996,1996-10-06,6,22.125,SDG,@,DEN,L 17-28,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,
7,1996,1996-10-21,7,22.140,SDG,,OAK,L 14-23,,1,1,37,37.00,0,100.0%,37.00,0,0,,0,0,0,,0,0,0
8,1996,1996-10-27,8,22.146,SDG,@,SEA,L 13-32,,4,2,64,32.00,0,50.0%,16.00,0,0,,0,0,0,,0,0,0
9,1996,1996-11-03,9,22.153,SDG,@,IND,W 26-19,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,
10,1996,1996-11-11,10,22.161,SDG,,DET,W 27-21,,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,0,0
11,1996,1996-11-17,11,22.167,SDG,,TAM,L 17-25,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,,
12,1996,1996-11-24,12,22.174,SDG,@,KAN,W 28-14,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,
13,1996,1996-12-01,13,22.181,SDG,,NWE,L 7-45,,9,2,34,17.00,0,22.2%,3.78,2,57,28.50,0,1,1,1.00,0,0,0
14,1996,1996-12-08,14,22.188,SDG,@,PIT,L 3-16,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,,
15,1996,1996-12-14,15,22.194,SDG,@,CHI,L 14-27,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,,
16,1996,1996-12-22,16,22.202,SDG,,DEN,W 16-10,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,,
17,1997,1997-08-31,1,23.089,SDG,@,NWE,L 7-41,,3,2,10,5.00,0,66.7%,3.33,0,0,,0,0,0,,0,0,0
18,1997,1997-09-07,2,23.096,SDG,@,NOR,W 20-6,,4,3,50,16.67,0,75.0%,12.50,0,0,,0,0,0,,0,0,0
19,1997,1997-09-14,3,23.103,SDG,,CAR,L 7-26,,4,2,16,8.00,0,50.0%,4.00,0,0,,0,0,0,,0,0,0
20,1997,1997-09-28,5,23.117,SDG,,BAL,W 21-17,,1,1,12,12.00,0,100.0%,12.00,0,0,,0,0,0,,0,0,0
21,1997,1997-10-05,6,23.124,SDG,@,OAK,W 25-10,,,0,0,,0,0.0%,,,,,,,,,,,
22,1997,1997-10-16,7,23.135,SDG,@,KAN,L 3-31,,,0,0,,0,0.0%,,,,,,,,,,,
23,1997,1997-10-26,8,23.145,SDG,,IND,W 35-19,,2,1,33,33.00,0,50.0%,16.50,0,0,,0,0,0,,0,0,0
24,1997,1997-11-02,9,23.152,SDG,@,CIN,L 31-38,,2,2,15,7.50,0,100.0%,7.50,0,0,,0,0,0,,0,0,0
25,1997,1997-11-09,10,23.159,SDG,,SEA,L 31-37,,1,1,15,15.00,0,100.0%,15.00,0,0,,0,0,0,,0,0,0
26,1997,1997-11-16,11,23.166,SDG,,OAK,L 13-38,,1,0,0,,0,0.0%,0.00,,,,,,,,,,
27,1997,1997-11-23,12,23.173,SDG,@,SFO,L 10-17,,3,1,39,39.00,0,33.3%,13.00,0,0,,0,0,0,,0,0,0
28,1997,1997-11-30,13,23.180,SDG,,DEN,L 28-38,,8,4,44,11.00,0,50.0%,5.50,0,0,,0,0,0,,0,0,0
29,1997,1997-12-07,14,23.187,SDG,,ATL,L 3-14,,7,3,39,13.00,0,42.9%,5.57,0,0,,0,0,0,,0,0,0
30,1997,1997-12-14,15,23.194,SDG,,KAN,L 7-29,,6,3,41,13.67,0,50.0%,6.83,0,0,,0,0,0,,0,0,0
31,1997,1997-12-21,16,23.201,SDG,@,DEN,L 3-38,,2,1,10,10.00,0,50.0%,5.00,0,0,,0,0,0,,0,0,0
32,1998,1998-09-06,1,24.095,SDG,,BUF,W 16-14,,9,6,128,21.33,1,66.7%,14.22,0,0,,0,0,0,,0,1,6
33,1998,1998-09-13,2,24.102,SDG,@,TEN,W 13-7,,4,3,59,19.67,0,75.0%,14.75,0,0,,0,0,0,,0,0,0
34,1998,1998-09-20,3,24.109,SDG,@,KAN,L 7-23,,1,,,,,0.0%,,,,,,,,,,,
