ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,all_td,scoring
1,1965,1965-10-24,7,22.243,OAK,,BOS,W 30-21,7,118,16.86,0,0,0
2,1965,1965-10-31,8,22.250,OAK,@,KAN,L 7-14,3,82,27.33,0,0,0
3,1965,1965-11-07,9,22.257,OAK,@,HOU,W 33-21,2,23,11.50,0,0,0
4,1965,1965-11-14,10,22.264,OAK,,BUF,L 14-17,3,30,10.00,0,0,0
5,1965,1965-11-21,11,22.271,OAK,@,DEN,W 28-20,6,62,10.33,0,0,0
6,1965,1965-12-05,12,22.285,OAK,,DEN,W 24-13,1,7,7.00,0,0,0
7,1965,1965-12-19,14,22.299,OAK,@,SDG,L 14-24,2,9,4.50,0,0,0
8,1966,1966-09-10,2,23.199,OAK,@,HOU,L 0-31,2,23,11.50,0,0,0
9,1966,1966-09-25,4,23.214,OAK,,SDG,L 20-29,1,8,8.00,1,1,6
10,1966,1966-10-09,5,23.228,OAK,,MIA,W 21-10,4,62,15.50,1,1,6
11,1966,1966-10-16,6,23.235,OAK,@,KAN,W 34-13,3,29,9.67,0,0,0
12,1966,1966-10-23,7,23.242,OAK,@,NYJ,W 24-21,1,12,12.00,0,0,0
13,1966,1966-10-30,8,23.249,OAK,@,BOS,L 21-24,1,11,11.00,0,0,0
14,1966,1966-11-06,9,23.256,OAK,,HOU,W 38-23,2,90,45.00,1,1,6
15,1966,1966-11-13,10,23.263,OAK,@,SDG,W 41-19,3,37,12.33,0,0,0
16,1967,1967-09-17,2,24.206,OAK,,BOS,W 35-7,2,42,21.00,1,1,6
17,1967,1967-10-01,3,24.220,OAK,,KAN,W 23-21,1,19,19.00,0,0,0
18,1967,1967-10-15,5,24.234,OAK,@,BUF,W 24-20,2,68,34.00,1,1,6
19,1967,1967-10-22,6,24.241,OAK,@,BOS,W 48-14,3,109,36.33,0,0,0
20,1967,1967-10-29,7,24.248,OAK,,SDG,W 51-10,2,81,40.50,1,1,6
21,1967,1967-11-05,8,24.255,OAK,@,DEN,W 21-17,2,44,22.00,0,0,0
22,1967,1967-11-19,9,24.269,OAK,,MIA,W 31-17,2,35,17.50,0,0,0
23,1967,1967-11-23,10,24.273,OAK,@,KAN,W 44-22,6,158,26.33,1,1,6
