ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring
1,1992,1992-09-06,1,23.359,IND,,CLE,W 14-3,,0,0,,0,0.0%,,,
2,1992,1992-09-13,2,24.000,IND,,HOU,L 10-20,,0,0,,0,0.0%,,,
3,1992,1992-09-20,3,24.007,IND,@,BUF,L 0-38,,0,0,,0,0.0%,,,
4,1992,1992-10-04,4,24.021,IND,@,TAM,W 24-14,,0,0,,0,0.0%,,,
5,1992,1992-10-11,5,24.028,IND,,NYJ,W 6-3,,0,0,,0,0.0%,,,
6,1992,1992-10-18,6,24.035,IND,,SDG,L 14-34,,0,0,,0,0.0%,,,
7,1992,1992-10-25,7,24.042,IND,@,MIA,W 31-20,,0,0,,0,0.0%,,,
8,1992,1992-11-01,8,24.049,IND,@,SDG,L 0-26,1,0,0,,0,0.0%,0.00,,
9,1992,1992-11-08,9,24.056,IND,,MIA,L 0-28,1,0,0,,0,0.0%,0.00,,
10,1992,1992-11-15,10,24.063,IND,,NWE,L 34-37,,0,0,,0,0.0%,,,
11,1992,1992-11-22,11,24.070,IND,@,PIT,L 14-30,,0,0,,0,0.0%,,,
12,1992,1992-11-29,12,24.077,IND,,BUF,W 16-13,11,9,106,11.78,0,81.8%,9.64,0,0
13,1992,1992-12-06,13,24.084,IND,@,NWE,W 6-0,4,3,23,7.67,0,75.0%,5.75,0,0
14,1992,1992-12-13,14,24.091,IND,@,NYJ,W 10-6,1,1,23,23.00,1,100.0%,23.00,1,6
15,1992,1992-12-20,15,24.098,IND,,PHO,W 16-13,,0,0,,0,0.0%,,,
16,1992,1992-12-27,16,24.105,IND,@,CIN,W 21-17,,0,0,,0,0.0%,,,
17,1993,1993-09-05,1,24.357,IND,,MIA,L 20-24,,0,0,,0,0.0%,,,
18,1993,1993-09-12,2,24.364,IND,@,CIN,W 9-6,,0,0,,0,0.0%,,,
19,1993,1993-09-26,3,25.013,IND,,CLE,W 23-10,1,0,0,,0,0.0%,0.00,,
20,1993,1993-10-03,4,25.020,IND,@,DEN,L 13-35,,0,0,,0,0.0%,,,
21,1993,1993-10-10,5,25.027,IND,,DAL,L 3-27,1,1,7,7.00,0,100.0%,7.00,0,0
22,1993,1993-10-24,6,25.041,IND,@,MIA,L 27-41,,0,0,,0,0.0%,,,
23,1993,1993-10-31,7,25.048,IND,,NWE,W 9-6,,0,0,,0,0.0%,,,
24,1993,1993-11-07,8,25.055,IND,@,WAS,L 24-30,,0,0,,0,0.0%,,,
25,1993,1993-11-14,9,25.062,IND,,NYJ,L 17-31,,0,0,,0,0.0%,,,
26,1993,1993-11-21,10,25.069,IND,@,BUF,L 9-23,,0,0,,0,0.0%,,,
27,1993,1993-11-29,11,25.077,IND,,SDG,L 0-31,,0,0,,0,0.0%,,,
28,1993,1993-12-05,12,25.083,IND,@,NYJ,W 9-6,5,2,9,4.50,0,40.0%,1.80,0,0
29,1993,1993-12-12,13,25.090,IND,@,NYG,L 6-20,10,8,34,4.25,0,80.0%,3.40,0,0
30,1993,1993-12-19,14,25.097,IND,,PHI,L 10-20,2,2,12,6.00,0,100.0%,6.00,0,0
31,1993,1993-12-26,15,25.104,IND,@,NWE,L 0-38,,0,0,,0,0.0%,,,
32,1993,1994-01-02,16,25.111,IND,,BUF,L 10-30,4,2,28,14.00,0,50.0%,7.00,0,0
33,1994,1994-11-06,10,26.054,IND,@,MIA,L 21-22,,0,0,,0,0.0%,,,
34,1994,1994-11-20,11,26.068,IND,@,CIN,W 17-13,1,0,0,,0,0.0%,0.00,,
35,1994,1994-11-27,12,26.075,IND,,NWE,L 10-12,,0,0,,0,0.0%,,,
36,1994,1994-12-04,13,26.082,IND,@,SEA,W 31-19,,0,0,,0,0.0%,,,
37,1994,1994-12-11,14,26.089,IND,@,NWE,L 13-28,,0,0,,0,0.0%,,,
38,1994,1994-12-18,15,26.096,IND,,MIA,W 10-6,1,1,7,7.00,0,100.0%,7.00,0,0
39,1994,1994-12-24,16,26.102,IND,,BUF,W 10-9,,0,0,,0,0.0%,,,
40,1995,1995-09-03,1,26.355,IND,,CIN,L 21-24,2,2,23,11.50,0,100.0%,11.50,0,0
41,1995,1995-09-10,2,26.362,IND,@,NYJ,W 27-24,,0,0,,0,0.0%,,,
42,1995,1995-09-17,3,27.004,IND,@,BUF,L 14-20,2,2,10,5.00,0,100.0%,5.00,0,0
