ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,1957,1957-09-29,1,21.280,GNB,,CHI,W 21-17,2,-10,-5.00,0,0,0,,0,0,0,,0,0,,,,,,,,,,,,,0,
2,1957,1957-10-06,2,21.287,GNB,,DET,L 14-24,1,2,2.00,0,0,0,,0,0,0,,0,0,,,,,,,,,,,,,0,
3,1957,1957-10-13,3,21.294,GNB,,BAL,L 17-45,5,20,4.00,0,0,0,,0,0,0,,0,0,,,,,,,,,,,,,0,
4,1957,1957-10-20,4,21.301,GNB,,SFO,L 14-24,4,62,15.50,1,0,0,,0,1,3,33.33,-1,0,0,42.4,0,0,-0.33,-0.33,,,,,,,1,
5,1957,1957-10-27,5,21.308,GNB,@,BAL,W 24-21,7,33,4.71,2,0,0,,0,0,3,0.00,0,0,0,39.6,0,0,0.00,0.00,,,,,,,2,
6,1957,1957-11-03,6,21.315,GNB,,NYG,L 17-31,16,112,7.00,0,1,4,4.00,0,0,0,,0,0,,,,,,,,,,,,,0,
7,1957,1957-11-10,7,21.322,GNB,@,CHI,L 14-21,12,47,3.92,0,4,31,7.75,0,0,0,,0,0,,,,,,,,,,,,,0,
8,1957,1957-11-17,8,21.329,GNB,,RAM,L 27-31,11,47,4.27,0,1,-1,-1.00,0,0,0,,0,0,,,,,,,,,,,,,0,
9,1957,1957-11-24,9,21.336,GNB,@,PIT,W 27-10,2,6,3.00,0,0,0,,0,0,0,,0,0,,,,,,,,,,,,,0,
10,1958,1958-09-28,1,22.279,GNB,,CHI,L 20-34,5,23,4.60,1,0,0,,0,0,0,,0,0,,,,,,,,,,,,,1,
11,1958,1958-10-05,2,22.286,GNB,,DET,T 13-13,4,8,2.00,0,2,9,4.50,0,0,0,,0,0,,,,,,,,,,,,,0,
12,1958,1958-10-12,3,22.293,GNB,,BAL,L 17-24,3,3,1.00,0,1,6,6.00,0,0,0,,0,0,,,,,,,,,,,,,0,
13,1958,1958-10-19,4,22.300,GNB,@,WAS,L 21-37,4,10,2.50,1,1,9,9.00,0,0,0,,0,0,,,,,,,,,,,,,1,
14,1958,1958-10-26,5,22.307,GNB,,PHI,W 38-35,5,19,3.80,0,0,0,,0,0,0,,0,0,,,,,,,,,,,,,0,
15,1958,1958-11-09,7,22.321,GNB,@,CHI,L 10-24,6,11,1.83,0,2,22,11.00,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,,,,,,,0,
16,1958,1958-11-16,8,22.328,GNB,,RAM,L 7-20,11,63,5.73,0,5,73,14.60,0,0,0,,0,0,,,,,,,,,,,,,0,
17,1958,1958-11-23,9,22.335,GNB,,SFO,L 12-33,12,92,7.67,0,0,0,,0,0,0,,0,0,,,,,,,,,,,,,0,
18,1958,1958-11-27,10,22.339,GNB,@,DET,L 14-24,8,50,6.25,0,3,20,6.67,0,0,0,,0,0,,,,,,,,,,,,,0,
19,1958,1958-12-07,11,22.349,GNB,@,SFO,L 21-48,6,18,3.00,0,0,0,,0,0,0,,0,0,,,,,,,,,,,,,0,
