ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1998,1998-10-04,4,22.101,BUF,,SFO,W 26-21,,0,0,0,,0,0.0%,,0,0,,0
2,1998,1998-10-11,5,22.108,BUF,@,IND,W 31-24,,,,,,,0.0%,,,,,
3,1998,1998-11-29,12,22.157,BUF,@,NWE,L 21-25,,,,,,,0.0%,,,,,
4,1998,1998-12-06,13,22.164,BUF,@,CIN,W 33-20,,,,,,,0.0%,,,,,
5,1998,1998-12-27,16,22.185,BUF,@,NOR,W 45-33,,,,,,,0.0%,,,,,
6,1999,1999-09-19,2,23.086,BUF,,NYJ,W 17-3,,,,,,,0.0%,,,,,
7,1999,1999-09-26,3,23.093,BUF,,PHI,W 26-0,,2,1,11,11.00,0,50.0%,5.50,0,0,,0
8,1999,1999-10-04,4,23.101,BUF,@,MIA,W 23-18,,,,,,,0.0%,,,,,
9,1999,1999-10-10,5,23.107,BUF,,PIT,W 24-21,,,,,,,0.0%,,,,,
10,1999,1999-10-24,7,23.121,BUF,@,SEA,L 16-26,,6,5,55,11.00,0,83.3%,9.17,2,26,13.00,0
11,1999,1999-10-31,8,23.128,BUF,@,BAL,W 13-10,,1,,,,,0.0%,,,,,
12,1999,1999-11-07,9,23.135,BUF,@,WAS,W 34-17,,,,,,,0.0%,,,,,
