ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,tackles_solo,tackles_assists
1,2009,2009-09-20,2,23.318,KAN,,OAK,L 10-13,*,4,,,,,0.0%,,,,,,,,
2,2009,2009-12-20,14,24.044,KAN,,CLE,L 34-41,,2,,,,,0.0%,,,,,,,,
3,2009,2009-12-27,15,24.051,KAN,@,CIN,L 10-17,,3,1,4,4.00,0,33.3%,1.33,0,0,,0,0.0,0,0
4,2009,2010-01-03,16,24.058,KAN,@,DEN,W 44-24,*,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0.0,0,0
5,2010,2010-09-13,1,24.311,KAN,,SDG,W 21-14,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
6,2010,2010-09-26,3,24.324,KAN,,SFO,W 31-10,,,,,,,0.0%,,,,,,,,
7,2010,2010-10-10,4,24.338,KAN,@,IND,L 9-19,,,,,,,0.0%,,,,,,,,
8,2010,2010-10-17,5,24.345,KAN,@,HOU,L 31-35,,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0.0,0,0
9,2010,2010-10-24,6,24.352,KAN,,JAX,W 42-20,,,,,,,0.0%,,,,,,,,
10,2010,2010-10-31,7,24.359,KAN,,BUF,W 13-10,,,,,,,0.0%,,,,,,,,
11,2010,2010-11-07,8,25.001,KAN,@,OAK,L 20-23,,0,,,,,0.0%,,,,,,,,
12,2010,2010-11-14,9,25.008,KAN,@,DEN,L 29-49,,0,,,,,0.0%,,,,,,,,
13,2010,2010-11-21,10,25.015,KAN,,ARI,W 31-13,*,2,2,24,12.00,0,100.0%,12.00,0,0,,0,0.0,0,0
14,2010,2010-11-28,11,25.022,KAN,@,SEA,W 42-24,,,,,,,0.0%,,,,,,,,
15,2010,2010-12-05,12,25.029,KAN,,DEN,W 10-6,*,,,,,,0.0%,,,,,,,,
16,2010,2010-12-12,13,25.036,KAN,@,SDG,L 0-31,,,,,,,0.0%,,,,,,,,
17,2010,2010-12-19,14,25.043,KAN,@,STL,W 27-13,,,0,0,,0,0.0%,,0,0,,0,0.0,1,0
18,2010,2010-12-26,15,25.050,KAN,,TEN,W 34-14,,1,,,,,0.0%,,,,,,,,
19,2010,2011-01-02,16,25.057,KAN,,OAK,L 10-31,,0,0,0,,0,0.0%,,1,5,5.00,0,0.0,0,0
20,2011,2011-09-11,1,25.309,KAN,,BUF,L 7-41,,1,1,15,15.00,0,100.0%,15.00,0,0,,0,0.0,0,0
21,2011,2011-10-02,4,25.330,KAN,,MIN,W 22-17,*,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0.0,0,0
22,2011,2011-10-09,5,25.337,KAN,@,IND,W 28-24,*,,,,,,0.0%,,,,,,,,
23,2011,2011-10-23,6,25.351,KAN,@,OAK,W 28-0,*,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0.0,0,0
24,2011,2011-10-31,7,25.359,KAN,,SDG,W 23-20,,0,,,,,0.0%,,,,,,,,
25,2011,2011-11-06,8,26.000,KAN,,MIA,L 3-31,*,3,1,3,3.00,0,33.3%,1.00,0,0,,0,0.0,0,0
26,2011,2011-11-13,9,26.007,KAN,,DEN,L 10-17,,0,,,,,0.0%,,,,,,,,
27,2011,2011-11-21,10,26.015,KAN,@,NWE,L 3-34,,6,3,22,7.33,0,50.0%,3.67,0,0,,0,0.0,0,0
28,2012,2012-09-09,1,26.308,KAN,,ATL,L 24-40,,,,,,,0.0%,,,,,,,,
29,2012,2012-09-16,2,26.315,KAN,@,BUF,L 17-35,,,,,,,0.0%,,,,,,,,
30,2012,2012-09-30,4,26.329,KAN,,SDG,L 20-37,,,,,,,0.0%,,,,,,,,
31,2012,2012-10-07,5,26.336,KAN,,BAL,L 6-9,,,,,,,0.0%,,,,,,,,
32,2012,2012-10-14,6,26.343,KAN,@,TAM,L 10-38,,,,,,,0.0%,,,,,,,,
33,2012,2012-10-28,7,26.357,KAN,,OAK,L 16-26,,3,3,18,6.00,0,100.0%,6.00,0,0,,0,0.0,0,0
34,2012,2012-11-01,8,26.361,KAN,@,SDG,L 13-31,,,,,,,0.0%,,,,,,,,
35,2012,2012-11-12,9,27.006,KAN,@,PIT,L 13-16,,,,,,,0.0%,,,,,,,,
