ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,sacks,def_int,def_int_yds,def_int_td
1,1992,1992-09-13,2,24.174,BUF,@,SFO,W 34-31,,,,,
2,1992,1992-09-20,3,24.181,BUF,,IND,W 38-0,,,,,
3,1992,1992-09-27,4,24.188,BUF,@,NWE,W 41-7,,,,,
4,1992,1992-10-04,5,24.195,BUF,,MIA,L 10-37,,,,,
5,1992,1992-10-11,6,24.202,BUF,@,RAI,L 3-20,,,,,
6,1992,1992-10-26,7,24.217,BUF,@,NYJ,W 24-20,,,,,
7,1992,1992-11-01,8,24.223,BUF,,NWE,W 16-7,,,,,
8,1992,1992-11-08,9,24.230,BUF,,PIT,W 28-20,,,,,
9,1992,1992-11-16,10,24.238,BUF,@,MIA,W 26-20,,,,,
10,1992,1992-11-22,11,24.244,BUF,,ATL,W 41-14,,,,,
11,1992,1992-11-29,12,24.251,BUF,@,IND,L 13-16,,,,,
12,1992,1992-12-06,13,24.258,BUF,,NYJ,L 17-24,,,,,
13,1992,1992-12-12,14,24.264,BUF,,DEN,W 27-17,,,,,
14,1992,1992-12-20,15,24.272,BUF,@,NOR,W 20-16,,,,,
15,1992,1992-12-27,16,24.279,BUF,@,HOU,L 3-27,,,,,
16,1993,1993-09-05,1,25.166,BUF,,NWE,W 38-14,,,,,
17,1993,1993-09-12,2,25.173,BUF,@,DAL,W 13-10,,,,,
18,1993,1993-09-26,3,25.187,BUF,,MIA,L 13-22,,,,,
19,1993,1993-10-03,4,25.194,BUF,,NYG,W 17-14,,,,,
20,1993,1993-10-11,5,25.202,BUF,,HOU,W 35-7,,,,,
21,1993,1993-10-24,6,25.215,BUF,@,NYJ,W 19-10,,,,,
22,1993,1993-11-01,7,25.223,BUF,,WAS,W 24-10,,,,,
23,1993,1993-11-07,8,25.229,BUF,@,NWE,W 13-10,,,,,
24,1993,1993-11-15,9,25.237,BUF,@,PIT,L 0-23,,,,,
25,1993,1993-12-26,15,25.278,BUF,,NYJ,W 16-14,,,,,
26,1993,1994-01-02,16,25.285,BUF,@,IND,W 30-10,,,,,
27,1994,1994-09-04,1,26.165,BUF,,NYJ,L 3-23,,,,,
28,1994,1994-09-11,2,26.172,BUF,@,NWE,W 38-35,,,,,
29,1994,1994-09-18,3,26.179,BUF,@,HOU,W 15-7,,,,,
30,1994,1994-09-26,4,26.187,BUF,,DEN,W 27-20,,,,,
31,1994,1994-10-02,5,26.193,BUF,@,CHI,L 13-20,,,,,
32,1994,1994-10-09,6,26.200,BUF,,MIA,W 21-11,,,,,
33,1994,1994-10-16,7,26.207,BUF,,IND,L 17-27,,,,,
34,1994,1994-10-30,8,26.221,BUF,,KAN,W 44-10,,,,,
35,1994,1994-11-06,9,26.228,BUF,@,NYJ,L 17-22,,0.0,1,11,0
36,1994,1994-11-14,10,26.236,BUF,@,PIT,L 10-23,,,,,
37,1994,1994-11-20,11,26.242,BUF,,GNB,W 29-20,,,,,
38,1994,1994-11-24,12,26.246,BUF,@,DET,L 21-35,,,,,
39,1994,1994-12-11,14,26.263,BUF,,MIN,L 17-21,,,,,
40,1994,1994-12-18,15,26.270,BUF,,NWE,L 17-41,,,,,
41,1994,1994-12-24,16,26.276,BUF,@,IND,L 9-10,,,,,
42,1995,1995-09-03,1,27.164,BUF,@,DEN,L 7-22,,,,,
43,1995,1995-09-10,2,27.171,BUF,,CAR,W 31-9,,,,,
44,1995,1995-09-17,3,27.178,BUF,,IND,W 20-14,,,,,
45,1995,1995-10-02,4,27.193,BUF,@,CLE,W 22-19,,,,,
46,1996,1996-09-01,1,28.162,BUF,@,NYG,W 23-20,,,,,
47,1996,1996-09-08,2,28.169,BUF,,NWE,W 17-10,,,,,
