ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,sacks,tackles_solo,tackles_assists,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,2002,2002-09-08,1,22.162,DAL,@,HOU,L 10-19,,1,1,100.0,1,2,50.0,0,4,0.0,,,0,0,,0
2,2002,2002-09-15,2,22.169,DAL,,TEN,W 21-13,,3,3,100.0,,,,0,3,,,,,,,
3,2002,2002-09-22,3,22.176,DAL,@,PHI,L 13-44,,1,1,100.0,2,2,100.0,0,7,0.0,,,0,0,,0
4,2002,2002-09-29,4,22.183,DAL,@,STL,W 13-10,,1,1,100.0,2,2,100.0,0,7,0.0,,,0,0,,0
5,2002,2002-10-06,5,22.190,DAL,,NYG,L 17-21,,2,2,100.0,1,2,50.0,0,5,0.0,,,0,0,,0
6,2002,2002-10-13,6,22.197,DAL,,CAR,W 14-13,,2,2,100.0,,,,0,2,,,,,,,
7,2002,2002-10-20,7,22.204,DAL,@,ARI,L 6-9,,,,,,1,0.0,0,0,0.0,,,0,0,,0
8,2002,2002-10-27,8,22.211,DAL,,SEA,L 14-17,,2,2,100.0,,,,0,2,,,,,,,
9,2002,2002-11-03,9,22.218,DAL,@,DET,L 7-9,,1,1,100.0,,,,0,1,,,,,,,
10,2002,2002-11-17,10,22.232,DAL,@,IND,L 3-20,,,,,1,2,50.0,0,3,0.0,,,0,0,,0
11,2002,2002-11-24,11,22.239,DAL,,JAX,W 21-19,,3,3,100.0,,1,0.0,0,3,0.0,,,0,0,,0
12,2002,2002-11-28,12,22.243,DAL,,WAS,W 27-20,,3,3,100.0,2,3,66.7,0,9,0.0,,,0,0,,0
13,2002,2002-12-08,13,22.253,DAL,,SFO,L 27-31,,3,3,100.0,2,3,66.7,0,9,0.0,,,0,0,,0
14,2002,2002-12-15,14,22.260,DAL,@,NYG,L 7-37,,1,1,100.0,,,,0,1,,,,,,,
15,2002,2002-12-21,15,22.266,DAL,,PHI,L 3-27,,,,,1,1,100.0,0,3,0.0,,,0,0,,0
16,2002,2002-12-29,16,22.274,DAL,@,WAS,L 14-20,,2,2,100.0,,,,0,2,,,,,,,
17,2003,2003-09-07,1,23.161,DAL,,ATL,L 13-27,,1,2,50.0,,1,0.0,0,1,0.0,,,0,0,,0
18,2003,2003-09-15,2,23.169,DAL,@,NYG,W 35-32,,2,2,100.0,7,8,87.5,0,23,0.0,,,0,0,,0
19,2003,2003-09-28,3,23.182,DAL,@,NYJ,W 17-6,,2,2,100.0,1,1,100.0,0,5,0.0,,,0,0,,0
20,2003,2003-10-05,4,23.189,DAL,,ARI,W 24-7,,2,2,100.0,2,2,100.0,0,8,0.0,,,0,0,,0
21,2003,2003-10-12,5,23.196,DAL,,PHI,W 23-21,,2,2,100.0,3,3,100.0,0,11,0.0,,,0,0,,0
22,2003,2003-10-19,6,23.203,DAL,@,DET,W 38-7,,5,5,100.0,1,1,100.0,0,8,0.0,,,0,0,,0
23,2003,2003-10-26,7,23.210,DAL,@,TAM,L 0-16,,,,,,1,0.0,0,0,0.0,,,0,0,,0
24,2003,2003-11-02,8,23.217,DAL,,WAS,W 21-14,,3,3,100.0,,,,0,3,,,,,,,
25,2003,2003-11-09,9,23.224,DAL,,BUF,W 10-6,,1,1,100.0,1,1,100.0,0,4,0.0,,,1,32,32.00,0
26,2003,2003-11-23,11,23.238,DAL,,CAR,W 24-20,,3,3,100.0,1,3,33.3,0,6,0.0,,,0,0,,0
27,2003,2003-11-27,12,23.242,DAL,,MIA,L 21-40,,3,3,100.0,,,,0,3,,,,,,,
28,2003,2003-12-07,13,23.252,DAL,@,PHI,L 10-36,,1,1,100.0,1,1,100.0,0,4,0.0,,,0,0,,0
29,2003,2003-12-14,14,23.259,DAL,@,WAS,W 27-0,,3,3,100.0,2,3,66.7,0,9,0.0,,,0,0,,0
30,2003,2003-12-21,15,23.266,DAL,,NYG,W 19-3,,1,1,100.0,4,4,100.0,0,13,0.0,,,0,0,,0
31,2003,2003-12-28,16,23.273,DAL,@,NOR,L 7-13,,1,1,100.0,,,,0,1,,,,,,,
32,2004,2004-09-12,1,24.166,DAL,@,MIN,L 17-35,,2,2,100.0,1,1,100.0,0,5,0.0,,,0,0,,0
33,2004,2004-09-19,2,24.173,DAL,,CLE,W 19-12,,2,2,100.0,1,2,50.0,0,5,0.0,,,0,0,,0
34,2004,2004-09-27,3,24.181,DAL,@,WAS,W 21-18,,3,3,100.0,,,,0,3,,,,,,,
35,2004,2004-10-10,4,24.194,DAL,,NYG,L 10-26,,1,1,100.0,1,2,50.0,0,4,0.0,,,0,0,,0
36,2004,2004-10-17,5,24.201,DAL,,PIT,L 20-24,,2,2,100.0,2,2,100.0,0,8,0.0,,,0,0,,0
37,2004,2004-10-24,6,24.208,DAL,@,GNB,L 20-41,,2,2,100.0,2,2,100.0,0,8,0.0,,,0,0,,0
38,2004,2004-10-31,7,24.215,DAL,,DET,W 31-21,,4,4,100.0,1,1,100.0,0,7,0.0,,,0,0,,0
39,2004,2004-11-07,8,24.222,DAL,@,CIN,L 3-26,,,,,1,1,100.0,0,3,0.0,,,0,0,,0
40,2004,2004-11-15,9,24.230,DAL,,PHI,L 21-49,,3,3,100.0,,,,0,3,,,,,,,
41,2004,2004-11-21,10,24.236,DAL,@,BAL,L 10-30,,1,1,100.0,1,2,50.0,0,4,0.0,,,0,0,,0
42,2004,2004-11-25,11,24.240,DAL,,CHI,W 21-7,,3,3,100.0,,1,0.0,0,3,0.0,,,0,0,,0
43,2004,2004-12-06,12,24.251,DAL,@,SEA,W 43-39,,4,4,100.0,3,3,100.0,0,13,0.0,,,0,0,,0
44,2004,2004-12-12,13,24.257,DAL,,NOR,L 13-27,,1,1,100.0,2,3,66.7,0,7,0.0,,,0,0,,0
45,2004,2004-12-19,14,24.264,DAL,@,PHI,L 7-12,,1,1,100.0,,1,0.0,0,1,0.0,,,0,0,,0
46,2004,2004-12-26,15,24.271,DAL,,WAS,W 13-10,,1,1,100.0,2,2,100.0,0,7,0.0,,,0,0,,0
47,2004,2005-01-02,16,24.278,DAL,@,NYG,L 24-28,,1,1,100.0,3,3,100.0,0,10,0.0,,,1,34,34.00,0
48,2005,2005-11-20,10,25.235,DAL,,DET,W 20-7,,2,2,100.0,2,2,100.0,0,8,0.0,,,0,0,,0
49,2005,2005-11-24,11,25.239,DAL,,DEN,L 21-24,,3,3,100.0,,1,0.0,0,3,0.0,,,0,0,,0
50,2005,2005-12-04,12,25.249,DAL,@,NYG,L 10-17,,1,1,100.0,1,1,100.0,0,4,0.0,,,0,0,,0
51,2005,2005-12-11,13,25.256,DAL,,KAN,W 31-28,,4,4,100.0,1,1,100.0,0,7,0.0,,,1,35,35.00,0
52,2005,2005-12-18,14,25.263,DAL,@,WAS,L 7-35,,1,1,100.0,,1,0.0,0,1,0.0,,,0,0,,0
53,2005,2005-12-24,15,25.269,DAL,@,CAR,W 24-20,,3,3,100.0,1,2,50.0,0,6,0.0,,,0,0,,0
54,2006,2006-12-24,15,26.269,NOR,@,NYG,W 30-7,,,,,,1,0.0,0,0,0.0,,,0,0,,0
55,2009,2009-09-27,3,29.181,CLE,@,BAL,L 3-34,,,,,1,1,100.0,0,3,0.0,0,0,0,0,,0
56,2009,2009-10-04,4,29.188,CLE,,CIN,L 20-23,,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,0,,0
57,2009,2009-10-11,5,29.195,CLE,@,BUF,W 6-3,,,,,2,2,100.0,0,6,0.0,0,0,0,0,,0
58,2009,2009-10-18,6,29.202,CLE,@,PIT,L 14-27,,2,2,100.0,,,,0,2,0.0,0,0,0,0,,0
59,2009,2009-10-25,7,29.209,CLE,,GNB,L 3-31,,,,,1,1,100.0,0,3,0.0,0,0,0,0,,0
60,2009,2009-11-22,10,29.237,BAL,,IND,L 15-17,,,,,5,6,83.3,0,15,0.0,0,0,0,0,,0
61,2009,2009-11-29,11,29.244,BAL,,PIT,W 20-17,,2,2,100.0,2,3,66.7,0,8,0.0,0,0,0,0,,0
62,2009,2009-12-07,12,29.252,BAL,@,GNB,L 14-27,,2,2,100.0,,,,0,2,0.0,0,0,0,0,,0
63,2009,2009-12-13,13,29.258,BAL,,DET,W 48-3,,6,6,100.0,2,2,100.0,0,12,0.0,0,0,0,0,,0
64,2009,2009-12-20,14,29.265,BAL,,CHI,W 31-7,,4,4,100.0,1,2,50.0,0,7,0.0,0,0,0,0,,0
65,2009,2009-12-27,15,29.272,BAL,@,PIT,L 20-23,,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,0,,0
66,2009,2010-01-03,16,29.279,BAL,@,OAK,W 21-13,,3,3,100.0,,2,0.0,0,3,0.0,0,0,0,0,,0
67,2010,2010-09-13,1,30.167,BAL,@,NYJ,W 10-9,,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,0,,0
68,2010,2010-09-19,2,30.173,BAL,@,CIN,L 10-15,,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,0,,0
69,2010,2010-09-26,3,30.180,BAL,,CLE,W 24-17,,3,3,100.0,1,2,50.0,0,6,0.0,0,0,0,0,,0
70,2010,2010-10-03,4,30.187,BAL,@,PIT,W 17-14,,2,2,100.0,1,2,50.0,0,5,0.0,0,0,0,0,,0
71,2010,2010-10-10,5,30.194,BAL,,DEN,W 31-17,,4,4,100.0,1,1,100.0,0,7,0.0,0,0,0,0,,0
72,2010,2010-10-17,6,30.201,BAL,@,NWE,L 20-23,,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,0,,0
73,2010,2010-10-24,7,30.208,BAL,,BUF,W 37-34,,4,4,100.0,3,3,100.0,0,13,0.0,0,0,0,0,,0
74,2010,2010-11-07,8,30.222,BAL,,MIA,W 26-10,,2,2,100.0,4,5,80.0,0,14,0.0,0,0,0,0,,0
75,2010,2010-11-11,9,30.226,BAL,@,ATL,L 21-26,,3,3,100.0,,,,0,3,0.0,0,0,0,0,,0
76,2010,2010-11-21,10,30.236,BAL,@,CAR,W 37-13,,4,4,100.0,3,3,100.0,0,13,0.0,0,0,0,0,,0
77,2010,2010-11-28,11,30.243,BAL,,TAM,W 17-10,,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,0,,0
