ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,2003,2003-09-07,1,22.164,JAX,@,CAR,L 23-24,,2,2,100.0,1,2,50.0,0,5
2,2003,2003-09-14,2,22.171,JAX,,BUF,L 17-38,,2,2,100.0,1,2,50.0,0,5
3,2003,2003-09-21,3,22.178,JAX,@,IND,L 13-23,,1,1,100.0,2,4,50.0,0,7
4,2003,2003-09-28,4,22.185,JAX,@,HOU,L 20-24,,2,2,100.0,2,2,100.0,0,8
5,2003,2003-10-05,5,22.192,JAX,,SDG,W 27-21,,3,3,100.0,2,2,100.0,0,9
6,2003,2003-10-12,6,22.199,JAX,,MIA,L 10-24,,1,1,100.0,1,2,50.0,0,4
7,2003,2003-10-26,7,22.213,JAX,,TEN,L 17-30,,2,2,100.0,1,1,100.0,0,5
8,2003,2003-11-02,8,22.220,JAX,@,BAL,L 17-24,,2,2,100.0,1,1,100.0,0,5
9,2003,2003-11-09,9,22.227,JAX,,IND,W 28-23,,4,4,100.0,,,,0,4
10,2003,2003-11-16,10,22.234,JAX,@,TEN,L 3-10,,,,,1,2,50.0,0,3
11,2003,2003-11-23,11,22.241,JAX,@,NYJ,L 10-13,,1,1,100.0,1,2,50.0,0,4
12,2003,2003-11-30,12,22.248,JAX,,TAM,W 17-10,,2,2,100.0,1,3,33.3,0,5
13,2003,2003-12-07,13,22.255,JAX,,HOU,W 27-0,,3,3,100.0,2,3,66.7,0,9
14,2003,2003-12-14,14,22.262,JAX,@,NWE,L 13-27,,1,1,100.0,2,3,66.7,0,7
15,2003,2003-12-21,15,22.269,JAX,,NOR,W 20-19,,2,2,100.0,2,3,66.7,0,8
16,2003,2003-12-28,16,22.276,JAX,@,ATL,L 14-21,,2,2,100.0,,1,0.0,0,2
