ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1993,1993-10-11,5,23.253,HOU,@,BUF,L 7-35,,,,,,0.0%,,,,,,,,,,,,,
2,1993,1993-10-17,6,23.259,HOU,@,NWE,W 28-14,,,,,,0.0%,,,,,,,,,,,,,
3,1993,1993-10-24,7,23.266,HOU,,CIN,W 28-12,,,,,,0.0%,,,,,,,,,,,,,
4,1993,1993-11-07,8,23.280,HOU,,SEA,W 24-14,,,,,,0.0%,,,,,,,,,,,,,
5,1993,1993-11-14,9,23.287,HOU,@,CIN,W 38-3,,,,,,0.0%,,,,,,,,,,,,,
6,1993,1993-11-21,10,23.294,HOU,@,CLE,W 27-20,,,,,,0.0%,,,,,,,,,,,,,
7,1993,1993-11-28,11,23.301,HOU,,PIT,W 23-3,,,,,,0.0%,,,,,,,,,,,,,
8,1993,1993-12-05,12,23.308,HOU,,ATL,W 33-17,,,,,,0.0%,,,,,,,,,,,,,
9,1993,1993-12-12,13,23.315,HOU,,CLE,W 19-17,,,,,,0.0%,,,,,,,,,,,,,
10,1993,1993-12-19,14,23.322,HOU,@,PIT,W 26-17,,,,,,0.0%,,,,,,,,,,,,,
11,1993,1993-12-25,15,23.328,HOU,@,SFO,W 10-7,,,,,,0.0%,,,,,,,,,,,,,
12,1993,1994-01-02,16,23.336,HOU,,NYJ,W 24-0,,,,,,0.0%,,,,,,,,,,,,,
13,1994,1994-09-04,1,24.216,HOU,@,IND,L 21-45,3,3,24,8.00,0,100.0%,8.00,0,0,,0,4,77,19.25,0,1,9,9.00,0
14,1994,1994-09-11,2,24.223,HOU,@,DAL,L 17-20,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,2,13,6.50,0
15,1994,1994-09-18,3,24.230,HOU,,BUF,L 7-15,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,1,7,7.00,0
16,1994,1994-09-25,4,24.237,HOU,,CIN,W 20-13,0,0,0,,0,0.0%,,0,0,,0,1,39,39.00,0,3,19,6.33,0
17,1994,1994-10-30,8,24.272,HOU,@,RAI,L 14-17,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,1,0,0.00,0
18,1994,1994-11-06,9,24.279,HOU,,PIT,L 9-12,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,1,10,10.00,0
19,1994,1994-11-27,12,24.300,HOU,@,CLE,L 10-34,,0,0,,0,0.0%,,,,,,0,0,,0,0,0,,0
20,1994,1994-12-18,15,24.321,HOU,@,KAN,L 9-31,,0,0,,0,0.0%,,,,,,0,0,,0,0,0,,0
21,1994,1994-12-24,16,24.327,HOU,,NYJ,W 24-10,,0,0,,0,0.0%,,,,,,0,0,,0,0,0,,0
22,1995,1995-09-03,1,25.215,HOU,@,JAX,W 10-3,1,1,10,10.00,0,100.0%,10.00,1,5,5.00,0,0,0,,0,0,0,,0
23,1995,1995-09-10,2,25.222,HOU,,PIT,L 17-34,2,1,11,11.00,0,50.0%,5.50,0,0,,0,0,0,,0,0,0,,0
24,1995,1995-09-17,3,25.229,HOU,,CLE,L 7-14,,0,0,,0,0.0%,,0,0,,0,,,,,0,0,,0
25,1995,1995-09-24,4,25.236,HOU,@,CIN,W 38-28,,0,0,,0,0.0%,,0,0,,0,,,,,0,0,,0
26,1995,1995-10-01,5,25.243,HOU,,JAX,L 16-17,2,2,19,9.50,0,100.0%,9.50,0,0,,0,0,0,,0,1,2,2.00,0
27,1995,1995-10-08,6,25.250,HOU,@,MIN,L 17-23,,0,0,,0,0.0%,,0,0,,0,,,,,0,0,,0
28,1995,1995-10-22,7,25.264,HOU,@,CHI,L 32-35,3,2,60,30.00,0,66.7%,20.00,0,0,,0,0,0,,0,0,0,,0
29,1995,1995-10-29,8,25.271,HOU,,TAM,W 19-7,,0,0,,0,0.0%,,0,0,,0,,,,,0,0,,0
30,1995,1995-11-05,9,25.278,HOU,@,CLE,W 37-10,,0,0,,0,0.0%,,0,0,,0,,,,,0,0,,0
31,1995,1995-11-12,10,25.285,HOU,,CIN,L 25-32,3,2,23,11.50,0,66.7%,7.67,0,0,,0,0,0,,0,0,0,,0
32,1995,1995-11-19,11,25.292,HOU,@,KAN,L 13-20,,0,0,,0,0.0%,,0,0,,0,,,,,0,0,,0
33,1995,1995-11-26,12,25.299,HOU,,DEN,W 42-33,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0,,0,0,0,,0
34,1995,1995-12-03,13,25.306,HOU,@,PIT,L 7-21,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0,,0,4,34,8.50,0
35,1995,1995-12-10,14,25.313,HOU,,DET,L 17-24,,0,0,,0,0.0%,,0,0,,0,,,,,0,0,,0
36,1995,1995-12-17,15,25.320,HOU,,NYJ,W 23-6,,0,0,,0,0.0%,,0,0,,0,,,,,0,0,,0
37,1995,1995-12-24,16,25.327,HOU,@,BUF,W 28-17,2,0,0,,0,0.0%,0.00,0,0,,0,,,,,0,0,,0
