ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td
1,1952,1952-09-28,1,27.031,DTX,,NYG,L 6-24,3,29,9.67,0
2,1952,1952-10-26,5,27.059,DTX,@,SFO,L 21-48,3,55,18.33,0
3,1952,1952-11-02,6,27.066,DTX,@,RAM,L 20-42,2,56,28.00,1
4,1952,1952-11-09,7,27.073,DTX,,RAM,L 6-27,4,50,12.50,0
5,1952,1952-11-16,8,27.080,DTX,@,DET,L 13-43,3,15,5.00,0
6,1952,1952-11-23,9,27.087,DTX,@,GNB,L 14-42,6,58,9.67,0
7,1952,1952-11-27,10,27.091,DTX,,CHI,W 27-23,1,20,20.00,1
8,1952,1952-12-07,11,27.101,DTX,@,PHI,L 21-38,1,42,42.00,1
9,1954,1954-09-26,1,29.029,NYG,@,CRD,W 41-10,1,14,14.00,0
10,1954,1954-10-02,2,29.035,NYG,@,BAL,L 14-20,1,11,11.00,0
11,1954,1954-10-10,3,29.043,NYG,@,WAS,W 51-21,1,2,2.00,1
12,1954,1954-10-24,5,29.057,NYG,,WAS,W 24-7,1,18,18.00,0
