ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,2009,2009-10-05,4,25.087,MIN,,GNB,W 30-23,,0,0,0,,0,0.0%,,2,42,21.00,0
2,2009,2009-10-11,5,25.093,MIN,@,STL,W 38-10,,0,0,0,,0,0.0%,,1,12,12.00,0
3,2009,2009-10-18,6,25.100,MIN,,BAL,W 33-31,,0,0,0,,0,0.0%,,5,35,7.00,0
4,2009,2009-10-25,7,25.107,MIN,@,PIT,L 17-27,,1,1,9,9.00,0,100.0%,9.00,3,8,2.67,0
5,2009,2009-11-01,8,25.114,MIN,@,GNB,W 38-26,,0,0,0,,0,0.0%,,5,37,7.40,0
6,2009,2009-12-13,13,25.156,MIN,,CIN,W 30-10,,,,,,,0.0%,,,,,
7,2011,2011-12-04,12,27.147,ARI,,DAL,W 19-13,,,,,,,0.0%,,,,,
