ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,2001,2001-09-23,2,23.252,TEN,@,JAX,L 6-13,,3,2,28,14.00,0,66.7%,9.33,1,32,32.00,0,0,0,,0,0,0
2,2001,2001-10-14,4,23.273,TEN,,TAM,W 31-28,,0,0,0,,0,0.0%,,2,40,20.00,0,0,0,,0,0,0
3,2001,2001-11-12,8,23.302,TEN,,BAL,L 10-16,,1,,,,,0.0%,,,,,,,,,,,
4,2001,2001-11-18,9,23.308,TEN,@,CIN,W 20-7,,,,,,,0.0%,,,,,,,,,,,
5,2001,2001-11-25,10,23.315,TEN,,PIT,L 24-34,,0,,,,,0.0%,,,,,,,,,,,
6,2001,2001-12-02,11,23.322,TEN,@,CLE,W 31-15,,0,,,,,0.0%,,,,,,,,,,,
7,2001,2001-12-09,12,23.329,TEN,@,MIN,L 24-42,,1,,,,,0.0%,,,,,,,,,,,
8,2001,2001-12-16,13,23.336,TEN,,GNB,W 26-20,,1,,,,,0.0%,,,,,,,,,,,
9,2001,2001-12-22,14,23.342,TEN,@,OAK,W 13-10,,0,,,,,0.0%,,,,,,,,,,,
10,2001,2001-12-30,15,23.350,TEN,,CLE,L 38-41,,0,0,0,,0,0.0%,,6,94,15.67,0,0,0,,0,0,0
11,2001,2002-01-06,16,23.357,TEN,,CIN,L 21-23,,0,0,0,,0,0.0%,,4,87,21.75,0,0,0,,0,0,0
12,2002,2002-09-08,1,24.237,TEN,,PHI,W 27-24,,,,,,,0.0%,,,,,,,,,,,
13,2002,2002-09-15,2,24.244,TEN,@,DAL,L 13-21,,,,,,,0.0%,,,,,,,,,,,
14,2002,2002-09-22,3,24.251,TEN,,CLE,L 28-31,,0,0,0,,0,0.0%,,2,38,19.00,0,0,0,,0,0,0
15,2002,2002-09-29,4,24.258,TEN,@,OAK,L 25-52,,,,,,,0.0%,,,,,,,,,,,
16,2002,2002-10-06,5,24.265,TEN,,WAS,L 14-31,,0,0,0,,0,0.0%,,1,18,18.00,0,0,0,,0,0,0
17,2002,2002-10-13,6,24.272,TEN,,JAX,W 23-14,,0,0,0,,0,0.0%,,2,58,29.00,0,0,0,,0,0,0
18,2002,2002-10-27,7,24.286,TEN,@,CIN,W 30-24,,0,0,0,,0,0.0%,,2,38,19.00,0,0,0,,0,0,0
19,2002,2002-11-03,8,24.293,TEN,@,IND,W 23-15,,0,0,0,,0,0.0%,,1,18,18.00,0,0,0,,0,0,0
20,2002,2002-11-10,9,24.300,TEN,,HOU,W 17-10,,0,0,0,,0,0.0%,,1,5,5.00,0,0,0,,0,0,0
21,2002,2002-11-17,10,24.307,TEN,,PIT,W 31-23,,,,,,,0.0%,,,,,,,,,,,
22,2002,2002-11-24,11,24.314,TEN,@,BAL,L 12-13,,0,0,0,,0,0.0%,,3,60,20.00,0,0,0,,0,0,0
23,2002,2002-12-01,12,24.321,TEN,@,NYG,W 32-29,,1,1,14,14.00,0,100.0%,14.00,0,0,,0,0,0,,0,0,0
24,2002,2002-12-08,13,24.328,TEN,,IND,W 27-17,,,,,,,0.0%,,,,,,,,,,,
25,2002,2002-12-16,14,24.336,TEN,,NWE,W 24-7,,,,,,,0.0%,,,,,,,,,,,
26,2002,2002-12-22,15,24.342,TEN,@,JAX,W 28-10,,0,,,,,0.0%,,,,,,,,,,,
27,2002,2002-12-29,16,24.349,TEN,@,HOU,W 13-3,,0,0,0,,0,0.0%,,1,25,25.00,0,0,0,,0,0,0
28,2003,2003-09-07,1,25.236,TEN,,OAK,W 25-20,,,,,,,0.0%,,,,,,,,,,,
29,2003,2003-09-14,2,25.243,TEN,@,IND,L 7-33,,,,,,,0.0%,,,,,,,,,,,
30,2003,2003-09-21,3,25.250,TEN,,NOR,W 27-12,,0,,,,,0.0%,,,,,,,,,,,
31,2003,2003-09-28,4,25.257,TEN,@,PIT,W 30-13,,,,,,,0.0%,,,,,,,,,,,
32,2003,2003-10-05,5,25.264,TEN,@,NWE,L 30-38,,0,,,,,0.0%,,,,,,,,,,,
33,2003,2003-10-12,6,25.271,TEN,,HOU,W 38-17,,,,,,,0.0%,,,,,,,,,,,
34,2003,2003-10-19,7,25.278,TEN,@,CAR,W 37-17,,1,1,50,50.00,1,100.0%,50.00,0,0,,0,0,0,,0,1,6
35,2003,2003-10-26,8,25.285,TEN,@,JAX,W 30-17,,0,,,,,0.0%,,,,,,,,,,,
36,2003,2003-11-09,9,25.299,TEN,,MIA,W 31-7,,1,,,,,0.0%,,,,,,,,,,,
37,2003,2003-11-16,10,25.306,TEN,,JAX,W 10-3,,,,,,,0.0%,,,,,,,,,,,
38,2003,2003-11-23,11,25.313,TEN,@,ATL,W 38-31,,,,,,,0.0%,,,,,,,,,,,
39,2003,2003-12-01,12,25.321,TEN,@,NYJ,L 17-24,,0,,,,,0.0%,,,,,,,,,,,
40,2003,2003-12-07,13,25.327,TEN,,IND,L 27-29,,0,0,0,,0,0.0%,,4,73,18.25,0,0,0,,0,0,0
41,2003,2003-12-14,14,25.334,TEN,,BUF,W 28-26,,,,,,,0.0%,,,,,,,,,,,
42,2004,2004-09-11,1,26.241,TEN,@,MIA,W 17-7,,1,,,,,0.0%,,,,,,,,,,,
43,2004,2004-09-19,2,26.249,TEN,,IND,L 17-31,,2,1,19,19.00,0,50.0%,9.50,0,0,,0,0,0,,0,0,0
44,2004,2004-09-26,3,26.256,TEN,,JAX,L 12-15,,,,,,,0.0%,,,,,,,,,,,
45,2004,2004-10-03,4,26.263,TEN,@,SDG,L 17-38,,1,,,,,0.0%,,,,,,,,,,,
46,2004,2004-10-11,5,26.271,TEN,@,GNB,W 48-27,,4,3,53,17.67,1,75.0%,13.25,0,0,,0,0,0,,0,1,6
47,2004,2004-10-17,6,26.277,TEN,,HOU,L 10-20,,8,4,50,12.50,0,50.0%,6.25,0,0,,0,0,0,,0,0,0
48,2004,2004-10-24,7,26.284,TEN,@,MIN,L 3-20,,5,1,6,6.00,0,20.0%,1.20,0,0,,0,0,0,,0,0,0
49,2004,2004-10-31,8,26.291,TEN,,CIN,W 27-20,,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,0,0
50,2004,2004-11-14,9,26.305,TEN,,CHI,L 17-19,,1,1,26,26.00,0,100.0%,26.00,0,0,,0,0,0,,0,0,0
51,2004,2004-11-21,10,26.312,TEN,@,JAX,W 18-15,,1,1,12,12.00,0,100.0%,12.00,0,0,,0,0,0,,0,0,0
52,2004,2004-11-28,11,26.319,TEN,@,HOU,L 21-31,,0,,,,,0.0%,,,,,,,,,,,
