ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1978,1978-09-03,1,23.079,RAM,@,PHI,W 16-14,,0,0,,0,0,0,,0,0,,,1,1,100.0,3,4,75.0,0,10,0,0,,0
2,1978,1978-09-10,2,23.086,RAM,,ATL,W 10-0,,0,0,,0,0,0,,0,0,,,1,1,100.0,1,1,100.0,0,4,0,0,,0
3,1978,1978-09-17,3,23.093,RAM,,DAL,W 27-14,,0,0,,0,0,0,,0,0,,,3,4,75.0,,1,0.0,0,3,0,0,,0
4,1978,1978-09-24,4,23.100,RAM,@,HOU,W 10-6,,0,0,,0,0,0,,0,0,,,1,1,100.0,1,2,50.0,0,4,0,0,,0
5,1978,1978-10-01,5,23.107,RAM,@,NOR,W 26-20,,0,0,,0,0,0,,0,0,,,2,3,66.7,2,4,50.0,0,8,0,0,,0
6,1978,1978-10-08,6,23.114,RAM,,SFO,W 27-10,,0,0,,0,0,0,,0,0,,,3,3,100.0,2,3,66.7,0,9,0,0,,0
7,1978,1978-10-15,7,23.121,RAM,@,MIN,W 34-17,,0,0,,0,0,0,,0,0,,,4,4,100.0,2,3,66.7,0,10,0,0,,0
8,1978,1978-10-22,8,23.128,RAM,,NOR,L 3-10,,0,0,,0,0,0,,0,0,,,,,,1,2,50.0,0,3,0,0,,0
9,1978,1978-10-30,9,23.136,RAM,@,ATL,L 7-15,,0,0,,0,0,0,,0,0,,,1,1,100.0,,2,0.0,0,1,0,0,,0
10,1978,1978-11-05,10,23.142,RAM,,TAM,W 26-23,,0,0,,0,0,0,,0,0,,,2,2,100.0,4,4,100.0,0,14,0,0,,0
11,1978,1978-11-12,11,23.149,RAM,,PIT,W 10-7,,0,0,,0,0,0,,0,0,,,1,1,100.0,1,2,50.0,0,4,0,0,,0
12,1978,1978-11-19,12,23.156,RAM,@,SFO,W 31-28,,0,0,,0,0,0,,0,0,,,4,4,100.0,1,2,50.0,0,7,0,0,,0
13,1978,1978-11-26,13,23.163,RAM,@,CLE,L 19-30,,0,0,,0,0,0,,0,0,,,1,1,100.0,4,5,80.0,0,13,0,0,,0
14,1978,1978-12-03,14,23.170,RAM,@,NYG,W 20-17,,0,0,,0,0,0,,0,0,,,2,2,100.0,2,3,66.7,0,8,0,0,,0
15,1978,1978-12-11,15,23.178,RAM,,CIN,L 19-20,,0,0,,0,0,0,,0,0,,,1,1,100.0,4,4,100.0,0,13,0,0,,0
16,1978,1978-12-17,16,23.184,RAM,,GNB,W 31-14,,0,0,,0,0,0,,0,0,,,4,4,100.0,1,1,100.0,0,7,0,0,,0
17,1979,1979-09-02,1,24.078,RAM,,OAK,L 17-24,,0,0,,0,0,0,,0,0,,,2,2,100.0,1,1,100.0,0,5,0,0,,0
18,1979,1979-09-06,2,24.082,RAM,@,DEN,W 13-9,,0,0,,0,0,0,,0,0,,,1,1,100.0,2,3,66.7,0,7,0,0,,0
19,1979,1979-09-16,3,24.092,RAM,,SFO,W 27-24,,0,0,,0,0,0,,0,0,,,3,3,100.0,2,2,100.0,0,9,0,0,,0
20,1979,1979-09-23,4,24.099,RAM,@,TAM,L 6-21,,0,0,,0,0,0,,0,0,,,,1,0.0,,2,0.0,0,0,0,0,,0
21,1979,1979-09-30,5,24.106,RAM,,STL,W 21-0,,0,0,,0,0,0,,0,0,,,3,3,100.0,,2,0.0,0,3,0,0,,0
22,1979,1979-10-07,6,24.113,RAM,@,NOR,W 35-17,,0,0,,0,0,,,,,,,5,5,100.0,,,,0,5,,,,
23,1979,1979-10-14,7,24.120,RAM,@,DAL,L 6-30,,0,0,,0,0,0,,0,0,,,,,,2,2,100.0,0,6,0,0,,0
24,1979,1979-10-21,8,24.127,RAM,,SDG,L 16-40,,0,0,,0,0,0,,0,0,,,2,2,100.0,,1,0.0,0,2,0,0,,0
25,1979,1979-10-28,9,24.134,RAM,,NYG,L 14-20,,0,0,,0,0,0,,0,0,,,2,2,100.0,,1,0.0,0,2,0,0,,0
26,1979,1979-11-04,10,24.141,RAM,@,SEA,W 24-0,,0,0,,0,0,0,,0,0,,,3,3,100.0,1,2,50.0,0,6,0,0,,0
27,1979,1979-11-11,11,24.148,RAM,@,CHI,L 23-27,,0,0,,0,0,0,,0,0,,,2,2,100.0,1,2,50.0,0,5,0,0,,0
28,1979,1979-11-19,12,24.156,RAM,,ATL,W 20-14,,0,0,,0,0,,,,,,,2,3,66.7,,,,0,2,,,,
29,1979,1979-11-25,13,24.162,RAM,@,SFO,W 26-20,,0,0,,0,0,0,,0,0,,,2,3,66.7,2,3,66.7,0,8,0,0,,0
30,1979,1979-12-02,14,24.169,RAM,,MIN,W 27-21,,0,0,,0,0,0,,0,0,,,3,3,100.0,,1,0.0,0,3,0,0,,0
31,1979,1979-12-09,15,24.176,RAM,@,ATL,W 34-13,,0,0,,0,0,0,,0,0,,,4,4,100.0,2,3,66.7,0,10,0,0,,0
32,1979,1979-12-16,16,24.183,RAM,,NOR,L 14-29,,0,0,,0,0,,,,,,,2,2,100.0,,,,0,2,,,,
33,1980,1980-09-07,1,25.083,RAM,,DET,L 20-41,,0,0,,0,0,0,,0,0,,,2,3,66.7,,,,0,2,5,224,44.80,0
34,1980,1980-09-11,2,25.087,RAM,@,TAM,L 9-10,,0,0,,0,0,0,,0,0,,,,,,3,3,100.0,0,9,4,133,33.25,0
35,1980,1980-09-21,3,25.097,RAM,,GNB,W 51-21,,0,0,,0,0,0,,0,0,,,6,6,100.0,1,1,100.0,0,9,5,251,50.20,1
36,1980,1980-09-28,4,25.104,RAM,@,NYG,W 28-7,,0,0,,0,0,0,,0,0,,,4,4,100.0,,,,0,4,4,170,42.50,0
37,1980,1980-10-05,5,25.111,RAM,,SFO,W 48-26,,0,0,,0,0,0,,0,0,,,6,6,100.0,2,2,100.0,0,12,4,175,43.75,0
38,1980,1980-10-12,6,25.118,RAM,@,STL,W 21-13,,0,0,,0,0,0,,0,0,,,3,3,100.0,,2,0.0,0,3,3,102,34.00,0
39,1980,1980-10-19,7,25.125,RAM,@,SFO,W 31-17,,0,0,,0,0,0,,0,0,,,4,4,100.0,1,1,100.0,0,7,4,140,35.00,0
40,1980,1980-10-26,8,25.132,RAM,@,ATL,L 10-13,,0,0,,0,0,0,,0,0,,,1,1,100.0,1,3,33.3,0,4,6,241,40.17,0
41,1980,1980-11-02,9,25.139,RAM,,NOR,W 45-31,,0,0,,0,0,0,,0,0,,,6,6,100.0,1,2,50.0,0,9,5,219,43.80,0
42,1980,1980-11-09,10,25.146,RAM,,MIA,L 14-35,,0,0,,0,0,0,,0,0,,,2,2,100.0,,,,0,2,5,179,35.80,0
43,1980,1980-11-16,11,25.153,RAM,@,NWE,W 17-14,,0,0,,0,0,0,,0,0,,,2,2,100.0,1,1,100.0,0,5,9,325,36.11,0
44,1980,1980-11-24,12,25.161,RAM,@,NOR,W 27-7,,0,0,,0,0,0,,0,0,,,3,3,100.0,2,4,50.0,0,9,4,173,43.25,0
45,1980,1980-11-30,13,25.167,RAM,,NYJ,W 38-13,,0,0,,0,0,0,,0,0,,,5,5,100.0,1,3,33.3,0,8,1,20,20.00,0
46,1980,1980-12-07,14,25.174,RAM,@,BUF,L 7-10,,0,0,,0,0,0,,0,0,,,,,,,1,0.0,0,0,8,297,37.13,0
47,1980,1980-12-15,15,25.182,RAM,,DAL,W 38-14,,0,0,,0,0,0,,0,0,,,5,5,100.0,1,2,50.0,0,8,4,155,38.75,0
48,1980,1980-12-21,16,25.188,RAM,,ATL,W 20-17,,0,0,,0,0,0,,0,0,,,2,2,100.0,2,5,40.0,0,8,5,198,39.60,0
49,1981,1981-09-06,1,26.082,RAM,,HOU,L 20-27,,0,0,,0,0,0,,0,,,,2,2,100.0,2,3,66.7,0,8,4,149,37.25,0
50,1981,1981-09-13,2,26.089,RAM,@,NOR,L 17-23,,0,0,,0,0,0,,0,,,,2,2,100.0,1,1,100.0,0,5,5,198,39.60,0
51,1981,1981-09-20,3,26.096,RAM,,GNB,W 35-23,,0,0,,0,0,0,,0,,,,5,5,100.0,,,,0,5,7,278,39.71,0
52,1981,1981-09-28,4,26.104,RAM,@,CHI,W 24-7,,0,0,,0,0,0,,0,,,,3,3,100.0,1,1,100.0,0,6,6,279,46.50,0
53,1981,1981-10-04,5,26.110,RAM,,CLE,W 27-16,,0,0,,0,0,0,,0,,,,3,3,100.0,2,3,66.7,0,9,3,121,40.33,0
54,1981,1981-10-11,6,26.117,RAM,@,ATL,W 37-35,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,4,4,100.0,3,3,100.0,0,13,7,309,44.14,0
55,1981,1981-10-18,7,26.124,RAM,@,DAL,L 17-29,,0,0,,0,0,0,,0,,,,2,2,100.0,1,1,100.0,0,5,5,240,48.00,0
56,1981,1981-10-25,8,26.131,RAM,@,SFO,L 17-20,,0,0,,0,0,0,,0,,,,2,2,100.0,1,5,20.0,0,5,5,215,43.00,0
57,1981,1981-11-01,9,26.138,RAM,,DET,W 20-13,,0,0,,0,0,0,,0,,,,2,2,100.0,2,2,100.0,0,8,5,203,40.60,0
58,1981,1981-11-08,10,26.145,RAM,,NOR,L 13-21,,0,0,,0,0,0,,0,,,,1,1,100.0,2,2,100.0,0,7,4,174,43.50,0
59,1981,1981-11-15,11,26.152,RAM,@,CIN,L 10-24,,0,0,,0,0,0,,0,,,,1,1,100.0,1,1,100.0,0,4,7,290,41.43,0
60,1981,1981-11-22,12,26.159,RAM,,SFO,L 31-33,,0,0,,0,0,0,,0,,,,4,4,100.0,1,1,100.0,0,7,4,179,44.75,0
61,1981,1981-11-29,13,26.166,RAM,@,PIT,L 0-24,,0,0,,0,0,0,,0,,,,,,,,1,0.0,0,0,9,394,43.78,0
62,1981,1981-12-06,14,26.173,RAM,@,NYG,L 7-10,,0,0,,0,0,0,,0,,,,1,1,100.0,,1,0.0,0,1,7,241,34.43,0
63,1981,1981-12-14,15,26.181,RAM,,ATL,W 21-16,,0,0,,0,0,0,,0,,,,3,3,100.0,,1,0.0,0,3,5,193,38.60,0
64,1981,1981-12-20,16,26.187,RAM,,WAS,L 7-30,,0,0,,0,0,0,,0,,,,1,1,100.0,,,,0,1,6,272,45.33,0
