ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2013,2013-09-16,2,23.263,PIT,@,CIN,L 10-20,,0,0,,0,0.0,4,3,0,0,0
2,2013,2013-09-22,3,23.269,PIT,,CHI,L 23-40,,0,0,,0,0.0,3,1,0,0,0
3,2013,2013-09-29,4,23.276,PIT,@,MIN,L 27-34,*,0,0,,0,0.0,5,0,0,0,0
4,2013,2013-10-13,5,23.290,PIT,@,NYJ,W 19-6,,0,0,,0,0.0,4,1,0,0,0
5,2013,2013-10-20,6,23.297,PIT,,BAL,W 19-16,*,0,0,,0,0.0,2,1,0,0,0
6,2013,2013-10-27,7,23.304,PIT,@,OAK,L 18-21,*,0,0,,0,0.0,3,0,0,0,0
7,2013,2013-11-03,8,23.311,PIT,@,NWE,L 31-55,*,0,0,,0,0.0,2,1,0,0,0
8,2013,2013-11-10,9,23.318,PIT,,BUF,W 23-10,*,0,0,,0,0.0,2,1,0,0,0
9,2013,2013-11-17,10,23.325,PIT,,DET,W 37-27,*,0,0,,0,0.0,0,1,0,0,0
10,2013,2013-11-24,11,23.332,PIT,@,CLE,W 27-11,*,0,0,,0,0.0,4,1,0,0,0
11,2013,2013-11-28,12,23.336,PIT,@,BAL,L 20-22,*,0,0,,0,0.0,1,0,0,0,0
12,2013,2013-12-08,13,23.346,PIT,,MIA,L 28-34,*,0,0,,0,0.0,0,3,0,0,0
13,2013,2013-12-15,14,23.353,PIT,,CIN,W 30-20,*,0,0,,0,0.0,6,0,0,0,0
14,2013,2013-12-22,15,23.360,PIT,@,GNB,W 38-31,,0,0,,0,0.0,2,0,0,0,0
15,2013,2013-12-29,16,24.002,PIT,,CLE,W 20-7,*,0,0,,0,0.0,2,0,0,0,0
16,2014,2014-09-07,1,24.254,PIT,,CLE,W 30-27,,,,,,,,,,,
17,2014,2014-09-11,2,24.258,PIT,@,BAL,L 6-26,,,,,,,,,,,
18,2014,2014-09-21,3,24.268,PIT,@,CAR,W 37-19,,,,,,,,,,,
19,2014,2014-09-28,4,24.275,PIT,,TAM,L 24-27,,,,,,,,,,,
20,2014,2014-10-05,5,24.282,PIT,@,JAX,W 17-9,,0,0,,0,0.0,1,2,0,0,0
21,2014,2014-10-12,6,24.289,PIT,@,CLE,L 10-31,,1,0,0.00,0,0.0,0,0,0,0,0
22,2014,2014-10-20,7,24.297,PIT,,HOU,W 30-23,,0,0,,0,0.0,1,0,0,0,0
23,2014,2014-10-26,8,24.303,PIT,,IND,W 51-34,,0,0,,0,0.0,6,1,0,0,0
24,2014,2014-11-02,9,24.310,PIT,,BAL,W 43-23,,0,0,,0,0.0,1,0,0,0,0
25,2014,2014-11-09,10,24.317,PIT,@,NYJ,L 13-20,*,0,0,,0,0.0,2,2,0,0,0
26,2014,2014-11-17,11,24.325,PIT,@,TEN,W 27-24,,0,0,,0,0.0,4,3,0,0,0
27,2014,2014-11-30,12,24.338,PIT,,NOR,L 32-35,*,0,0,,0,0.0,1,1,0,0,0
28,2014,2014-12-07,13,24.345,PIT,@,CIN,W 42-21,,0,0,,0,0.0,3,0,0,0,0
29,2014,2014-12-14,14,24.352,PIT,@,ATL,W 27-20,,0,0,,0,0.0,5,2,0,0,0
