ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,tackles_solo,tackles_assists
1,2011,2011-09-12,1,25.091,MIA,,NWE,L 24-38,,,0,0,,0,0.0%,,0,0,,0,6,129,21.50,0,0,0,,0,0.0,0,0
2,2011,2011-09-18,2,25.097,MIA,,HOU,L 13-23,,,0,0,,0,0.0%,,0,0,,0,3,77,25.67,0,3,32,10.67,0,0.0,0,0
3,2011,2011-09-25,3,25.104,MIA,@,CLE,L 16-17,,,0,0,,0,0.0%,,0,0,,0,3,60,20.00,0,0,0,,0,0.0,0,0
4,2011,2011-10-02,4,25.111,MIA,@,SDG,L 16-26,,,1,8,8.00,0,,,0,0,,0,3,66,22.00,0,0,0,,0,0.0,0,0
5,2011,2011-10-17,5,25.126,MIA,@,NYJ,L 6-24,,,0,0,,0,0.0%,,0,0,,0,4,87,21.75,0,0,0,,0,0.0,1,0
6,2011,2011-10-23,6,25.132,MIA,,DEN,L 15-18,,,,,,,0.0%,,,,,,,,,,,,,,,,
7,2011,2011-11-06,8,25.146,MIA,@,KAN,W 31-3,,,,,,,0.0%,,,,,,,,,,,,,,,,
8,2011,2011-11-13,9,25.153,MIA,,WAS,W 20-9,,,0,0,,0,0.0%,,0,0,,0,2,42,21.00,0,0,0,,0,0.0,0,0
9,2011,2011-11-20,10,25.160,MIA,,BUF,W 35-8,,,0,0,,0,0.0%,,0,0,,0,1,18,18.00,0,0,0,,0,0.0,0,0
10,2011,2011-11-24,11,25.164,MIA,@,DAL,L 19-20,,,1,11,11.00,0,,,0,0,,0,3,92,30.67,0,0,0,,0,0.0,0,0
11,2011,2011-12-04,12,25.174,MIA,,OAK,W 34-14,,,0,0,,0,0.0%,,1,4,4.00,0,1,77,77.00,0,0,0,,0,0.0,0,0
12,2011,2011-12-11,13,25.181,MIA,,PHI,L 10-26,,,0,0,,0,0.0%,,0,0,,0,1,27,27.00,0,0,0,,0,0.0,0,0
13,2011,2011-12-18,14,25.188,MIA,@,BUF,W 30-23,,,0,0,,0,0.0%,,0,0,,0,2,53,26.50,0,0,0,,0,0.0,0,0
14,2011,2011-12-24,15,25.194,MIA,@,NWE,L 24-27,,,0,0,,0,0.0%,,0,0,,0,3,73,24.33,0,0,0,,0,0.0,0,0
15,2011,2012-01-01,16,25.202,MIA,,NYJ,W 19-17,,,0,0,,0,0.0%,,0,0,,0,2,42,21.00,0,0,0,,0,0.0,0,0
16,2012,2012-09-16,2,26.095,NYJ,@,PIT,L 10-27,,,1,10,10.00,0,,,0,0,,0,0,0,,0,0,0,,0,0.0,0,0
17,2012,2012-09-23,3,26.102,NYJ,@,MIA,W 23-20,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0.0,0,0
18,2012,2012-09-30,4,26.109,NYJ,,SFO,L 0-34,,,,,,,0.0%,,,,,,,,,,,,,,,,
19,2012,2012-10-08,5,26.117,NYJ,,HOU,L 17-23,,3,1,27,27.00,0,33.3%,9.00,0,0,,0,0,0,,0,0,0,,0,0.0,0,0
20,2012,2012-10-28,8,26.137,NYJ,,MIA,L 9-30,,11,7,82,11.71,0,63.6%,7.45,0,0,,0,2,63,31.50,0,0,0,,0,0.0,0,0
