ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1999,1999-10-24,7,23.085,CHI,@,TAM,L 3-6,,1,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
2,1999,1999-10-31,8,23.092,CHI,@,WAS,L 22-48,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
3,1999,1999-11-14,10,23.106,CHI,,MIN,L 24-27,*,8,7,134,19.14,2,87.5%,16.75,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,2,12
4,1999,1999-11-21,11,23.113,CHI,@,SDG,W 23-20,,2,1,3,3.00,0,50.0%,1.50,1,8,8.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
5,1999,1999-11-25,12,23.117,CHI,@,DET,L 17-21,*,4,3,33,11.00,1,75.0%,8.25,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
6,1999,1999-12-05,13,23.127,CHI,,GNB,L 19-35,,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
7,1999,1999-12-19,14,23.141,CHI,,DET,W 28-10,*,4,2,8,4.00,0,50.0%,2.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
8,1999,1999-12-26,15,23.148,CHI,@,STL,L 12-34,*,6,1,8,8.00,0,16.7%,1.33,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
9,1999,2000-01-02,16,23.155,CHI,,TAM,L 6-20,,7,4,29,7.25,0,57.1%,4.14,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
10,2000,2000-09-03,1,24.034,CHI,@,MIN,L 27-30,,6,6,59,9.83,0,100.0%,9.83,1,-6,-6.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
11,2000,2000-09-10,2,24.041,CHI,@,TAM,L 0-41,,1,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
12,2000,2000-09-24,4,24.055,CHI,,DET,L 14-21,*,8,5,56,11.20,0,62.5%,7.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
13,2000,2000-10-01,5,24.062,CHI,@,GNB,W 27-24,,4,2,15,7.50,0,50.0%,3.75,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
14,2000,2000-10-08,6,24.069,CHI,,NOR,L 10-31,,7,3,44,14.67,0,42.9%,6.29,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
