ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,def_int,def_int_yds,def_int_td
1,1977,1977-09-18,1,22.320,SEA,,BAL,L 14-29,,,,,,,,,,,
2,1977,1977-09-25,2,22.327,SEA,@,CIN,L 20-42,,,,,,,,,,,
3,1977,1977-10-02,3,22.334,SEA,,DEN,L 13-24,,,,,,,,,,,
4,1977,1977-10-09,4,22.341,SEA,@,NWE,L 0-31,,,,,,,,,,,
5,1977,1977-10-16,5,22.348,SEA,,TAM,W 30-23,,,,,,,,,,,
6,1977,1977-10-23,6,22.355,SEA,@,MIA,L 13-31,,,,,,,,,,,
7,1977,1977-10-30,7,22.362,SEA,,BUF,W 56-17,,,,,,,,,,,
8,1977,1977-11-06,8,23.004,SEA,@,OAK,L 7-44,,,,,,,,,,,
9,1977,1977-11-13,9,23.011,SEA,@,NYJ,W 17-0,,,,,,,,,,,
10,1977,1977-11-20,10,23.018,SEA,,HOU,L 10-22,,,,,,,,,,,
11,1977,1977-11-27,11,23.025,SEA,,SDG,L 28-30,,,,,,,,,,,
12,1977,1977-12-04,12,23.032,SEA,@,PIT,L 20-30,,,,,,,,,,,
13,1977,1977-12-11,13,23.039,SEA,@,KAN,W 34-31,,,,,,,,,,,
14,1977,1977-12-18,14,23.046,SEA,,CLE,W 20-19,0,0,,0,0,0,,0,1,-4,0
15,1978,1978-09-03,1,23.305,SEA,,SDG,L 20-24,,,,,,,,,,,
16,1978,1978-09-10,2,23.312,SEA,@,PIT,L 10-21,,,,,,,,,,,
17,1978,1978-09-17,3,23.319,SEA,@,NYJ,W 24-17,,,,,,,,,,,
18,1978,1978-09-24,4,23.326,SEA,,DET,W 28-16,,,,,,,,,,,
19,1978,1978-10-08,6,23.340,SEA,,MIN,W 29-28,,,,,,,,,,,
20,1978,1978-10-15,7,23.347,SEA,@,GNB,L 28-45,,,,,,,,,,,
21,1978,1978-10-22,8,23.354,SEA,,OAK,W 27-7,,,,,,,,,,,
22,1978,1978-10-29,9,23.361,SEA,,DEN,L 17-20,,,,,,,,,,,
23,1978,1978-11-05,10,24.003,SEA,@,CHI,W 31-29,0,0,,0,0,0,,0,2,9,0
24,1978,1978-11-12,11,24.010,SEA,,BAL,L 14-17,,,,,,,,,,,
25,1978,1978-11-19,12,24.017,SEA,@,KAN,W 13-10,,,,,,,,,,,
26,1978,1978-11-26,13,24.024,SEA,@,OAK,W 17-16,,,,,,,,,,,
27,1978,1978-12-03,14,24.031,SEA,,CLE,W 47-24,0,0,,0,0,0,,0,1,0,0
28,1978,1978-12-10,15,24.038,SEA,@,SDG,L 10-37,0,0,,0,0,0,,0,1,0,0
29,1978,1978-12-17,16,24.045,SEA,,KAN,W 23-19,0,0,,0,0,0,,0,1,0,0
30,1979,1979-09-02,1,24.304,SEA,,SDG,L 16-33,0,0,,0,0,0,,0,1,0,0
31,1979,1979-09-09,2,24.311,SEA,@,MIA,L 10-19,,,,,,,,,,,
32,1979,1979-09-16,3,24.318,SEA,,OAK,W 27-10,1,39,39.00,0,0,0,,0,0,0,0
33,1979,1979-09-23,4,24.325,SEA,@,DEN,L 34-37,,,,,,,,,,,
34,1979,1979-09-30,5,24.332,SEA,,KAN,L 6-24,,,,,,,,,,,
35,1979,1979-10-07,6,24.339,SEA,@,SFO,W 35-24,,,,,,,,,,,
36,1979,1979-10-14,7,24.346,SEA,@,SDG,L 10-20,,,,,,,,,,,
37,1979,1979-10-21,8,24.353,SEA,,HOU,W 34-14,,,,,,,,,,,
38,1979,1979-10-29,9,24.361,SEA,@,ATL,W 31-28,,,,,,,,,,,
39,1979,1979-11-04,10,25.002,SEA,,RAM,L 0-24,,,,,,,,,,,
40,1979,1979-11-11,11,25.009,SEA,@,CLE,W 29-24,,,,,,,,,,,
41,1979,1979-11-18,12,25.016,SEA,,NOR,W 38-24,,,,,,,,,,,
42,1979,1979-11-26,13,25.024,SEA,,NYJ,W 30-7,,,,,,,,,,,
43,1979,1979-12-02,14,25.030,SEA,@,KAN,L 21-37,,,,,,,,,,,
44,1979,1979-12-16,16,25.044,SEA,@,OAK,W 29-24,,,,,,,,,,,
45,1980,1980-09-07,1,25.310,SEA,,SDG,L 13-34,0,0,,0,3,98,32.67,0,0,0,0
46,1980,1980-09-14,2,25.317,SEA,@,KAN,W 17-16,0,0,,0,4,87,21.75,0,0,0,0
47,1980,1980-09-21,3,25.324,SEA,,NWE,L 31-37,0,0,,0,5,77,15.40,0,0,0,0
48,1980,1980-09-28,4,25.331,SEA,@,WAS,W 14-0,0,0,,0,1,2,2.00,0,0,0,0
49,1980,1980-10-05,5,25.338,SEA,@,HOU,W 26-7,0,0,,0,1,16,16.00,0,1,0,0
50,1980,1980-10-12,6,25.345,SEA,,CLE,L 3-27,0,0,,0,1,11,11.00,0,0,0,0
51,1980,1980-11-23,12,26.021,SEA,@,DEN,L 20-36,0,0,,0,3,59,19.67,0,0,0,0
52,1980,1980-11-27,13,26.025,SEA,@,DAL,L 7-51,0,0,,0,3,56,18.67,0,0,0,0
