ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2010,2010-12-12,13,23.094,DAL,,PHI,L 27-30,,,,,,,,,,,
2,2010,2010-12-19,14,23.101,DAL,,WAS,W 33-30,,0,0,,0,0.0,0,1,0,0,0
3,2011,2011-12-11,13,24.093,MIN,@,DET,L 28-34,,0,0,,0,0.0,0,0,0,0,0
4,2011,2011-12-24,15,24.106,MIN,@,WAS,W 33-26,,0,0,,0,0.0,0,1,0,0,0
5,2011,2012-01-01,16,24.114,MIN,,CHI,L 13-17,,0,0,,0,0.0,0,0,0,0,0
6,2012,2012-09-16,2,25.007,MIN,@,IND,L 20-23,,,,,,,,,,,
7,2012,2012-09-23,3,25.014,MIN,,SFO,W 24-13,,,,,,,,,,,
8,2012,2012-10-14,6,25.035,MIN,@,WAS,L 26-38,,,,,,,,,,,
9,2012,2012-10-21,7,25.042,MIN,,ARI,W 21-14,,0,0,,0,0.0,0,0,0,0,0
10,2012,2012-10-25,8,25.046,MIN,,TAM,L 17-36,,,,,,,,,,,
11,2012,2012-11-04,9,25.056,MIN,@,SEA,L 20-30,,0,0,,0,0.0,0,0,0,0,0
12,2012,2012-11-11,10,25.063,MIN,,DET,W 34-24,,0,0,,0,0.0,0,0,0,0,0
13,2012,2012-11-25,11,25.077,MIN,@,CHI,L 10-28,,0,0,,0,0.0,0,0,0,0,0
14,2012,2012-12-02,12,25.084,MIN,@,GNB,L 14-23,,0,0,,0,0.0,0,0,0,0,0
15,2012,2012-12-09,13,25.091,MIN,,CHI,W 21-14,,0,0,,0,0.0,0,0,0,0,0
16,2012,2012-12-16,14,25.098,MIN,@,STL,W 36-22,,,,,,,,,,,
17,2012,2012-12-23,15,25.105,MIN,@,HOU,W 23-6,,,,,,,,,,,
18,2012,2012-12-30,16,25.112,MIN,,GNB,W 37-34,,,,,,,,,,,
19,2013,2013-09-08,1,25.364,MIN,@,DET,L 24-34,,,,,,,,,,,
20,2013,2013-09-15,2,26.006,MIN,@,CHI,L 30-31,,,,,,,,,,,
21,2013,2013-09-22,3,26.013,MIN,,CLE,L 27-31,,0,0,,0,0.0,3,0,0,0,0
22,2013,2013-09-29,4,26.020,MIN,,PIT,W 34-27,*,0,0,,0,0.0,4,0,0,0,0
23,2013,2013-10-13,5,26.034,MIN,,CAR,L 10-35,,0,0,,0,0.0,2,1,0,0,0
24,2013,2013-10-21,6,26.042,MIN,@,NYG,L 7-23,*,0,0,,0,0.0,3,3,0,0,0
25,2013,2013-10-27,7,26.048,MIN,,GNB,L 31-44,*,0,0,,0,0.0,3,4,0,0,0
26,2013,2013-11-03,8,26.055,MIN,@,DAL,L 23-27,*,0,0,,0,0.0,5,0,0,0,0
27,2013,2013-11-07,9,26.059,MIN,,WAS,W 34-27,*,0,0,,0,0.0,8,8,0,0,0
28,2013,2013-11-17,10,26.069,MIN,@,SEA,L 20-41,*,0,0,,0,0.0,6,5,0,0,0
29,2013,2013-11-24,11,26.076,MIN,@,GNB,T 26-26,*,0,0,,0,0.0,4,1,0,0,0
30,2013,2013-12-01,12,26.083,MIN,,CHI,W 23-20,*,0,0,,0,0.0,5,5,0,0,0
31,2013,2013-12-08,13,26.090,MIN,@,BAL,L 26-29,*,0,0,,0,0.0,1,2,1,1,0
32,2013,2013-12-15,14,26.097,MIN,,PHI,W 48-30,*,0,0,,0,0.0,4,0,0,0,0
33,2013,2013-12-22,15,26.104,MIN,@,CIN,L 14-42,,0,0,,0,0.0,2,1,0,0,0
34,2013,2013-12-29,16,26.111,MIN,,DET,W 14-13,,0,0,,0,0.0,2,2,0,0,0
35,2014,2014-09-07,1,26.363,MIN,@,STL,W 34-6,,0,0,,0,0.0,1,0,0,0,0
36,2014,2014-09-14,2,27.005,MIN,,NWE,L 7-30,,0,0,,0,0.0,2,0,0,0,0
37,2014,2014-09-21,3,27.012,MIN,@,NOR,L 9-20,,,,,,,,,,,
38,2014,2014-09-28,4,27.019,MIN,,ATL,W 41-28,,,,,,,,,,,
39,2014,2014-10-02,5,27.023,MIN,@,GNB,L 10-42,,,,,,,,,,,
40,2014,2014-10-12,6,27.033,MIN,,DET,L 3-17,,0,0,,0,0.0,1,0,0,0,0
41,2014,2014-10-19,7,27.040,MIN,@,BUF,L 16-17,,,,,,,,,,,
42,2014,2014-10-26,8,27.047,MIN,@,TAM,W 19-13,,0,0,,0,0.0,1,0,0,0,0
43,2014,2014-11-02,9,27.054,MIN,,WAS,W 29-26,,,,,,,,,,,
44,2014,2014-11-16,10,27.068,MIN,@,CHI,L 13-21,,1,48,48.00,0,0.0,1,1,0,0,0
45,2014,2014-11-23,11,27.075,MIN,,GNB,L 21-24,,,,,,,,,,,
46,2014,2014-11-30,12,27.082,MIN,,CAR,W 31-13,,,,,,,,,,,
47,2014,2014-12-07,13,27.089,MIN,,NYJ,W 30-24,,0,0,,0,0.0,2,0,0,0,0
48,2014,2014-12-14,14,27.096,MIN,@,DET,L 14-16,*,0,0,,0,0.0,4,2,0,0,0
49,2014,2014-12-21,15,27.103,MIN,@,MIA,L 35-37,*,0,0,,0,0.0,3,0,0,0,0
50,2014,2014-12-28,16,27.110,MIN,,CHI,W 13-9,*,0,0,,0,0.0,5,4,0,0,0
51,2015,2015-09-14,1,28.005,MIN,@,SFO,L 3-20,*,0,0,,0,0.0,3,0,0,0,0
52,2015,2015-09-20,2,28.011,MIN,,DET,W 26-16,*,0,0,,0,0.0,5,0,0,0,0
53,2015,2015-09-27,3,28.018,MIN,,SDG,W 31-14,*,0,0,,0,0.0,3,1,0,0,0
54,2015,2015-10-18,5,28.039,MIN,,KAN,W 16-10,*,0,0,,0,0.0,7,0,0,0,0
55,2015,2015-10-25,6,28.046,MIN,@,DET,W 28-19,*,0,0,,0,0.0,4,2,0,0,0
56,2015,2015-11-01,7,28.053,MIN,@,CHI,W 23-20,*,0,0,,0,0.0,3,1,0,0,0
57,2015,2015-11-08,8,28.060,MIN,,STL,W 21-18,*,0,0,,0,0.5,5,2,0,0,0
58,2015,2015-11-15,9,28.067,MIN,@,OAK,W 30-14,*,0,0,,0,0.0,6,1,0,0,0
59,2015,2015-11-22,10,28.074,MIN,,GNB,L 13-30,*,0,0,,0,0.0,5,1,0,0,0
60,2015,2015-11-29,11,28.081,MIN,@,ATL,W 20-10,*,0,0,,0,0.0,2,1,0,0,0
61,2015,2015-12-20,14,28.102,MIN,,CHI,W 38-17,*,0,0,,0,0.0,3,1,0,0,0
62,2015,2015-12-27,15,28.109,MIN,,NYG,W 49-17,*,0,0,,0,0.0,3,0,1,9,0
63,2015,2016-01-03,16,28.116,MIN,@,GNB,W 20-13,*,0,0,,0,0.0,8,5,0,0,0
64,2016,2016-09-11,1,29.002,MIN,@,TEN,W 25-16,*,0,0,,0,0.0,4,0,0,0,0
65,2016,2016-09-18,2,29.009,MIN,,GNB,W 17-14,*,0,0,,0,0.0,9,2,0,0,0
66,2016,2016-09-25,3,29.016,MIN,@,CAR,W 22-10,*,0,0,,0,0.0,4,4,0,0,0
67,2016,2016-10-03,4,29.024,MIN,,NYG,W 24-10,*,0,0,,0,0.0,3,1,0,0,0
68,2016,2016-10-09,5,29.030,MIN,,HOU,W 31-13,*,0,0,,0,0.0,3,1,1,2,0
69,2016,2016-10-23,6,29.044,MIN,@,PHI,L 10-21,*,0,0,,0,0.0,0,0,1,16,0
70,2016,2016-11-06,8,29.058,MIN,,DET,L 16-22,*,0,0,,0,0.0,1,2,0,0,0
71,2016,2016-11-13,9,29.065,MIN,@,WAS,L 20-26,*,0,0,,0,0.0,3,2,0,0,0
72,2016,2016-11-20,10,29.072,MIN,,ARI,W 30-24,*,0,0,,0,0.0,1,3,0,0,0
73,2016,2016-11-24,11,29.076,MIN,@,DET,L 13-16,*,0,0,,0,0.5,2,6,0,0,0
74,2016,2016-12-01,12,29.083,MIN,,DAL,L 15-17,*,0,0,,0,0.0,3,0,0,0,0
75,2016,2016-12-11,13,29.093,MIN,@,JAX,W 25-16,*,0,0,,0,0.0,2,1,0,0,0
76,2016,2016-12-18,14,29.100,MIN,,IND,L 6-34,*,0,0,,0,0.0,5,1,0,0,0
77,2016,2016-12-24,15,29.106,MIN,@,GNB,L 25-38,*,0,0,,0,0.0,2,1,0,0,0
78,2017,2017-09-11,1,30.002,MIN,,NOR,W 29-19,*,0,0,,0,0.0,3,3,0,0,0
79,2017,2017-09-17,2,30.008,MIN,@,PIT,L 9-26,*,0,0,,0,0.0,8,2,0,0,0
80,2017,2017-09-24,3,30.015,MIN,,TAM,W 34-17,*,0,0,,0,0.0,4,1,1,36,0
81,2017,2017-10-01,4,30.022,MIN,,DET,L 7-14,*,0,0,,0,0.0,5,6,0,0,0
82,2017,2017-10-09,5,30.030,MIN,@,CHI,W 20-17,*,0,0,,0,0.0,5,0,0,0,0
83,2017,2017-10-22,7,30.043,MIN,,BAL,W 24-16,*,0,0,,0,0.0,4,1,0,0,0
84,2017,2017-11-12,9,30.064,MIN,@,WAS,W 38-30,*,0,0,,0,0.0,2,2,0,0,0
85,2017,2017-11-23,11,30.075,MIN,@,DET,W 30-23,*,0,0,,0,0.0,6,1,0,0,0
86,2017,2017-12-03,12,30.085,MIN,@,ATL,W 14-9,*,0,0,,0,0.0,1,2,0,0,0
87,2017,2017-12-10,13,30.092,MIN,@,CAR,L 24-31,*,0,0,,0,0.0,6,2,1,34,0
88,2017,2017-12-17,14,30.099,MIN,,CIN,W 34-7,*,0,0,,0,0.0,2,1,0,0,0
89,2017,2017-12-23,15,30.105,MIN,@,GNB,W 16-0,*,0,0,,0,0.0,3,2,0,0,0
90,2017,2017-12-31,16,30.113,MIN,,CHI,W 23-10,*,0,0,,0,0.0,3,2,0,0,0
91,2018,2018-09-09,1,31.000,MIN,,SFO,W 24-16,*,0,0,,0,0.0,2,1,0,0,0
92,2018,2018-09-16,2,31.007,MIN,@,GNB,T 29-29,*,0,0,,0,0.0,7,1,0,0,0
93,2018,2018-09-23,3,31.014,MIN,,BUF,L 6-27,*,0,0,,0,0.0,4,1,0,0,0
94,2018,2018-09-27,4,31.018,MIN,@,LAR,L 31-38,*,0,0,,0,0.0,4,2,0,0,0
