ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring
1,1970,1970-09-20,1,22.245,PHI,,DAL,L 7-17,,,,,,,,,,,,,,,,,,,,,
2,1970,1970-09-27,2,22.252,PHI,@,CHI,L 16-20,16,58,3.63,1,6,47,7.83,0,0,0,,0,0,0,,0,0,,,1,6
3,1970,1970-10-04,3,22.259,PHI,,WAS,L 21-33,10,24,2.40,0,4,52,13.00,1,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,1,6
4,1970,1970-10-11,4,22.266,PHI,@,NYG,L 23-30,14,43,3.07,0,3,38,12.67,0,0,0,,0,0,0,,0,0,,,0,0
5,1970,1970-10-18,5,22.273,PHI,,STL,L 20-35,12,23,1.92,0,5,15,3.00,1,0,0,,0,0,0,,0,0,,,1,6
6,1970,1970-10-25,6,22.280,PHI,@,GNB,L 17-30,15,45,3.00,0,7,81,11.57,0,0,0,,0,0,0,,0,0,,,0,0
7,1970,1970-11-01,7,22.287,PHI,@,DAL,L 17-21,16,62,3.88,0,3,14,4.67,0,0,0,,0,0,0,,0,0,,,0,0
8,1970,1970-11-08,8,22.294,PHI,,MIA,W 24-17,12,2,0.17,0,5,57,11.40,0,0,0,,0,0,0,,0,0,,,0,0
9,1970,1970-11-15,9,22.301,PHI,,ATL,T 13-13,15,33,2.20,0,3,10,3.33,0,0,0,,0,0,0,,0,0,,,0,0
10,1970,1970-11-23,10,22.309,PHI,,NYG,W 23-20,16,30,1.88,0,2,19,9.50,0,0,0,,0,0,0,,0,0,,,0,0
11,1970,1970-11-29,11,22.315,PHI,@,STL,L 14-23,7,25,3.57,1,1,16,16.00,0,0,0,,0,0,0,,0,0,,,1,6
12,1970,1970-12-06,12,22.322,PHI,@,BAL,L 10-29,7,18,2.57,0,5,17,3.40,0,0,0,,0,0,0,,0,0,,,0,0
13,1970,1970-12-13,13,22.329,PHI,@,WAS,L 6-24,10,18,1.80,0,2,13,6.50,0,0,0,,0,0,0,,0,0,,,0,0
14,1970,1970-12-20,14,22.336,PHI,,PIT,W 30-20,9,20,2.22,0,4,22,5.50,0,0,0,,0,0,0,,0,0,,,0,0
15,1971,1971-09-19,1,23.244,PHI,@,CIN,L 14-37,8,10,1.25,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0
16,1971,1971-09-26,2,23.251,PHI,,DAL,L 7-42,9,7,0.78,0,4,42,10.50,0,0,0,,0,0,0,,0,0,,,0,0
17,1971,1971-10-03,3,23.258,PHI,,SFO,L 3-31,13,21,1.62,0,5,64,12.80,0,0,0,,0,0,0,,0,0,,,0,0
18,1971,1971-10-10,4,23.265,PHI,,MIN,L 0-13,2,14,7.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0
19,1971,1971-10-17,5,23.272,PHI,@,OAK,L 10-34,9,18,2.00,0,4,30,7.50,0,0,0,,0,0,0,,0,0,,,0,0
20,1971,1971-11-21,10,23.307,PHI,@,STL,W 37-20,8,41,5.13,0,2,0,0.00,1,0,0,,0,0,0,,0,0,,,1,6
21,1971,1971-11-28,11,23.314,PHI,,WAS,L 13-20,8,28,3.50,0,2,-2,-1.00,0,0,0,,0,0,0,,0,0,,,0,0
22,1971,1971-12-05,12,23.321,PHI,@,DET,W 23-20,17,61,3.59,1,3,24,8.00,0,0,0,,0,0,0,,0,0,,,1,6
23,1971,1971-12-12,13,23.328,PHI,,STL,W 19-7,18,55,3.06,0,4,12,3.00,0,0,0,,0,0,0,,0,0,,,0,0
24,1971,1971-12-19,14,23.335,PHI,@,NYG,W 41-28,5,7,1.40,1,0,0,,0,0,0,,0,0,0,,0,0,,,1,6
25,1973,1973-10-14,5,25.269,PHI,@,STL,W 27-24,,,,,,,,,,,,,,,,,,,,,
26,1973,1973-10-21,6,25.276,PHI,@,MIN,L 21-28,3,2,0.67,1,0,0,,0,0,0,,0,0,0,,0,0,,,1,6
27,1973,1973-10-28,7,25.283,PHI,,DAL,W 30-16,5,3,0.60,0,2,8,4.00,0,0,0,,0,0,0,,0,0,,,0,0
28,1973,1973-11-04,8,25.290,PHI,,NWE,W 24-23,,,,,,,,,,,,,,,,,,,,,
29,1973,1973-11-11,9,25.297,PHI,,ATL,L 27-44,,,,,,,,,,,,,,,,,,,,,
30,1973,1973-11-18,10,25.304,PHI,@,DAL,L 10-31,7,29,4.14,0,2,10,5.00,0,0,0,,0,0,0,,0,0,,,0,0
31,1973,1973-12-09,13,25.325,PHI,,NYJ,W 24-23,,,,,,,,,,,,,,,,,,,,,
32,1973,1973-12-16,14,25.332,PHI,@,WAS,L 20-38,,,,,,,,,,,,,,,,,,,,,
