ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,2002,2002-10-06,5,24.015,NYG,@,DAL,W 21-17,,1,1,1.00,0,0,0,0,,0,0.0%,,3,67,22.33,0,2,23,11.50,0
2,2002,2002-10-13,6,24.022,NYG,,ATL,L 10-17,,0,0,,0,0,0,0,,0,0.0%,,2,40,20.00,0,1,-2,-2.00,0
3,2002,2002-10-28,7,24.037,NYG,@,PHI,L 3-17,,1,1,1.00,0,1,1,5,5.00,0,100.0%,5.00,2,44,22.00,0,1,12,12.00,0
4,2002,2002-11-03,8,24.043,NYG,,JAX,W 24-17,,0,0,,0,0,0,0,,0,0.0%,,1,19,19.00,0,0,0,,0
5,2002,2002-11-10,9,24.050,NYG,@,MIN,W 27-20,,0,0,,0,0,0,0,,0,0.0%,,3,72,24.00,0,1,13,13.00,0
6,2002,2002-11-17,10,24.057,NYG,,WAS,W 19-17,,0,0,,0,0,0,0,,0,0.0%,,4,92,23.00,0,4,48,12.00,0
7,2002,2002-11-24,11,24.064,NYG,@,HOU,L 14-16,,0,0,,0,1,0,0,,0,0.0%,0.00,4,106,26.50,0,4,25,6.25,0
8,2002,2002-12-01,12,24.071,NYG,,TEN,L 29-32,,0,0,,0,0,0,0,,0,0.0%,,4,121,30.25,0,2,0,0.00,0
9,2002,2002-12-08,13,24.078,NYG,@,WAS,W 27-21,,0,0,,0,0,0,0,,0,0.0%,,4,115,28.75,0,0,0,,0
10,2002,2002-12-15,14,24.085,NYG,,DAL,W 37-7,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,5,67,13.40,0
11,2002,2002-12-22,15,24.092,NYG,@,IND,W 44-27,,0,0,,0,0,0,0,,0,0.0%,,4,50,12.50,0,0,0,,0
12,2002,2002-12-28,16,24.098,NYG,,PHI,W 10-7,,0,0,,0,0,0,0,,0,0.0%,,2,50,25.00,0,5,24,4.80,0
13,2003,2003-09-07,1,24.351,NYG,,STL,W 23-13,,0,0,,0,2,1,0,0.00,0,50.0%,0.00,0,0,,0,0,0,,0
14,2003,2003-09-15,2,24.359,NYG,,DAL,L 32-35,,,,,,,,,,,0.0%,,,,,,,,,
15,2003,2003-09-21,3,25.000,NYG,@,WAS,W 24-21,,0,0,,0,0,0,0,,0,0.0%,,1,35,35.00,0,0,0,,0
16,2003,2003-10-05,4,25.014,NYG,,MIA,L 10-23,,3,6,2.00,0,2,1,5,5.00,0,50.0%,2.50,0,0,,0,0,0,,0
17,2003,2003-10-12,5,25.021,NYG,@,NWE,L 6-17,,1,0,0.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
18,2003,2003-10-19,6,25.028,NYG,,PHI,L 10-14,,2,9,4.50,0,0,0,0,,0,0.0%,,1,17,17.00,0,0,0,,0
19,2003,2003-10-26,7,25.035,NYG,@,MIN,W 29-17,,0,0,,0,0,0,0,,0,0.0%,,2,41,20.50,0,0,0,,0
20,2003,2003-11-02,8,25.042,NYG,@,NYJ,W 31-28,,,,,,,,,,,0.0%,,,,,,,,,
21,2003,2003-11-09,9,25.049,NYG,,ATL,L 7-27,,1,3,3.00,0,1,1,2,2.00,0,100.0%,2.00,0,0,,0,0,0,,0
22,2003,2003-11-16,10,25.056,NYG,@,PHI,L 10-28,,,,,,0,,,,,0.0%,,,,,,,,,
23,2003,2003-11-24,11,25.064,NYG,@,TAM,L 13-19,,0,0,,0,0,0,0,,0,0.0%,,1,36,36.00,0,1,8,8.00,0
24,2003,2003-11-30,12,25.070,NYG,,BUF,L 7-24,,0,0,,0,0,0,0,,0,0.0%,,2,31,15.50,0,0,0,,0
25,2003,2003-12-07,13,25.077,NYG,,WAS,L 7-20,,0,0,,0,0,0,0,,0,0.0%,,2,37,18.50,0,0,0,,0
26,2003,2003-12-14,14,25.084,NYG,@,NOR,L 7-45,,4,21,5.25,0,0,0,0,,0,0.0%,,4,78,19.50,0,0,0,,0
27,2003,2003-12-21,15,25.091,NYG,@,DAL,L 3-19,,0,0,,0,0,0,0,,0,0.0%,,1,19,19.00,0,1,1,1.00,0
28,2003,2003-12-28,16,25.098,NYG,,CAR,L 24-37,,0,0,,0,0,0,0,,0,0.0%,,1,15,15.00,0,0,0,,0
