ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,sacks,tackles_solo,tackles_assists
1,1998,1998-10-04,4,25.087,MIA,@,NYJ,L 9-20,,2,3,66.67,21,0,1,47.2,0,0,7.00,-8.00,0,0,,0,0,0,0,,0,0.0%,,0.0,,
2,1998,1998-12-27,16,25.171,MIA,@,ATL,L 16-38,,4,6,66.67,64,0,0,102.1,1,9,10.67,10.67,0,0,,0,0,0,0,,0,0.0%,,0.0,,
3,1999,1999-09-13,1,26.066,MIA,@,DEN,W 38-21,,,,,,,,,0,,,,,,,,,,,,,0.0%,,,,
4,1999,1999-09-19,2,26.072,MIA,,ARI,W 19-16,,,,,,,,,0,,,,,,,,,,,,,0.0%,,,,
5,1999,1999-10-04,3,26.087,MIA,,BUF,L 18-23,,,,,,,,,0,,,,,,,,,,,,,0.0%,,,,
6,1999,1999-10-10,4,26.093,MIA,@,IND,W 34-31,,,,,,,,,0,,,,,,,,,,,,,0.0%,,,,
7,1999,1999-10-17,5,26.100,MIA,@,NWE,W 31-30,,24,42,57.14,240,2,1,79.5,9,53,5.71,5.60,6,54,9.00,0,0,0,0,,0,0.0%,,0.0,,
8,1999,1999-10-24,6,26.107,MIA,,PHI,W 16-13,*,15,21,71.43,142,0,1,69.9,1,8,6.76,4.62,6,12,2.00,0,0,0,0,,0,0.0%,,0.0,,
9,1999,1999-10-31,7,26.114,MIA,@,OAK,W 16-9,*,16,32,50.00,221,0,0,72.5,5,37,6.91,6.91,6,6,1.00,0,1,1,0,0.00,0,100.0%,0.00,0.0,,
10,1999,1999-11-07,8,26.121,MIA,,TEN,W 17-0,*,15,25,60.00,210,2,0,113.7,4,25,8.40,10.00,2,2,1.00,0,0,0,0,,0,0.0%,,0.0,,
11,1999,1999-11-14,9,26.128,MIA,@,BUF,L 3-23,*,9,25,36.00,65,0,1,27.9,3,24,2.60,0.80,2,9,4.50,0,0,0,0,,0,0.0%,,0.0,,
12,1999,1999-11-21,10,26.135,MIA,,NWE,W 27-17,*,18,30,60.00,129,2,0,92.2,2,19,4.30,5.63,3,13,4.33,0,0,0,0,,0,0.0%,,0.0,,
13,1999,1999-11-25,11,26.139,MIA,@,DAL,L 0-20,,4,5,80.00,44,0,0,103.3,1,9,8.80,8.80,1,6,6.00,0,0,0,0,,0,0.0%,,0.0,,
14,1999,1999-12-05,12,26.149,MIA,,IND,L 34-37,,,,,,,,,0,,,,,,,,,,,,,0.0%,,,,
15,1999,1999-12-12,13,26.156,MIA,@,NYJ,L 20-28,,6,7,85.71,75,1,0,150.9,0,0,10.71,13.57,0,0,,0,0,0,0,,0,0.0%,,0.0,,
16,1999,1999-12-19,14,26.163,MIA,,SDG,W 12-9,,,,,,,,,0,,,,,,,,,,,,,0.0%,,,,
